model,range,cut,mean_precision
3way-restart-step70000,all,AUC,0.9393363986486958
3way-restart-step70000,all,L,0.5001894074854029
3way-restart-step70000,all,L/2,0.6532632821155719
3way-restart-step70000,all,L/5,0.7686256233131692
3way-restart-step70000,all,R,0.555857617088308
3way-restart-step70000,long,AUC,0.9227940986467227
3way-restart-step70000,long,L,0.3255119676285436
3way-restart-step70000,long,L/2,0.5012298751096712
3way-restart-step70000,long,L/5,0.6409384161728271
3way-restart-step70000,long,R,0.5057567379379512
3way-restart-step70000,medium,AUC,0.9613010125070961
3way-restart-step70000,medium,L,0.17817317397488988
3way-restart-step70000,medium,L/2,0.32075549357739563
3way-restart-step70000,medium,L/5,0.5713866206583827
3way-restart-step70000,medium,R,0.6015199253455098
3way-restart-step70000,short,AUC,0.9641609101478651
3way-restart-step70000,short,L,0.11891088482436517
3way-restart-step70000,short,L/2,0.22310944390592727
3way-restart-step70000,short,L/5,0.45285265343986
3way-restart-step70000,short,R,0.6409770372803
