dataset,stem,n_residues,n_true,precision_mf,precision_px
foldbench100,5sbj_A,30,17,0.9411764705882352,0.8823529411764706
foldbench100,7pv5_A,81,64,0.75,0.859375
foldbench100,7qp5_A,245,241,0.5394190871369294,0.8630705394190872
foldbench100,7qsj_A,373,347,0.7060518731988472,0.9279538904899136
foldbench100,7t9r_A,38,24,0.7083333333333334,0.75
foldbench100,7tlh_A,136,114,0.5087719298245614,0.8333333333333334
foldbench100,7tjb_A,227,201,0.7313432835820896,0.8955223880597015
foldbench100,7uba_A,213,208,0.3173076923076923,0.8894230769230769
foldbench100,7uk8_A,394,526,0.5836501901140685,0.8307984790874525
foldbench100,7ur2_A,195,137,0.656934306569343,0.7591240875912408
foldbench100,7ur7_A,70,60,0.8666666666666667,0.8333333333333334
foldbench100,7urp_A,160,134,0.4701492537313433,0.917910447761194
foldbench100,7uvg_A,183,178,0.4044943820224719,0.8876404494382022
foldbench100,7uww_A,635,693,0.4401154401154401,0.84992784992785
foldbench100,7v3o_A,328,272,0.4522058823529412,0.8529411764705882
foldbench100,7w15_A,302,303,0.6666666666666666,0.8712871287128713
foldbench100,7y3h_A,413,312,0.7019230769230769,0.8365384615384616
foldbench100,7wz5_A,161,113,0.4336283185840708,0.8672566371681416
foldbench100,7wzm_A,492,456,0.7324561403508771,0.8618421052631579
foldbench100,7x4p_A,307,333,0.5765765765765766,0.8258258258258259
foldbench100,7x3h_A,290,296,0.6148648648648649,0.7297297297297297
foldbench100,7x8l_A,514,580,0.743103448275862,0.9051724137931034
foldbench100,7xcd_A,178,148,0.1621621621621621,0.7905405405405406
foldbench100,7xg9_A,288,241,0.6016597510373444,0.8257261410788381
foldbench100,7xi5_A,65,42,0.8333333333333334,0.9047619047619048
foldbench100,7xp9_A,84,45,0.2888888888888888,0.7555555555555555
foldbench100,8ycm_A,229,196,0.4795918367346938,0.8316326530612245
foldbench100,7xq4_A,514,472,0.6228813559322034,0.8665254237288136
foldbench100,7xrx_A,398,396,0.5656565656565656,0.8813131313131313
foldbench100,7xjr_A,337,354,0.652542372881356,0.9067796610169492
foldbench100,7xyr_A,591,707,0.7241867043847242,0.8826025459688827
foldbench100,7xz3_A,325,316,0.3987341772151899,0.8512658227848101
foldbench100,7y4h_A,338,320,0.596875,0.896875
foldbench100,7y54_A,100,105,0.8095238095238095,0.8857142857142857
foldbench100,7y5m_A,170,148,0.6013513513513513,0.831081081081081
foldbench100,7y5r_A,105,97,0.8350515463917526,0.8762886597938144
foldbench100,7y8h_A,100,83,0.7710843373493976,0.8072289156626506
foldbench100,7y8i_A,97,83,0.8192771084337349,0.8192771084337349
foldbench100,7y5j_A,102,91,0.7692307692307693,0.8131868131868132
foldbench100,7yd4_A,185,142,0.2323943661971831,0.8732394366197183
foldbench100,7yhr_A,60,41,0.4146341463414634,0.8048780487804879
foldbench100,7ykm_A,105,55,0.8,0.8181818181818182
foldbench100,7ylr_A,330,364,0.7774725274725275,0.8983516483516484
foldbench100,8gmy_A,236,254,0.421259842519685,0.7598425196850394
foldbench100,7yug_A,118,94,0.6595744680851063,0.8829787234042553
foldbench100,7yyg_A,365,221,0.2669683257918552,0.8642533936651584
foldbench100,7z65_A,283,320,0.58125,0.89375
foldbench100,7znz_A,761,932,0.7188841201716738,0.9012875536480688
foldbench100,7zoi_A,151,110,0.7636363636363637,0.9090909090909092
foldbench100,7zs2_A,316,223,0.726457399103139,0.8340807174887892
foldbench100,7zu3_A,132,92,0.5,0.4891304347826087
foldbench100,7zv1_A,136,111,0.4864864864864865,0.8018018018018018
foldbench100,8adc_A,215,170,0.3294117647058823,0.6705882352941176
