model,range,cut,mean_precision
3way-restart-step60000,all,AUC,0.9349231294455567
3way-restart-step60000,all,L,0.4977196751482349
3way-restart-step60000,all,L/2,0.6521636363699909
3way-restart-step60000,all,L/5,0.7687974681707065
3way-restart-step60000,all,R,0.553183402208733
3way-restart-step60000,long,AUC,0.9169661434507412
3way-restart-step60000,long,L,0.32263843011591437
3way-restart-step60000,long,L/2,0.49749576095374104
3way-restart-step60000,long,L/5,0.638926240608754
3way-restart-step60000,long,R,0.5007734702643317
3way-restart-step60000,medium,AUC,0.9612629195483673
3way-restart-step60000,medium,L,0.17750433734694923
3way-restart-step60000,medium,L/2,0.31939574752431066
3way-restart-step60000,medium,L/5,0.5704083289418063
3way-restart-step60000,medium,R,0.6007256381409608
3way-restart-step60000,short,AUC,0.9637997198851951
3way-restart-step60000,short,L,0.11867421495350737
3way-restart-step60000,short,L/2,0.22272556829928944
3way-restart-step60000,short,L/5,0.45450332885929073
3way-restart-step60000,short,R,0.640685178353522
