run,entry_id,L,n_gt,n_rollouts,mode,tensor_parallel,total_gen_tokens,gen_seconds,tokens_per_s,mean_gen_tokens,frac_finished,tpu_type,best_f1,best_recall,mean_prec,mean_rec,mean_f1,max_rec,max_f1,mean_long_rec
resample_tp4,AF-A0A090VCC4-F1,146,104,1000,resample,4,284095,96.959,2930.0,284.1,1.0,v5p-8,0.2613636363636363,0.2403846153846154,0.10814031181388839,0.09747115384615385,0.10210530902562172,0.2403846153846154,0.2613636363636363,0.057708333333333334
resample_tp4,AF-A0A1M4JLL1-F1,178,128,1000,resample,4,286843,17.147,16728.9,286.8,1.0,v5p-8,0.25570776255707767,0.21875,0.0864965864977909,0.0635234375,0.07233526417855196,0.21875,0.25570776255707767,0.038786666666666664
resample_tp4,AF-A0A2T0FR61-F1,218,117,1000,resample,4,286519,19.668,14567.8,286.5,1.0,v5p-8,0.40740740740740744,0.37606837606837606,0.11737566275865959,0.09495726495726495,0.10413318607412637,0.37606837606837606,0.40740740740740744,0.086484375
resample_tp4,AF-A0A357KNS8-F1,78,11,1000,resample,4,51457,6.233,8256.1,51.5,1.0,v5p-8,0.8181818181818182,1.0,0.4348408913071429,0.5877272727272728,0.48630333839754775,1.0,0.8181818181818182,
resample_tp4,AF-A0A420M9X4-F1,510,462,1000,resample,4,609790,36.849,16548.2,609.8,1.0,v5p-8,0.20833333333333331,0.1406926406926407,0.1491394075745936,0.06433766233766233,0.08923901634596013,0.1406926406926407,0.20833333333333331,0.04142611683848797
resample_tp4,AF-A0A4Q3R0A2-F1,120,66,1000,resample,4,181117,10.111,17913.3,181.1,1.0,v5p-8,0.3333333333333333,0.3333333333333333,0.11285532716454932,0.0976060606060606,0.10228135826693707,0.3333333333333333,0.3333333333333333,0.05523529411764706
resample_tp4,AF-A0A6V8MMB0-F1,99,23,1000,resample,4,107836,6.391,16871.9,107.8,1.0,v5p-8,0.23333333333333334,0.30434782608695654,0.024954174229744167,0.03878260869565217,0.029574286426172096,0.30434782608695654,0.23333333333333334,0.018
resample_tp4,AF-A0A7C6NNS0-F1,30,8,1000,resample,4,21331,1.668,12786.1,21.3,1.0,v5p-8,0.7999999999999999,0.875,0.15637483072483074,0.13325,0.13816871704782258,0.875,0.7999999999999999,
resample_tp4,AF-A0A7U6QNM8-F1,273,273,1000,resample,4,508120,27.283,18624.0,508.1,1.0,v5p-8,0.39643652561247217,0.326007326007326,0.22234979816392478,0.13641758241758242,0.16740872476880037,0.326007326007326,0.39643652561247217,0.1258142857142857
resample_tp4,AF-A0A7V5SJC4-F1,353,276,1000,resample,4,471427,25.866,18225.6,471.4,1.0,v5p-8,0.19369369369369366,0.15579710144927536,0.09109974271378739,0.05111231884057972,0.06469306244026216,0.15579710144927536,0.19369369369369366,0.02708040201005025
