dataset,stem,pdb_id,length,fold_verdict,nearest_train_fold_qtm,seq_leakage,nearest_train_seq_fident,msa_n_seqs,msa_neff,neff_tier
denovo_pdb,1mj0_A,1mj0,156,redundant,0.9838,redundant_seq,0.436,17504,4810.2058,deep
denovo_pdb,1qys_A,1qys,92,same_fold,0.8033,novel_seq,,6,3.0,low
denovo_pdb,1uw1_A,1uw1,67,same_fold,0.6225,novel_seq,,4,2.0,low
denovo_pdb,2avp_A,2avp,68,redundant,0.99,redundant_seq,0.613,18745,4893.998,deep
denovo_pdb,2fkg_A,2fkg,315,same_fold,0.5442,novel_seq,0.256,229,81.5398,deep
denovo_pdb,2fo7_A,2fo7,136,redundant,0.984,redundant_seq,0.466,13915,4772.8152,deep
denovo_pdb,2hkd_A,2hkd,315,same_fold,0.5422,novel_seq,0.256,229,79.3143,deep
denovo_pdb,2hyz_A,2hyz,136,redundant,0.9888,redundant_seq,0.466,13915,4772.8152,deep
denovo_pdb,2i5v_O,2i5v,246,same_fold,0.5461,novel_seq,0.493,229,81.3014,deep
denovo_pdb,2i5z_O,2i5z,246,same_fold,0.5296,novel_seq,,229,81.647,deep
denovo_pdb,2p05_A,2p05,63,same_fold,0.6027,novel_seq,,4,2.0,low
denovo_pdb,2p09_A,2p09,69,same_fold,0.5912,redundant_seq,0.345,4,2.0,low
denovo_pdb,2qyj_A,2qyj,154,redundant,0.9826,redundant_seq,0.485,20691,4833.1254,deep
denovo_pdb,2wqh_A,2wqh,104,redundant,0.9783,redundant_seq,0.537,16634,4902.0813,deep
denovo_pdb,2xen_A,2xen,91,redundant,0.9776,redundant_seq,0.507,24478,4824.7064,deep
denovo_pdb,2zgd_A,2zgd,97,redundant,0.9343,redundant_seq,0.467,18702,4820.2234,deep
denovo_pdb,2zgg_A,2zgg,88,redundant,0.976,redundant_seq,0.478,20854,4826.2272,deep
denovo_pdb,3dgl_A,3dgl,69,same_fold,0.5875,redundant_seq,0.345,4,2.0,low
denovo_pdb,3dgm_A,3dgm,69,same_fold,0.5897,redundant_seq,0.345,4,2.0,low
denovo_pdb,3dgn_A,3dgn,69,same_fold,0.5903,redundant_seq,0.345,4,2.0,low
denovo_pdb,3dgo_A,3dgo,69,same_fold,0.5905,novel_seq,0.287,4,2.0,low
denovo_pdb,3lt8_A,3lt8,69,same_fold,0.5856,novel_seq,0.285,4,2.0,low
denovo_pdb,3lt9_A,3lt9,69,same_fold,0.5856,novel_seq,0.285,4,2.0,low
denovo_pdb,3lta_A,3lta,69,same_fold,0.5887,novel_seq,0.287,4,2.0,low
denovo_pdb,3ltb_A,3ltb,69,same_fold,0.5901,redundant_seq,0.345,4,2.0,low
denovo_pdb,3ltc_A,3ltc,69,same_fold,0.5828,redundant_seq,0.345,4,2.0,low
denovo_pdb,3ltd_A,3ltd,69,same_fold,0.6089,redundant_seq,0.345,4,2.0,low
denovo_pdb,3o49_A,3o49,123,redundant,0.9412,novel_seq,0.273,890,160.1664,deep
denovo_pdb,3o4b_A,3o4b,123,redundant,0.9419,redundant_seq,0.371,1076,140.1339,deep
denovo_pdb,3o4c_A,3o4c,124,redundant,0.9411,redundant_seq,0.371,3462,2210.5238,deep
denovo_pdb,3o4d_A,3o4d,123,redundant,0.9428,novel_seq,0.298,1449,194.8968,deep
denovo_pdb,3p6i_A,3p6i,127,redundant,0.911,redundant_seq,0.371,273,43.993,deep
denovo_pdb,3p6j_A,3p6j,125,same_fold,0.8412,redundant_seq,0.375,765,52.9453,deep
