source,stem,pdb_id,query_len,best_hit,best_fident,best_split,best_train_hit,best_train_fident,best_train_qcov,verdict
denovo_pdb,1mj0_A,1mj0,156,A0A158Q546,0.436,train,A0A158Q546,0.436,0.942,redundant_seq
denovo_pdb,1qys_A,1qys,92,,,,,,,novel_seq
denovo_pdb,1uw1_A,1uw1,67,,,,,,,novel_seq
denovo_pdb,2avp_A,2avp,68,A0A7C7HU28,0.613,train,A0A7C7HU28,0.613,0.897,redundant_seq
denovo_pdb,2fkg_A,2fkg,315,A0A1E7RX63,0.256,train,A0A1E7RX63,0.256,0.270,novel_seq
denovo_pdb,2fo7_A,2fo7,136,A0A1F5VQI9,0.466,train,A0A1F5VQI9,0.466,0.971,redundant_seq
denovo_pdb,2hkd_A,2hkd,315,A0A1E7RX63,0.256,train,A0A1E7RX63,0.256,0.270,novel_seq
denovo_pdb,2hyz_A,2hyz,136,A0A1F5VQI9,0.466,train,A0A1F5VQI9,0.466,0.971,redundant_seq
denovo_pdb,2i5v_O,2i5v,246,A0A7C2ZCR7,0.493,train,A0A7C2ZCR7,0.493,0.130,novel_seq
denovo_pdb,2i5z_O,2i5z,246,,,,,,,novel_seq
denovo_pdb,2p05_A,2p05,63,,,,,,,novel_seq
denovo_pdb,2p09_A,2p09,69,A0A7C5ZPU6,0.345,train,A0A7C5ZPU6,0.345,0.638,redundant_seq
denovo_pdb,2qyj_A,2qyj,154,A0A2J8A511,0.485,train,A0A2J8A511,0.485,0.929,redundant_seq
denovo_pdb,2wqh_A,2wqh,104,A0A7C7HU28,0.537,train,A0A7C7HU28,0.537,0.894,redundant_seq
denovo_pdb,2xen_A,2xen,91,A0A7C1CFG8,0.507,train,A0A7C1CFG8,0.507,0.890,redundant_seq
denovo_pdb,2zgd_A,2zgd,97,A0A1V4WRK2,0.467,train,A0A1V4WRK2,0.467,0.845,redundant_seq
denovo_pdb,2zgg_A,2zgg,88,A0A1V4WRK2,0.478,train,A0A1V4WRK2,0.478,0.932,redundant_seq
denovo_pdb,3dgl_A,3dgl,69,A0A7C5ZPU6,0.345,train,A0A7C5ZPU6,0.345,0.638,redundant_seq
denovo_pdb,3dgm_A,3dgm,69,A0A7C5ZPU6,0.345,train,A0A7C5ZPU6,0.345,0.638,redundant_seq
denovo_pdb,3dgn_A,3dgn,69,A0A7C5ZPU6,0.345,train,A0A7C5ZPU6,0.345,0.638,redundant_seq
denovo_pdb,3dgo_A,3dgo,69,A0A6U5GZN7,0.287,train,A0A6U5GZN7,0.287,0.971,novel_seq
denovo_pdb,3lt8_A,3lt8,69,A0A5B9PDI1,0.285,train,A0A5B9PDI1,0.285,0.899,novel_seq
denovo_pdb,3lt9_A,3lt9,69,A0A5B9PDI1,0.285,train,A0A5B9PDI1,0.285,0.899,novel_seq
denovo_pdb,3lta_A,3lta,69,A0A6U5GZN7,0.287,train,A0A6U5GZN7,0.287,0.971,novel_seq
