stem,n_residues,best_target_rep,best_target_split,best_alntmscore,best_qtmscore,best_train_target_rep,best_train_alntmscore,best_train_qtmscore,best_train_fident,tm_field,n_hits_tm_ge_fold,n_train_hits_tm_ge_fold,verdict,fold_tm,redundant_tm,foldseek_version,db_snapshot_tag
T1027-D1,168,A0A060Y9D7,train,0.4237,0.4047,A0A060Y9D7,0.4237,0.4047,0.022,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,unknown
T1029-D1,125,Q05WS6,train,0.5902,0.5796,Q05WS6,0.5902,0.5796,0.136,qtmscore,4,4,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,unknown
T1031-D1,95,A0A7C1VC26,train,0.7715,0.6243,A0A7C1VC26,0.7715,0.6243,0.126,qtmscore,4,4,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,unknown
T1033-D1,100,A0A2W1A8U0,train,0.6116,0.5706,A0A2W1A8U0,0.6116,0.5706,0.046,qtmscore,18,18,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,unknown
T1035-D1,102,R5JC19,train,0.5134,0.5022,R5JC19,0.5134,0.5022,0.026,qtmscore,1,1,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,unknown
T1037-D1,404,Q752I8,train,0.3959,0.3725,Q752I8,0.3959,0.3725,0.017,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,unknown
T1038-D1,114,A0A4Q4Y1M9,train,0.4849,0.4641,A0A4Q4Y1M9,0.4849,0.4641,0.008,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,unknown
T1038-D2,76,A0A506PP98,train,0.7217,0.7065,A0A506PP98,0.7217,0.7065,0.071,qtmscore,149,146,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,unknown
T1039-D1,161,A0A538F213,train,0.6888,0.611,A0A538F213,0.6888,0.611,0.056,qtmscore,9,9,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,unknown
T1040-D1,130,A0A2R6N289,val,0.5131,0.5067,A0A2H9N096,0.4845,0.4816,0.047,qtmscore,1,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,unknown
T1041-D1,242,A0A847DQX3,train,0.4721,0.4417,A0A847DQX3,0.4721,0.4417,0.004,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,unknown
T1042-D1,276,A0A540VS26,train,0.4333,0.4147,A0A540VS26,0.4333,0.4147,0.012,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,unknown
T1043-D1,148,A0A3Q1AI13,train,0.4763,0.4444,A0A3Q1AI13,0.4763,0.4444,0.025,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,unknown
T1049-D1,134,S0KN54,train,0.5577,0.4825,S0KN54,0.5577,0.4825,0.027,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,unknown
T1104-D1,117,A0A849QJX6,train,0.5823,0.5786,A0A849QJX6,0.5823,0.5786,0.043,qtmscore,2,2,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,unknown
T1112-D1,415,A0A537V9Z5,train,0.8964,0.8672,A0A537V9Z5,0.8964,0.8672,0.331,qtmscore,6,6,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,unknown
T1113-D1,167,A0A0F2J294,train,0.5616,0.5335,A0A0F2J294,0.5616,0.5335,0.024,qtmscore,1,1,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,unknown
