eval00320	afdb|AF-A0A2E0MM04-F1	0.642	14	0.068	0.039	7.831E+01	19
eval00320	esmfold2|a21f7dd70d305326aaba492ee3ec4d9a	0.523	21	0.102	0.057	1.039E+02	18
eval00320	esmfold2|06daadb5060ab6309b4ebfef188bf74e	0.666	12	0.058	0.028	2.428E+02	17
eval00320	esmfold2|923f5d29705fb5b69dacd47e95d7c3f9	0.381	54	0.233	0.144	4.273E+02	16
eval00320	esmfold2|d16c78269e66265977060189d7057245	0.371	34	0.165	0.068	4.273E+02	16
eval00320	esmfold2|bd44b957c1d1ec4747246c95771803d6	0.416	12	0.058	0.050	5.668E+02	16
eval00320	esmfold2|aaaea8e664972d494bcf84f562241788	0.500	16	0.068	0.044	7.518E+02	16
eval00320	esmfold2|5915edcd2664b9c6d8c9a5a653eb7058	0.285	14	0.068	0.050	9.970E+02	15
eval00352	esmfold2|a79b323897d982e058d9779fbb8e4cd0	0.444	27	0.137	0.063	1.384E+00	24
eval00352	afdb|AF-A0A1Y1KYZ3-F1	0.615	13	0.066	0.032	1.793E+01	21
eval00352	esmfold2|9499586fe6b5b2278afa4b92c9a17408	0.393	33	0.152	0.078	1.793E+01	21
eval00352	afdb|AF-A0A0F4VZ04-F1	0.611	18	0.091	0.041	2.382E+01	20
eval00352	esmfold2|9446c88897d91e8e425722c64cdcb2e9	0.270	37	0.178	0.101	7.413E+01	19
eval00352	afdb|AF-A0A511H2V6-F1	0.272	22	0.112	0.037	7.413E+01	19
eval00352	esmfold2|a33e5501061f9befd5f559bb28ff4ff2	0.266	45	0.198	0.093	9.843E+01	18
eval00352	esmfold2|1af17abf9ce8c3bd578cabd30689b2be	0.538	13	0.066	0.031	1.307E+02	18
eval00352	afdb|AF-H6C109-F1	0.470	17	0.086	0.031	1.735E+02	18
eval00352	esmfold2|9dc85995f2d08c9a603e1127cb7cb740	0.400	15	0.076	0.054	3.057E+02	17
eval00352	afdb|AF-I3Z349-F1	0.300	40	0.157	0.097	5.384E+02	16
eval00352	esmfold2|3a5b5714ba4e78f05fdf09a3bd193b76	0.357	28	0.117	0.059	5.384E+02	16
eval00544	esmfold2|ca21b7a1dfcd230af48a416ce70abc12	0.306	91	0.208	0.187	1.157E+00	26
eval00544	esmfold2|bd81e48fb09459b1706fb3f98f70b37d	0.311	88	0.215	0.273	4.649E+00	24
eval00544	esmfold2|55a517f001f55c994452f1b8cc101675	0.288	52	0.105	0.104	1.071E+01	23
eval00544	afdb|AF-A0A2H5EWQ5-F1	0.360	25	0.061	0.037	1.071E+01	23
eval00544	esmfold2|dffbc747f2d4c743674a8c42081c0c73	0.450	20	0.049	0.102	1.414E+01	22
eval00544	esmfold2|be7c7c1bee6aaa74fd52b72288c3f67c	0.461	26	0.064	0.055	1.414E+01	22
eval00544	esmfold2|0be7feaedab2964e563b39e9b563c780	0.533	15	0.037	0.087	3.257E+01	21
eval00544	esmfold2|a33e5501061f9befd5f559bb28ff4ff2	0.276	76	0.159	0.158	3.257E+01	21
eval00544	afdb|AF-A0A2D6Y2Z5-F1	0.400	20	0.049	0.078	4.300E+01	21
eval00544	afdb|AF-A0A5B2WNE4-F1	0.423	25	0.051	0.079	4.300E+01	21
eval00544	esmfold2|d3003ac8eb8028a9ce30ae167a7df31d	0.323	32	0.078	0.062	5.678E+01	20
eval00544	esmfold2|4bf49e5f71e255a47adae528e6f43e24	0.409	22	0.054	0.039	5.678E+01	20
eval00544	afdb|AF-A0A5C8CB57-F1	0.400	20	0.049	0.150	7.498E+01	20
eval00544	esmfold2|e1371a6a577c74350835f33380574494	0.202	69	0.156	0.282	7.498E+01	20
eval00544	esmfold2|b9f137bf1ea6c8213c5c756cad0bc2f9	0.320	25	0.061	0.069	7.498E+01	20
eval00544	afdb|AF-A0A2U2MX48-F1	0.333	58	0.142	0.067	7.498E+01	20
eval00544	afdb|AF-A0A2H0PKF8-F1	0.323	34	0.081	0.080	9.900E+01	19
eval00544	afdb|AF-A0A5C7J7C3-F1	0.303	33	0.066	0.065	9.900E+01	19
eval00544	afdb|AF-A0A450S547-F1	0.300	30	0.073	0.047	9.900E+01	19
eval00544	afdb|AF-A0A1E4Y872-F1	0.333	33	0.081	0.330	1.307E+02	19
eval00544	afdb|AF-A0A022RB63-F1	0.500	16	0.039	0.098	1.307E+02	19
eval00544	esmfold2|232fb88b5c7cd57bbeb1834f4eef0575	0.252	85	0.208	0.159	1.726E+02	19
eval00544	afdb|AF-K0R1Q6-F1	0.250	20	0.049	0.034	1.726E+02	19
eval00544	afdb|AF-A0A6N7ALZ6-F1	0.375	24	0.059	0.039	1.726E+02	19
eval00544	afdb|AF-A0A550CNX1-F1	0.470	17	0.042	0.024	1.726E+02	19
eval00544	esmfold2|971a1da570d0bd65967ef647ec6f5d62	0.259	77	0.159	0.360	2.279E+02	18
eval00544	esmfold2|413de3b49ddd93e21acf4b0522392224	0.291	24	0.059	0.062	2.279E+02	18
eval00544	afdb|AF-A0A063CC99-F1	0.270	91	0.222	0.167	2.279E+02	18
eval00544	afdb|AF-A0A6B0Q6F8-F1	0.400	25	0.054	0.043	2.279E+02	18
eval00544	esmfold2|8bae68250342850f55bd231df62c1732	0.307	39	0.093	0.094	3.009E+02	18
eval00544	afdb|AF-A0A6M0A0U9-F1	0.315	19	0.046	0.043	3.009E+02	18
eval00544	afdb|AF-A0A7I7M9D1-F1	0.243	41	0.100	0.040	3.009E+02	18
eval00544	esmfold2|9754644cb77bea9c8ef42fa312674958	0.263	38	0.093	0.194	3.973E+02	18
eval00544	esmfold2|98431bc0079cf72c1b730dcb0db1fe25	0.253	71	0.174	0.158	3.973E+02	18
eval00544	afdb|AF-A0A7X7UG65-F1	0.282	44	0.100	0.057	3.973E+02	18
eval00544	esmfold2|4120a68ac0a67681f9b9b3b1cced6ba0	0.533	15	0.037	0.078	5.245E+02	17
eval00544	esmfold2|98bd964e15e2e98ef901fbc8f0e738b9	0.461	13	0.032	0.064	5.245E+02	17
eval00544	afdb|AF-A0A841IV32-F1	0.500	12	0.029	0.038	5.245E+02	17
eval00544	esmfold2|2d4babb35e02e8a726ac0ddfad3e9107	0.533	15	0.037	0.029	5.245E+02	17
eval00544	esmfold2|1e1f75c5ee9bdc0f8c342604e8764f65	0.583	12	0.029	0.021	5.245E+02	17
eval00544	afdb|AF-F0HUX5-F1	0.314	35	0.078	0.090	6.925E+02	17
eval00544	esmfold2|3ba1c8457ef62786e638fd91c929723d	0.303	33	0.066	0.068	6.925E+02	17
eval00544	afdb|AF-A0A1I5YXU4-F1	0.281	32	0.078	0.085	9.142E+02	16
eval01381	esmfold2|b0622ff721fe8f8303dd89e243dbb9e5	0.248	147	0.481	0.343	7.318E-01	26
eval01381	esmfold2|b0293d67e98fdbfb2545e006bcae41b9	0.266	130	0.449	0.135	7.318E-01	26
eval01381	afdb|AF-A0A5E9FWY0-F1	0.236	92	0.283	0.095	2.980E+00	24
eval01381	esmfold2|643734f17f7397c66964e34e0a225eea	0.285	70	0.212	0.139	6.915E+00	23
eval01381	esmfold2|b75b669ec6635d8bd71b9adfd81dcaf1	0.375	24	0.085	0.097	9.154E+00	22
eval01381	esmfold2|ee3be6dfdc48f8166acffa35ac153f6b	0.229	74	0.261	0.141	9.154E+00	22
eval01381	afdb|AF-A0A0K9R841-F1	0.264	53	0.187	0.092	1.212E+01	22
eval01381	afdb|AF-A0A3A0VL70-F1	0.220	58	0.205	0.163	1.604E+01	21
eval01381	esmfold2|b35061e719820475f7e71c36de556ae2	0.246	81	0.254	0.154	3.719E+01	20
eval01381	esmfold2|a81887beef801640edc79d4301f1ef78	0.583	12	0.042	0.088	6.514E+01	19
eval01381	afdb|AF-A0A1W9L8E3-F1	0.533	15	0.053	0.077	6.514E+01	19
eval01381	afdb|AF-A0A7X2TV86-F1	0.250	48	0.145	0.241	6.514E+01	19
eval01381	esmfold2|2b3b5749b4f8487f2fc0a33f013016ea	0.347	23	0.081	0.048	6.514E+01	19
