target,decoy_id,map_mode,sample_idx,ptm,ranking_score,candidate_output_tm,helico_composite,selected_by_helico
1aaj,empty_tag_205_0001_1_0001.pdb,full,0,0.8397568464279175,0.8397568464279175,0.7275184802566154,0.6109386246983265,1
1aaj,empty_tag_205_0001_1_0001.pdb,full,1,0.8371850252151489,0.8371850252151489,0.7271130148964714,0.6087281277103653,0
1aaj,empty_tag_205_0001_1_0001.pdb,full,2,0.8359730243682861,0.8359730243682861,0.7181516468639464,0.6003554041839186,0
2i4a,empty_tag_823_0010_0001.pdb,full,0,0.9062268733978271,0.9062268733978271,0.7642849570342078,0.6926155669981028,0
2i4a,empty_tag_823_0010_0001.pdb,full,1,0.9070019721984863,0.9070019721984863,0.765517301985185,0.694325702652627,1
2i4a,empty_tag_823_0010_0001.pdb,full,2,0.9063929915428162,0.9063929915428162,0.7489240007441477,0.6788194654727023,0
1kaf,empty_tag_1_584_0001.pdb,full,0,0.8554348945617676,0.8554348945617676,0.6584653130820229,0.5632742056689015,0
1kaf,empty_tag_1_584_0001.pdb,full,1,0.8557461500167847,0.8557461500167847,0.6490991280014096,0.5554640797664584,1
1kaf,empty_tag_1_584_0001.pdb,full,2,0.8548476696014404,0.8548476696014404,0.6555274723010843,0.5603761320563048,0
1aaj,empty_tag_1_943_0001.pdb,full,0,0.9249829053878784,0.9249829053878784,0.8086741775505575,0.7480097902628677,0
1aaj,empty_tag_1_943_0001.pdb,full,1,0.9257400035858154,0.9257400035858154,0.8165505637315973,0.7559135217968885,1
1aaj,empty_tag_1_943_0001.pdb,full,2,0.9254111051559448,0.9254111051559448,0.8130900317415317,0.7524425448652131,0
1z2u,empty_tag_215_0001_0001.pdb,full,0,0.9414244294166565,0.9414244294166565,0.875176590940627,0.8239126227650944,0
1z2u,empty_tag_215_0001_0001.pdb,full,1,0.9416133761405945,0.9416133761405945,0.8760188919258932,0.8248711063892828,1
1z2u,empty_tag_215_0001_0001.pdb,full,2,0.9413242340087891,0.9413242340087891,0.8769026867701206,0.8254497499241329,0
1kaf,empty_tag_1_37_0001.pdb,full,0,0.9376210570335388,0.9376210570335388,0.8334758600816232,0.7814845169416694,0
1kaf,empty_tag_1_37_0001.pdb,full,1,0.9379072189331055,0.9379072189331055,0.8152672195463226,0.764645010572017,1
1kaf,empty_tag_1_37_0001.pdb,full,2,0.9376071691513062,0.9376071691513062,0.8282643290720683,0.7765865728902678,0
2ic6,empty_tag_778_0001_1_0001.pdb,full,0,0.7896393537521362,0.7896393537521362,0.719561051590685,0.568193723763276,1
2ic6,empty_tag_778_0001_1_0001.pdb,full,1,0.7892962098121643,0.7892962098121643,0.7027718415734816,0.5546951509166639,0
2ic6,empty_tag_778_0001_1_0001.pdb,full,2,0.7889524102210999,0.7889524102210999,0.7009261621593614,0.5529973850226537,0
1hz6,empty_tag_4629_0001_0001.pdb,full,0,0.544837474822998,0.544837474822998,0.680750151382339,0.37089819346452724,0
1hz6,empty_tag_4629_0001_0001.pdb,full,1,0.5488312244415283,0.5488312244415283,0.6703545120100135,0.3679114876363589,1
1hz6,empty_tag_4629_0001_0001.pdb,full,2,0.548412024974823,0.548412024974823,0.7029268200642158,0.3854935208005296,0
1kaf,empty_tag_1_482_0001.pdb,full,0,0.940920889377594,0.940920889377594,0.8020357858689962,0.7546522249525134,0
1kaf,empty_tag_1_482_0001.pdb,full,1,0.9412649273872375,0.9412649273872375,0.7927373918476558,0.7461759035746318,1
1kaf,empty_tag_1_482_0001.pdb,full,2,0.9408532977104187,0.9408532977104187,0.8077530957229477,0.7599771638467349,0
1aaj,empty_tag_1_165_1_0001.pdb,full,0,0.8270282745361328,0.8270282745361328,0.7120059777155133,0.5888490752094733,0
1aaj,empty_tag_1_165_1_0001.pdb,full,1,0.827731728553772,0.827731728553772,0.7534199987883649,0.623629637924074,1
1aaj,empty_tag_1_165_1_0001.pdb,full,2,0.8270177245140076,0.8270177245140076,0.7917966138677633,0.6548298338788139,0
1kaf,empty_tag_1148_0001_0001.pdb,full,0,0.9393506646156311,0.9393506646156311,0.6909631597194156,0.6490567033073494,0
1kaf,empty_tag_1148_0001_0001.pdb,full,1,0.9394780397415161,0.9394780397415161,0.6754711013852138,0.6345902662314236,1
1kaf,empty_tag_1148_0001_0001.pdb,full,2,0.9393024444580078,0.9393024444580078,0.6933172618139114,0.6512345988067396,0
1su9,empty_tag_1208_0001_0001.pdb,full,0,0.8816213011741638,0.8816213011741638,0.7450891733668541,0.656886486514468,0
1su9,empty_tag_1208_0001_0001.pdb,full,1,0.8839439153671265,0.8839439153671265,0.8203556803381494,0.7251484120717666,0
1su9,empty_tag_1208_0001_0001.pdb,full,2,0.8851401209831238,0.8851401209831238,0.8198448394190305,0.7256775603507504,1
1z2u,empty_tag_3896_0001_0001.pdb,full,0,0.56949782371521,0.56949782371521,0.5899314806156104,0.3359646943516817,0
1z2u,empty_tag_3896_0001_0001.pdb,full,1,0.569545567035675,0.569545567035675,0.64791227549723,0.36901556433744437,1
1z2u,empty_tag_3896_0001_0001.pdb,full,2,0.5630742311477661,0.5630742311477661,0.6746957357157958,0.3799037826468481,0
2ic6,empty_tag_1_919_0001.pdb,full,0,0.8038330078125,0.8038330078125,0.6944596983782372,0.5582296281519399,0
2ic6,empty_tag_1_919_0001.pdb,full,1,0.8055211305618286,0.8055211305618286,0.7014219783283229,0.565010224983945,1
2ic6,empty_tag_1_919_0001.pdb,full,2,0.8039880394935608,0.8039880394935608,0.6750879450675217,0.5427626334405734,0
1aaj,empty_tag_908_0001_0001.pdb,full,0,0.8243192434310913,0.8243192434310913,0.7738426950010688,0.6378934248779579,0
1aaj,empty_tag_908_0001_0001.pdb,full,1,0.8259321451187134,0.8259321451187134,0.7520270735154541,0.6211233340159673,1
1aaj,empty_tag_908_0001_0001.pdb,full,2,0.8247414231300354,0.8247414231300354,0.7285538187458241,0.6008685132992528,0
2i4a,empty_tag_2568_0001_0001.pdb,full,0,0.5998292565345764,0.5998292565345764,0.5970160576608651,0.3581076980059205,0
