method,target,n_decoys,spearman_tmscore,top1_tmscore,top1_gdt_ts,oracle_tmscore,top1_tmscore_regret,selected_decoy_id
Helico pTM,1aaj,24,0.8608695652173913,0.8579,0.871,0.9797,0.12180000000000002,empty_tag_1524_0001_0001.pdb
Helico pTM,1hz6,24,0.7043478260869566,0.8297,0.911,0.9412,0.11150000000000004,empty_tag_7103_0001_0001.pdb
Helico pTM,1kaf,24,0.7565217391304347,0.903,0.903,0.9714,0.06840000000000002,empty_tag_1_482_0001.pdb
Helico pTM,1su9,24,0.9182608695652174,0.9418,0.954,0.9664,0.024600000000000066,empty_tag_1_114_0001.pdb
Helico pTM,1uow,24,0.9339130434782609,0.9868,0.997,0.9868,0.0,empty_tag_1_25_0001.pdb
Helico pTM,1z2u,24,0.8191304347826087,0.9725,0.977,0.9725,0.0,empty_tag_215_0001_0001.pdb
Helico pTM,2i4a,24,0.9069565217391304,0.9553,0.979,0.9553,0.0,empty_tag_583_0001_0001.pdb
Helico pTM,2ic6,24,0.888695652173913,0.9666,0.997,0.9666,0.0,empty_tag_1_437_0001.pdb
Helico pTM,2igd,24,0.8782608695652174,0.9056,0.964,0.9421,0.03650000000000009,empty_tag_8549_0001_0001.pdb
Helico mean-sample pTM,1aaj,24,0.8643478260869565,0.8579,0.871,0.9797,0.12180000000000002,empty_tag_1524_0001_0001.pdb
Helico mean-sample pTM,1hz6,24,0.7026086956521739,0.8297,0.911,0.9412,0.11150000000000004,empty_tag_7103_0001_0001.pdb
Helico mean-sample pTM,1kaf,24,0.7565217391304347,0.903,0.903,0.9714,0.06840000000000002,empty_tag_1_482_0001.pdb
Helico mean-sample pTM,1su9,24,0.9182608695652174,0.9418,0.954,0.9664,0.024600000000000066,empty_tag_1_114_0001.pdb
Helico mean-sample pTM,1uow,24,0.9339130434782609,0.9868,0.997,0.9868,0.0,empty_tag_1_25_0001.pdb
Helico mean-sample pTM,1z2u,24,0.8243478260869566,0.9725,0.977,0.9725,0.0,empty_tag_215_0001_0001.pdb
Helico mean-sample pTM,2i4a,24,0.9034782608695652,0.9553,0.979,0.9553,0.0,empty_tag_583_0001_0001.pdb
Helico mean-sample pTM,2ic6,24,0.888695652173913,0.9666,0.997,0.9666,0.0,empty_tag_1_437_0001.pdb
Helico mean-sample pTM,2igd,24,0.8791304347826087,0.9056,0.964,0.9421,0.03650000000000009,empty_tag_8549_0001_0001.pdb
Helico mean CA pLDDT,1aaj,24,0.8530434782608696,0.9457,0.965,0.9797,0.03400000000000003,empty_tag_1_943_0001.pdb
Helico mean CA pLDDT,1hz6,24,0.7104347826086956,0.8297,0.911,0.9412,0.11150000000000004,empty_tag_7103_0001_0001.pdb
Helico mean CA pLDDT,1kaf,24,0.7921739130434783,0.903,0.903,0.9714,0.06840000000000002,empty_tag_1_482_0001.pdb
Helico mean CA pLDDT,1su9,24,0.8921739130434783,0.9418,0.954,0.9664,0.024600000000000066,empty_tag_1_114_0001.pdb
Helico mean CA pLDDT,1uow,24,0.922608695652174,0.9868,0.997,0.9868,0.0,empty_tag_1_25_0001.pdb
Helico mean CA pLDDT,1z2u,24,0.9017391304347826,0.9725,0.977,0.9725,0.0,empty_tag_215_0001_0001.pdb
Helico mean CA pLDDT,2i4a,24,0.9,0.9553,0.979,0.9553,0.0,empty_tag_583_0001_0001.pdb
Helico mean CA pLDDT,2ic6,24,0.8817391304347826,0.9666,0.997,0.9666,0.0,empty_tag_1_437_0001.pdb
Helico mean CA pLDDT,2igd,24,0.9095652173913044,0.9056,0.964,0.9421,0.03650000000000009,empty_tag_8549_0001_0001.pdb
Helico composite,1aaj,24,0.8921739130434783,0.9797,0.996,0.9797,0.0,empty_tag_26_0001_0001.pdb
Helico composite,1hz6,24,0.7217391304347827,0.9412,0.99,0.9412,0.0,empty_tag_4316_0001_0001.pdb
Helico composite,1kaf,24,0.9504347826086956,0.9714,0.987,0.9714,0.0,empty_tag_1_25_0001.pdb
Helico composite,1su9,24,0.9147826086956522,0.9664,0.981,0.9664,0.0,empty_tag_78_0001_0001.pdb
Helico composite,1uow,24,0.9782608695652174,0.9868,0.997,0.9868,0.0,empty_tag_1_25_0001.pdb
Helico composite,1z2u,24,0.9634782608695652,0.9725,0.977,0.9725,0.0,empty_tag_215_0001_0001.pdb
Helico composite,2i4a,24,0.9017391304347826,0.9553,0.979,0.9553,0.0,empty_tag_583_0001_0001.pdb
Helico composite,2ic6,24,0.8095652173913044,0.9666,0.997,0.9666,0.0,empty_tag_1_437_0001.pdb
Helico composite,2igd,24,0.8730434782608696,0.8797,0.941,0.9421,0.06240000000000001,empty_tag_880_0011_0001.pdb
AF2Rank composite,1aaj,24,0.9539130434782609,0.9457,0.965,0.9797,0.03400000000000003,empty_tag_1_943_0001.pdb
AF2Rank composite,1hz6,24,0.888695652173913,0.9412,0.99,0.9412,0.0,empty_tag_4316_0001_0001.pdb
AF2Rank composite,1kaf,24,0.98,0.9714,0.987,0.9714,0.0,empty_tag_1_25_0001.pdb
AF2Rank composite,1su9,24,0.9808695652173913,0.9664,0.981,0.9664,0.0,empty_tag_78_0001_0001.pdb
AF2Rank composite,1uow,24,0.8921739130434783,0.9024,0.879,0.9868,0.08440000000000003,empty_tag_738_0001_0001.pdb
AF2Rank composite,1z2u,24,0.9826086956521739,0.9725,0.977,0.9725,0.0,empty_tag_215_0001_0001.pdb
AF2Rank composite,2i4a,24,0.9330434782608695,0.9553,0.979,0.9553,0.0,empty_tag_583_0001_0001.pdb
AF2Rank composite,2ic6,24,0.9547826086956521,0.9666,0.997,0.9666,0.0,empty_tag_1_437_0001.pdb
AF2Rank composite,2igd,24,0.9260869565217391,0.9421,0.99,0.9421,0.0,empty_tag_7129_0001_0001.pdb
AF2 pTM,1aaj,24,0.8573913043478261,0.9266,0.956,0.9797,0.053100000000000036,empty_tag_1_63_0001.pdb
AF2 pTM,1hz6,24,0.8034782608695652,0.9412,0.99,0.9412,0.0,empty_tag_4316_0001_0001.pdb
AF2 pTM,1kaf,24,0.84,0.9714,0.987,0.9714,0.0,empty_tag_1_25_0001.pdb
AF2 pTM,1su9,24,0.9295652173913044,0.9664,0.981,0.9664,0.0,empty_tag_78_0001_0001.pdb
AF2 pTM,1uow,24,0.7226086956521739,0.9024,0.879,0.9868,0.08440000000000003,empty_tag_738_0001_0001.pdb
AF2 pTM,1z2u,24,0.9756521739130435,0.8945,0.885,0.9725,0.07800000000000007,empty_tag_1104_0001_0001.pdb
AF2 pTM,2i4a,24,0.9121739130434783,0.9553,0.979,0.9553,0.0,empty_tag_583_0001_0001.pdb
AF2 pTM,2ic6,24,0.7147826086956521,0.9224,0.955,0.9666,0.04420000000000002,empty_tag_1269_0001_0001.pdb
AF2 pTM,2igd,24,0.8973913043478261,0.8377,0.889,0.9421,0.10440000000000005,empty_tag_669_0013_0001.pdb
DeepAccNet,1aaj,24,0.7704347826086957,0.9797,0.996,0.9797,0.0,empty_tag_26_0001_0001.pdb
DeepAccNet,1hz6,24,0.6304347826086957,0.9412,0.99,0.9412,0.0,empty_tag_4316_0001_0001.pdb
DeepAccNet,1kaf,24,0.9139130434782609,0.9714,0.987,0.9714,0.0,empty_tag_1_25_0001.pdb
DeepAccNet,1su9,24,0.9756521739130435,0.9418,0.954,0.9664,0.024600000000000066,empty_tag_1_114_0001.pdb
DeepAccNet,1uow,24,0.9121739130434783,0.9868,0.997,0.9868,0.0,empty_tag_1_25_0001.pdb
DeepAccNet,1z2u,24,0.9458578175327219,0.9725,0.977,0.9725,0.0,empty_tag_215_0001_0001.pdb
DeepAccNet,2i4a,24,0.9234782608695652,0.9553,0.979,0.9553,0.0,empty_tag_583_0001_0001.pdb
DeepAccNet,2ic6,24,0.9449880632177493,0.9065,0.955,0.9666,0.06010000000000004,empty_tag_1_492_0001.pdb
DeepAccNet,2igd,24,0.8182608695652174,0.9056,0.964,0.9421,0.03650000000000009,empty_tag_8549_0001_0001.pdb
Rosetta energy,1aaj,24,0.8304347826086956,0.9797,0.996,0.9797,0.0,empty_tag_26_0001_0001.pdb
Rosetta energy,1hz6,24,0.6069565217391304,0.9412,0.99,0.9412,0.0,empty_tag_4316_0001_0001.pdb
Rosetta energy,1kaf,24,0.8652173913043478,0.9714,0.987,0.9714,0.0,empty_tag_1_25_0001.pdb
Rosetta energy,1su9,24,0.9295652173913044,0.9664,0.981,0.9664,0.0,empty_tag_78_0001_0001.pdb
Rosetta energy,1uow,24,0.7913043478260869,0.9868,0.997,0.9868,0.0,empty_tag_1_25_0001.pdb
Rosetta energy,1z2u,24,0.9043478260869565,0.9725,0.977,0.9725,0.0,empty_tag_215_0001_0001.pdb
Rosetta energy,2i4a,24,0.8391304347826087,0.9553,0.979,0.9553,0.0,empty_tag_583_0001_0001.pdb
