entry_id,r,n_gen_tokens,finished,n_pred,all_npred,all_tp,all_prec,all_rec,all_f1,short_npred,short_tp,short_prec,short_rec,short_f1,med_npred,med_tp,med_prec,med_rec,med_f1,long_npred,long_tp,long_prec,long_rec,long_f1,n_sections,best_f1,last_f1,first_f1,frac_improving,mean_jaccard
cameo_hard__8j4i_A,0,610,True,200,200,5,0.025,0.03937007874015748,0.030581039755351678,37,1,0.02702702702702703,0.125,0.044444444444444446,50,2,0.04,0.06451612903225806,0.04938271604938271,113,2,0.017699115044247787,0.022727272727272728,0.01990049751243781,1,0.030581039755351678,0.030581039755351678,0.030581039755351678,nan,nan
cameo_hard__8j4i_A,1,535,True,177,177,3,0.01694915254237288,0.023622047244094488,0.01973684210526316,27,0,0.0,0.0,0.0,57,2,0.03508771929824561,0.06451612903225806,0.04545454545454545,93,1,0.010752688172043012,0.011363636363636364,0.011049723756906077,1,0.01973684210526316,0.01973684210526316,0.01973684210526316,nan,nan
cameo_hard__8j4i_A,2,367,True,121,121,3,0.024793388429752067,0.023622047244094488,0.024193548387096774,29,1,0.034482758620689655,0.125,0.05405405405405405,24,2,0.08333333333333333,0.06451612903225806,0.07272727272727274,68,0,0.0,0.0,0.0,1,0.024193548387096774,0.024193548387096774,0.024193548387096774,nan,nan
cameo_hard__8j4i_A,3,250,True,83,83,4,0.04819277108433735,0.031496062992125984,0.03809523809523809,21,1,0.047619047619047616,0.125,0.06896551724137931,30,2,0.06666666666666667,0.06451612903225806,0.06557377049180328,32,1,0.03125,0.011363636363636364,0.016666666666666666,1,0.03809523809523809,0.03809523809523809,0.03809523809523809,nan,nan
cameo_hard__8raj_A,0,105,True,28,28,10,0.35714285714285715,0.7692307692307693,0.48780487804878053,12,4,0.3333333333333333,0.6666666666666666,0.4444444444444444,14,4,0.2857142857142857,0.8,0.4210526315789473,2,2,1.0,1.0,1.0,1,0.48780487804878053,0.48780487804878053,0.48780487804878053,nan,nan
cameo_hard__8raj_A,1,97,True,26,26,3,0.11538461538461539,0.23076923076923078,0.15384615384615388,7,3,0.42857142857142855,0.5,0.4615384615384615,18,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,1,0.15384615384615388,0.15384615384615388,0.15384615384615388,nan,nan
cameo_hard__8raj_A,2,55,True,18,18,4,0.2222222222222222,0.3076923076923077,0.2580645161290323,12,2,0.16666666666666666,0.3333333333333333,0.2222222222222222,5,1,0.2,0.2,0.20000000000000004,1,1,1.0,0.5,0.6666666666666666,1,0.2580645161290323,0.2580645161290323,0.2580645161290323,nan,nan
cameo_hard__8raj_A,3,70,True,23,23,4,0.17391304347826086,0.3076923076923077,0.2222222222222222,8,4,0.5,0.6666666666666666,0.5714285714285715,15,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0.2222222222222222,0.2222222222222222,0.2222222222222222,nan,nan
cameo_hard__8s89_A,0,808,True,268,268,15,0.055970149253731345,0.04398826979472141,0.04926108374384237,24,6,0.25,0.25,0.25,18,7,0.3888888888888889,0.125,0.1891891891891892,226,2,0.008849557522123894,0.007662835249042145,0.008213552361396304,1,0.04926108374384237,0.04926108374384237,0.04926108374384237,nan,nan
cameo_hard__8s89_A,1,1018,True,336,336,35,0.10416666666666667,0.10263929618768329,0.103397341211226,48,12,0.25,0.5,0.3333333333333333,63,17,0.2698412698412698,0.30357142857142855,0.2857142857142857,225,6,0.02666666666666667,0.022988505747126436,0.024691358024691353,1,0.103397341211226,0.103397341211226,0.103397341211226,nan,nan
