entry_id,r,n_gen_tokens,finished,n_pred,all_npred,all_tp,all_prec,all_rec,all_f1,short_npred,short_tp,short_prec,short_rec,short_f1,med_npred,med_tp,med_prec,med_rec,med_f1,long_npred,long_tp,long_prec,long_rec,long_f1,n_sections,best_f1,last_f1,first_f1,frac_improving,mean_jaccard
cameo_hard__8j4i_A,0,598,True,197,197,2,0.01015228426395939,0.015748031496062992,0.012345679012345678,35,1,0.02857142857142857,0.125,0.04651162790697674,46,0,0.0,0.0,0.0,116,1,0.008620689655172414,0.011363636363636364,0.00980392156862745,1,0.012345679012345678,0.012345679012345678,0.012345679012345678,nan,nan
cameo_hard__8j4i_A,1,646,True,214,214,5,0.02336448598130841,0.03937007874015748,0.029325513196480937,35,0,0.0,0.0,0.0,47,0,0.0,0.0,0.0,132,5,0.03787878787878788,0.056818181818181816,0.045454545454545456,1,0.029325513196480937,0.029325513196480937,0.029325513196480937,nan,nan
cameo_hard__8j4i_A,2,391,True,130,130,4,0.03076923076923077,0.031496062992125984,0.0311284046692607,23,3,0.13043478260869565,0.375,0.19354838709677416,27,1,0.037037037037037035,0.03225806451612903,0.034482758620689655,80,0,0.0,0.0,0.0,1,0.0311284046692607,0.0311284046692607,0.0311284046692607,nan,nan
cameo_hard__8j4i_A,3,532,True,177,177,3,0.01694915254237288,0.023622047244094488,0.01973684210526316,23,2,0.08695652173913043,0.25,0.12903225806451613,34,1,0.029411764705882353,0.03225806451612903,0.030769230769230767,120,0,0.0,0.0,0.0,1,0.01973684210526316,0.01973684210526316,0.01973684210526316,nan,nan
cameo_hard__8raj_A,0,100,True,33,33,2,0.06060606060606061,0.15384615384615385,0.08695652173913043,15,2,0.13333333333333333,0.3333333333333333,0.19047619047619044,18,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0.08695652173913043,0.08695652173913043,0.08695652173913043,nan,nan
cameo_hard__8raj_A,1,28,True,9,9,6,0.6666666666666666,0.46153846153846156,0.5454545454545455,2,1,0.5,0.16666666666666666,0.25,5,4,0.8,0.8,0.8000000000000002,2,1,0.5,0.5,0.5,1,0.5454545454545455,0.5454545454545455,0.5454545454545455,nan,nan
cameo_hard__8raj_A,2,85,True,28,28,7,0.25,0.5384615384615384,0.3414634146341463,6,3,0.5,0.5,0.5,10,3,0.3,0.6,0.4,12,1,0.08333333333333333,0.5,0.14285714285714285,1,0.3414634146341463,0.3414634146341463,0.3414634146341463,nan,nan
cameo_hard__8raj_A,3,73,True,24,24,2,0.08333333333333333,0.15384615384615385,0.10810810810810811,8,1,0.125,0.16666666666666666,0.14285714285714288,12,1,0.08333333333333333,0.2,0.11764705882352941,4,0,0.0,0.0,0.0,1,0.10810810810810811,0.10810810810810811,0.10810810810810811,nan,nan
cameo_hard__8s89_A,0,847,True,281,281,30,0.10676156583629894,0.08797653958944282,0.09646302250803858,43,10,0.23255813953488372,0.4166666666666667,0.29850746268656714,48,17,0.3541666666666667,0.30357142857142855,0.3269230769230769,190,3,0.015789473684210527,0.011494252873563218,0.013303769401330379,1,0.09646302250803858,0.09646302250803858,0.09646302250803858,nan,nan
cameo_hard__8s89_A,1,1117,True,372,372,50,0.13440860215053763,0.1466275659824047,0.1402524544179523,41,8,0.1951219512195122,0.3333333333333333,0.24615384615384614,75,23,0.30666666666666664,0.4107142857142857,0.3511450381679389,256,19,0.07421875,0.07279693486590039,0.0735009671179884,1,0.1402524544179523,0.1402524544179523,0.1402524544179523,nan,nan
