pair_id,budget,primary,split,seq_class,strict_exact,n_valid,n_fold1_hits,n_fold2_hits,fold1_hit,fold2_hit,dual_hit,n_fold1_strict,n_fold2_strict,dual_strict,first_fold1_draw,first_fold2_draw,first_dual_draw,best_fold1_recall_fs,best_fold2_recall_fs
1h38d_1qlna,10,False,test,identical,True,10,4,0,True,False,False,1,0,False,1.0,,,0.5555555555555556,0.3333333333333333
1h38d_1qlna,25,False,test,identical,True,25,9,3,True,True,True,3,0,False,1.0,17.0,17.0,0.5555555555555556,0.3333333333333333
1h38d_1qlna,50,False,test,identical,True,49,19,5,True,True,True,6,0,False,1.0,17.0,17.0,0.5555555555555556,0.3333333333333333
1h38d_1qlna,100,False,test,identical,True,98,38,10,True,True,True,11,2,True,1.0,17.0,17.0,0.5555555555555556,0.6666666666666666
1h38d_1qlna,200,False,test,identical,True,197,70,24,True,True,True,26,4,True,1.0,17.0,17.0,0.5555555555555556,0.6666666666666666
1h38d_1qlna,500,False,test,identical,True,490,167,53,True,True,True,55,6,True,1.0,17.0,17.0,0.5555555555555556,0.6666666666666666
1k0na_1rk4b,10,True,test,identical,False,10,10,0,True,False,False,9,0,False,1.0,,,0.6956521739130435,0.06451612903225806
1k0na_1rk4b,25,True,test,identical,False,25,24,0,True,False,False,19,0,False,1.0,,,0.7391304347826086,0.06451612903225806
1k0na_1rk4b,50,True,test,identical,False,50,49,0,True,False,False,38,0,False,1.0,,,0.782608695652174,0.06451612903225806
1k0na_1rk4b,100,True,test,identical,False,100,99,0,True,False,False,76,0,False,1.0,,,0.782608695652174,0.06451612903225806
1k0na_1rk4b,200,True,test,identical,False,200,199,0,True,False,False,159,0,False,1.0,,,0.782608695652174,0.06451612903225806
1k0na_1rk4b,500,True,test,identical,False,500,498,0,True,False,False,390,0,False,1.0,,,0.782608695652174,0.06451612903225806
1kcta_3t1pa,10,True,test,identical,False,10,1,0,True,False,False,0,0,False,7.0,,,0.31746031746031744,0.296875
1kcta_3t1pa,25,True,test,identical,False,25,2,1,True,True,True,0,0,False,7.0,24.0,24.0,0.38095238095238093,0.3125
1kcta_3t1pa,50,True,test,identical,False,50,7,2,True,True,True,0,0,False,7.0,24.0,24.0,0.38095238095238093,0.375
1kcta_3t1pa,100,True,test,identical,False,100,11,2,True,True,True,0,0,False,7.0,24.0,24.0,0.38095238095238093,0.375
1kcta_3t1pa,200,True,test,identical,False,200,19,4,True,True,True,0,0,False,7.0,24.0,24.0,0.4126984126984127,0.375
1kcta_3t1pa,500,True,test,identical,False,500,42,19,True,True,True,0,0,False,7.0,24.0,24.0,0.4126984126984127,0.421875
1nqda_1nqjb,10,False,test,identical,True,10,1,0,True,False,False,0,0,False,8.0,,,0.28,0.2222222222222222
1nqda_1nqjb,25,False,test,identical,True,25,4,0,True,False,False,2,0,False,8.0,,,0.6,0.2222222222222222
1nqda_1nqjb,50,False,test,identical,True,50,8,0,True,False,False,4,0,False,8.0,,,0.68,0.2222222222222222
1nqda_1nqjb,100,False,test,identical,True,100,18,0,True,False,False,12,0,False,8.0,,,0.68,0.2222222222222222
1nqda_1nqjb,200,False,test,identical,True,200,35,2,True,True,True,23,0,False,8.0,133.0,133.0,0.8,0.4444444444444444
1nqda_1nqjb,500,False,test,identical,True,500,99,10,True,True,True,46,0,False,8.0,133.0,133.0,0.8,0.4444444444444444
1nrjb_2gedb,10,True,test,identical,True,10,10,0,True,False,False,10,0,False,1.0,,,0.9032258064516129,0.07142857142857142
1nrjb_2gedb,25,True,test,identical,True,25,25,0,True,False,False,25,0,False,1.0,,,0.9032258064516129,0.07142857142857142
1nrjb_2gedb,50,True,test,identical,True,50,50,0,True,False,False,50,0,False,1.0,,,0.9354838709677419,0.07142857142857142
1nrjb_2gedb,100,True,test,identical,True,100,100,0,True,False,False,100,0,False,1.0,,,0.9354838709677419,0.07142857142857142
1nrjb_2gedb,200,True,test,identical,True,200,200,0,True,False,False,199,0,False,1.0,,,0.9354838709677419,0.14285714285714285
1nrjb_2gedb,500,True,test,identical,True,500,500,0,True,False,False,499,0,False,1.0,,,0.9354838709677419,0.14285714285714285
1qomb_1noca,10,True,test,identical,True,10,0,0,False,False,False,0,0,False,,,,0.047619047619047616,0.21428571428571427
1qomb_1noca,25,True,test,identical,True,23,0,0,False,False,False,0,0,False,,,,0.19047619047619047,0.21428571428571427
1qomb_1noca,50,True,test,identical,True,47,0,0,False,False,False,0,0,False,,,,0.19047619047619047,0.21428571428571427
1qomb_1noca,100,True,test,identical,True,95,0,0,False,False,False,0,0,False,,,,0.19047619047619047,0.21428571428571427
1qomb_1noca,200,True,test,identical,True,191,0,0,False,False,False,0,0,False,,,,0.19047619047619047,0.21428571428571427
1qomb_1noca,500,True,test,identical,True,480,0,1,False,True,False,0,0,False,,218.0,,0.19047619047619047,0.35714285714285715
1qs8b_1miqb,10,True,test,identical,False,10,5,1,True,True,True,2,0,False,2.0,9.0,9.0,0.6470588235294118,0.30434782608695654
1qs8b_1miqb,25,True,test,identical,False,25,13,1,True,True,True,5,0,False,2.0,9.0,9.0,0.6470588235294118,0.30434782608695654
1qs8b_1miqb,50,True,test,identical,False,50,25,1,True,True,True,8,0,False,2.0,9.0,9.0,0.6470588235294118,0.30434782608695654
