pair_id,method,dominant,split,primary,L,minority_enrichment,minority_recall,dual_contact_hit,n_valid,oracle_minor_enrichment,oracle_minor_recall,oracle_dual_hit,gpu_seconds,generated_tokens
1h38d_1qlna,branch10,fold1,test,False,882,0.2222222222222222,0.3333333333333333,True,16,0.6666666666666666,0.6666666666666666,True,87.1591224540025,655994
1h38d_1qlna,branch20,fold1,test,False,882,0.3333333333333333,0.3333333333333333,True,16,0.6666666666666666,0.6666666666666666,True,86.13477622717619,651893
1h38d_1qlna,branch5,fold1,test,False,882,0.2222222222222222,0.3333333333333333,True,16,0.6666666666666666,0.6666666666666666,True,86.9047402846627,655373
1h38d_1qlna,iid,fold1,test,False,882,0.1111111111111111,0.3333333333333333,True,16,0.6666666666666666,0.6666666666666666,True,87.18619059910998,660299
1h38d_1qlna,random,fold1,test,False,882,0.2222222222222222,0.3333333333333333,True,16,0.6666666666666666,0.6666666666666666,True,87.42775281704962,658421
1h38d_1qlna,temp,fold1,test,False,882,0.2222222222222222,0.3333333333333333,True,16,0.6666666666666666,0.6666666666666666,True,121.65578996529803,868188
1k0na_1rk4b,branch10,fold1,test,True,229,-0.3043478260869565,0.0,False,16,-0.13043478260869565,0.0,False,9.21141595899826,135539
1k0na_1rk4b,branch20,fold1,test,True,229,-0.1739130434782608,0.0,False,16,-0.09817671809256662,0.03225806451612903,False,9.101112108968664,132962
1k0na_1rk4b,branch5,fold1,test,True,229,-0.1963534361851333,0.064516129032258,False,16,-0.08695652173913043,0.0,False,9.332556598936208,136673
1k0na_1rk4b,iid,fold1,test,True,229,-0.1963534361851333,0.064516129032258,False,16,-0.19635343618513323,0.06451612903225806,False,9.332621772948187,136913
1k0na_1rk4b,random,fold1,test,True,229,-0.1963534361851333,0.064516129032258,False,16,-0.19635343618513323,0.06451612903225806,False,9.07520114799263,133691
1k0na_1rk4b,temp,fold1,test,True,229,-0.1963534361851333,0.064516129032258,False,16,-0.02244039270687237,0.06451612903225806,False,13.186833896965254,178754
1kcta_3t1pa,branch10,fold2,test,True,377,0.12921626984126983,0.2698412698412698,False,16,0.1624503968253968,0.3968253968253968,True,19.83176118368283,248558
1kcta_3t1pa,branch20,fold2,test,True,377,0.11408730158730152,0.3015873015873015,False,16,0.17708333333333331,0.3333333333333333,True,19.74655712908134,246482
1kcta_3t1pa,branch5,fold2,test,True,377,0.1299603174603174,0.3174603174603174,False,16,0.20833333333333331,0.3333333333333333,True,19.822725728154182,248675
1kcta_3t1pa,iid,fold2,test,True,377,0.1460813492063492,0.3492063492063492,False,16,0.16220238095238093,0.38095238095238093,True,19.679330195765942,249134
1kcta_3t1pa,random,fold2,test,True,377,0.1460813492063492,0.3492063492063492,False,16,0.22445436507936506,0.36507936507936506,True,19.62042639311403,245570
1kcta_3t1pa,temp,fold2,test,True,377,0.1929563492063492,0.3492063492063492,False,16,0.1929563492063492,0.3492063492063492,True,29.688477995805442,348120
1nqda_1nqjb,branch10,fold1,test,False,115,0.3333333333333333,0.3333333333333333,True,16,0.4444444444444444,0.4444444444444444,True,4.5526961950236,73964
1nqda_1nqjb,branch20,fold1,test,False,115,0.031111111111111103,0.1111111111111111,False,16,0.5555555555555556,0.5555555555555556,True,4.5260667520342395,72128
1nqda_1nqjb,branch5,fold1,test,False,115,0.29333333333333333,0.3333333333333333,True,16,0.4444444444444444,0.4444444444444444,True,4.6721335900365375,75377
1nqda_1nqjb,iid,fold1,test,False,115,0.2222222222222222,0.2222222222222222,False,16,0.40444444444444444,0.4444444444444444,True,4.672057082992978,76010
1nqda_1nqjb,random,fold1,test,False,115,0.29333333333333333,0.3333333333333333,True,16,0.3333333333333333,0.3333333333333333,True,4.534074078081176,73637
1nqda_1nqjb,temp,fold1,test,False,115,0.2844444444444444,0.4444444444444444,True,16,0.40444444444444444,0.4444444444444444,True,6.11887631501304,92345
1nrjb_2gedb,branch10,fold1,test,True,191,-0.5806451612903226,0.0,False,16,-0.41935483870967744,0.0,False,7.0928491040249355,106643
1nrjb_2gedb,branch20,fold1,test,True,191,-0.5806451612903226,0.0,False,16,-0.3870967741935484,0.0,False,6.900865190953482,104267
1nrjb_2gedb,branch5,fold1,test,True,191,-0.5161290322580645,0.0,False,16,-0.5161290322580645,0.0,False,7.099261318973731,107258
1nrjb_2gedb,iid,fold1,test,True,191,-0.5806451612903226,0.0,False,16,-0.5092165898617512,0.07142857142857142,False,7.120221578050405,108410
1nrjb_2gedb,random,fold1,test,True,191,-0.5483870967741935,0.0,False,16,-0.5414746543778802,0.07142857142857142,False,6.94398264499614,104093
1nrjb_2gedb,temp,fold1,test,True,191,-0.4838709677419355,0.0,False,16,0.07834101382488479,0.14285714285714285,False,9.569505153980572,136464
1qomb_1noca,branch10,fold1,test,True,420,0.0714285714285714,0.0714285714285714,False,15,0.35714285714285715,0.35714285714285715,False,25.08184178400552,278477
1qomb_1noca,branch20,fold1,test,True,420,0.0714285714285714,0.0714285714285714,False,15,0.35714285714285715,0.35714285714285715,False,24.15917115902994,271361
