run,pair_id,L,maps,pair_wall_seconds,finished,attempted,pod,inference_seconds,amortized_model_load_seconds,other_pair_seconds
blind-search-v1,1h38d_1qlna,882,700,346.5,603,700,iris-bizon-exp304-full-v1-s0of8-0-dc1970e6-0-dc362161053084dd,337.5147096370347,7.055516520101164,8.985290362965316
blind-search-v1,1k0na_1rk4b,229,700,38.5,700,700,iris-bizon-exp304-full-v1-s6of8-0-1cdc3875-0-071553eced68d423,36.105697170016356,8.669291611251538,2.394302829983644
blind-search-v1,1kcta_3t1pa,377,700,82.3,630,700,iris-bizon-exp304-full-v1-s0of8-0-dc1970e6-0-dc362161053084dd,78.51829411555082,7.055516520101164,3.781705884449181
blind-search-v1,1nqda_1nqjb,115,700,19.2,699,700,iris-bizon-exp304-full-v1-s7of8-0-24936002-0-804d210048b93b82,17.43314038804965,8.647450678625317,1.7668596119503484
blind-search-v1,1nrjb_2gedb,191,700,28.7,700,700,iris-bizon-exp304-full-v1-s6of8-0-1cdc3875-0-071553eced68d423,26.79082717100391,8.669291611251538,1.9091728289960876
blind-search-v1,1qomb_1noca,420,700,102.2,607,700,iris-bizon-exp304-full-v1-s4of8-0-9d59ab68-0-df16ccd04d5281ed,97.67217832099413,8.66231304249959,4.527821679005868
blind-search-v1,1qs8b_1miqb,411,700,102.3,620,700,iris-bizon-exp304-full-v1-s1of8-0-9a121bdf-0-10f0cf101a6643c9,97.80791375599802,7.123943343655102,4.492086244001982
blind-search-v1,1repc_2z9ob,227,700,43.2,690,700,iris-bizon-exp304-full-v1-s4of8-0-9d59ab68-0-df16ccd04d5281ed,40.695781424001325,8.66231304249959,2.504218575998678
blind-search-v1,1uxmk_2nama,153,700,19.6,700,700,iris-bizon-exp304-full-v1-s5of8-0-ed6999af-0-1473f3b5b16bc9a5,17.985924477980006,8.698624417753308,1.614075522019995
blind-search-v1,1xjta_1xjub,178,700,24.0,700,700,iris-bizon-exp304-full-v1-s3of8-0-85e07434-0-7f92721542f0ec86,22.08897561399499,8.630151842495252,1.9110243860050105
blind-search-v1,1xnta_3lqca,152,700,23.4,700,700,iris-bizon-exp304-full-v1-s4of8-0-9d59ab68-0-df16ccd04d5281ed,21.453005549963564,8.66231304249959,1.946994450036435
blind-search-v1,2a73b_3l5nb,982,700,418.0,611,700,iris-bizon-exp304-full-v1-s2of8-0-4f730ff1-0-51b3a37393bb07f4,407.92864254000597,7.707979333444705,10.071357459994033
blind-search-v1,2c1vb_2c1uc,335,700,57.9,700,700,iris-bizon-exp304-full-v1-s4of8-0-9d59ab68-0-df16ccd04d5281ed,54.91390015691286,8.66231304249959,2.986099843087139
blind-search-v1,2frha_1fzpd,127,700,15.2,700,700,iris-bizon-exp304-full-v1-s3of8-0-85e07434-0-7f92721542f0ec86,13.79548844700912,8.630151842495252,1.4045115529908792
blind-search-v1,2grmb_2axza,315,700,59.3,691,700,iris-bizon-exp304-full-v1-s5of8-0-ed6999af-0-1473f3b5b16bc9a5,56.14154916408006,8.698624417753308,3.158450835919936
blind-search-v1,2h44a_1rkpa,326,700,67.1,649,700,iris-bizon-exp304-full-v1-s1of8-0-9a121bdf-0-10f0cf101a6643c9,63.96170366788283,7.123943343655102,3.1382963321171644
blind-search-v1,2hdma_2n54b,75,700,8.5,700,700,iris-bizon-exp304-full-v1-s1of8-0-9a121bdf-0-10f0cf101a6643c9,7.193053596187383,7.123943343655102,1.306946403812617
