pair_id,method,primary,split,minority_union_recall,bottleneck
1h38d_1qlna,branch10,False,test,1.0,blind_dual_hit
1h38d_1qlna,branch20,False,test,1.0,blind_dual_hit
1h38d_1qlna,branch5,False,test,1.0,blind_dual_hit
1h38d_1qlna,iid,False,test,1.0,blind_dual_hit
1h38d_1qlna,random,False,test,1.0,blind_dual_hit
1h38d_1qlna,temp,False,test,1.0,blind_dual_hit
1k0na_1rk4b,branch10,True,test,0.06451612903225806,proposal_coverage
1k0na_1rk4b,branch20,True,test,0.0967741935483871,proposal_coverage
1k0na_1rk4b,branch5,True,test,0.06451612903225806,proposal_coverage
1k0na_1rk4b,iid,True,test,0.06451612903225806,proposal_coverage
1k0na_1rk4b,random,True,test,0.0967741935483871,proposal_coverage
1k0na_1rk4b,temp,True,test,0.6451612903225806,cooccurrence_or_specificity
1kcta_3t1pa,branch10,True,test,0.8888888888888888,blind_ranking
1kcta_3t1pa,branch20,True,test,0.9047619047619048,blind_ranking
1kcta_3t1pa,branch5,True,test,0.8888888888888888,blind_ranking
1kcta_3t1pa,iid,True,test,0.8571428571428571,blind_ranking
1kcta_3t1pa,random,True,test,0.873015873015873,blind_ranking
1kcta_3t1pa,temp,True,test,0.9523809523809523,blind_ranking
1nqda_1nqjb,branch10,False,test,0.7777777777777778,blind_dual_hit
1nqda_1nqjb,branch20,False,test,0.7777777777777778,blind_ranking
1nqda_1nqjb,branch5,False,test,0.6666666666666666,blind_dual_hit
1nqda_1nqjb,iid,False,test,0.6666666666666666,blind_ranking
1nqda_1nqjb,random,False,test,0.6666666666666666,blind_dual_hit
1nqda_1nqjb,temp,False,test,1.0,blind_dual_hit
1nrjb_2gedb,branch10,True,test,0.21428571428571427,proposal_coverage
1nrjb_2gedb,branch20,True,test,0.14285714285714285,proposal_coverage
1nrjb_2gedb,branch5,True,test,0.21428571428571427,proposal_coverage
1nrjb_2gedb,iid,True,test,0.21428571428571427,proposal_coverage
1nrjb_2gedb,random,True,test,0.14285714285714285,proposal_coverage
1nrjb_2gedb,temp,True,test,0.5714285714285714,cooccurrence_or_specificity
1qomb_1noca,branch10,True,test,0.6428571428571429,cooccurrence_or_specificity
1qomb_1noca,branch20,True,test,0.5714285714285714,cooccurrence_or_specificity
1qomb_1noca,branch5,True,test,0.5714285714285714,cooccurrence_or_specificity
1qomb_1noca,iid,True,test,0.5714285714285714,cooccurrence_or_specificity
1qomb_1noca,random,True,test,0.7142857142857143,cooccurrence_or_specificity
1qomb_1noca,temp,True,test,0.5714285714285714,cooccurrence_or_specificity
1qs8b_1miqb,branch10,True,test,0.6956521739130435,blind_dual_hit
1qs8b_1miqb,branch20,True,test,0.6521739130434783,blind_ranking
1qs8b_1miqb,branch5,True,test,0.6956521739130435,blind_ranking
