pair_id,L,input_fold,reference_fold1,reference_fold2,strict_exact,fold,observed_residues,mapped_residues,sequence_identity,true_contacts_ca_checked,true_contacts_ca_far,true_contacts_ca_far_fraction
1k0na_1rk4b,229,1k0nA,1k0nA,1rk4B,False,1k0nA,226,226,1.0,169,0,0.0
1kcta_3t1pa,377,1kctA,1kctA,3t1pA,False,1kctA,375,375,1.0,361,0,0.0
1nrjb_2gedb,191,1nrjB,1nrjB,2gedB,True,1nrjB,191,191,1.0,147,1,0.006802721088435374
1qomb_1noca,420,1qomB,1qomB,1nocA,True,1qomB,420,420,1.0,386,0,0.0
1qs8b_1miqb,411,1qs8B,1qs8B,1miqB,False,1qs8B,328,327,1.0,279,0,0.0
1repc_2z9ob,227,1repC,1repC,2z9oB,False,1repC,214,214,1.0,232,0,0.0
1uxmk_2nama,153,1uxmK,1uxmK,2namA,False,1uxmK,153,153,1.0,106,0,0.0
1xnta_3lqca,152,1xntA,1xntA,3lqcA,True,1xntA,151,151,1.0,156,0,0.0
2a73b_3l5nb,982,2a73B,2a73B,3l5nB,True,2a73B,976,976,1.0,991,2,0.0020181634712411706
2c1vb_2c1uc,335,2c1vB,2c1vB,2c1uC,True,2c1vB,335,335,1.0,291,0,0.0
2lela_2k0qa,74,2lelA,2lelA,2k0qA,True,2lelA,74,74,1.0,61,1,0.01639344262295082
2pbkb_3njqa,228,2pbkB,2pbkB,3njqA,True,2pbkB,227,227,1.0,145,0,0.0
2vfxl_3gmhl,203,2vfxL,2vfxL,3gmhL,False,2vfxL,203,203,1.0,193,0,0.0
3g0ha_3ewsb,418,3g0hA,3g0hA,3ewsB,True,3g0hA,408,408,1.0,450,0,0.0
3j7wb_3j7vg,343,3j7wB,3j7wB,3j7vG,True,3j7wB,343,343,1.0,192,0,0.0
3meea_4b3ob,552,3meeA,3meeA,4b3oB,False,3meeA,552,552,1.0,398,0,0.0
3tp2a_5lj3m,252,3tp2A,3tp2A,5lj3M,False,3tp2A,225,225,1.0,229,0,0.0
3zxgb_5ec5p,293,3zxgB,3zxgB,5ec5P,False,3zxgB,293,293,1.0,324,0,0.0
4aana_4aala,324,4aanA,4aanA,4aalA,True,4aanA,323,323,1.0,276,2,0.007246376811594203
4o0pa_4o01d,489,4o0pA,4o0pA,4o01D,False,4o0pA,485,485,1.0,397,0,0.0
4pyia_4pyja,208,4pyiA,4pyiA,4pyjA,True,4pyiA,207,207,1.0,212,0,0.0
4y0mj_4xwsd,209,4y0mJ,4y0mJ,4xwsD,False,4y0mJ,209,209,1.0,165,0,0.0
4ydqb_4twaa,488,4ydqB,4ydqB,4twaA,True,4ydqB,478,478,1.0,555,1,0.0018018018018018018
5c1va_5c1vb,318,5c1vA,5c1vA,5c1vB,True,5c1vA,317,317,1.0,331,0,0.0
5hmga_3ztje,328,5hmgA,5hmgA,3ztjE,True,5hmgA,328,328,1.0,344,0,0.0
5i2ma_5i2sa,413,5i2mA,5i2mA,5i2sA,True,5i2mA,409,409,1.0,385,1,0.0025974025974025974
5jzha_5jztg,424,5jzhA,5jzhA,5jztG,False,5jzhA,424,424,1.0,440,0,0.0
5l35d_5l35g,422,5l35D,5l35D,5l35G,True,5l35D,422,422,1.0,358,1,0.002793296089385475
6c6sd_2ougc,161,6c6sD,6c6sD,2ougC,True,6c6sD,161,161,1.0,103,0,0.0
