pair_id,fold,target_id,rollout,passes_primary,true_contact_control_pass,gdt_threshold,gdt_fraction_of_threshold,region_gdt_advantage,gdt_common_target,gdt_common_other,mean_plddt,gdt_region_target,gdt_region_other,rmsd_common_target,contact_recall_fold1_fs,contact_recall_fold2_fs
1k0na_1rk4b,1,1k0na_1rk4b__r0008,8,True,True,0.8353960396039605,1.0385185185185184,0.823170731707317,0.8675742574257426,0.4306930693069307,84.61311340332031,0.9390243902439024,0.11585365853658537,1.879803753404398,0.6086956521739131,0.0
1k0na_1rk4b,2,1k0na_1rk4b__r0259,259,False,True,0.8220297029702971,0.5766335441132189,-0.4024390243902439,0.47400990099009904,0.6101485148514851,77.89326477050781,0.15853658536585366,0.5609756097560976,8.018510302671222,0.5652173913043478,0.06451612903225806
1kcta_3t1pa,1,1kcta_3t1pa__r0435,435,True,True,0.7182692307692309,1.0948556129279021,0.44753086419753085,0.786401098901099,0.21978021978021978,87.20063018798828,0.6450617283950617,0.19753086419753085,2.8796574036915747,0.2222222222222222,0.28125
1kcta_3t1pa,2,1kcta_3t1pa__r0214,214,False,False,0.35,1.3186813186813189,0.35185185185185186,0.46153846153846156,0.11469780219780219,88.15237426757812,0.41975308641975306,0.06790123456790123,8.206723079965734,0.2222222222222222,0.265625
1nrjb_2gedb,1,1nrjb_2gedb__r0745,745,True,True,0.8653846153846154,1.057777777777778,0.975,0.9153846153846155,0.4,83.80331420898438,1.0,0.025,1.26955156386024,0.9032258064516129,0.0
1nrjb_2gedb,2,1nrjb_2gedb__r0643,643,False,False,0.43269230769230765,1.0622222222222224,-0.5875,0.45961538461538465,0.7846153846153846,77.35738372802734,0.0375,0.625,7.103552456605496,0.5806451612903226,0.07142857142857142
1qomb_1noca,1,1qomb_1noca__r0185,185,False,True,0.8274193548387098,0.05035737491877842,0.10227272727272728,0.041666666666666664,0.02553763440860215,45.37678146362305,0.10227272727272728,0.0,22.712308657980554,0.0,0.0
1qomb_1noca,2,1qomb_1noca__r0644,644,False,True,0.7971774193548388,0.06828528072837632,-0.0,0.05443548387096774,0.04301075268817204,50.34567260742188,0.0,0.0,22.711828927238514,0.047619047619047616,0.0
1qs8b_1miqb,1,1qs8b_1miqb__r0696,696,True,True,0.7839721254355402,1.0899999999999999,0.5666666666666667,0.8545296167247387,0.5923344947735192,85.03388214111328,0.8333333333333334,0.26666666666666666,1.7251404675762814,0.2647058823529412,0.043478260869565216
1qs8b_1miqb,2,1qs8b_1miqb__r0531,531,False,True,0.8051393728222997,0.941252839987017,0.2833333333333333,0.7578397212543554,0.5609756097560976,82.21102905273438,0.48333333333333334,0.2,2.4508045330343258,0.23529411764705882,0.0
1repc_2z9ob,1,1repc_2z9ob__r0414,414,True,True,0.7991379310344828,1.1573431961781475,0.6000000000000001,0.9248768472906403,0.27586206896551724,88.52403259277344,0.8625,0.2625,1.0225605521332835,0.6071428571428571,0.1
1repc_2z9ob,2,1repc_2z9ob__r0246,246,False,True,0.7226600985221675,0.7208588957055214,0.0625,0.520935960591133,0.437192118226601,77.61103820800781,0.3875,0.325,3.7934027386946,0.39285714285714285,0.125
1uxmk_2nama,1,1uxmk_2nama__r0212,212,False,True,0.8748355263157895,0.9306260575296108,0.8092105263157895,0.8141447368421053,0.004934210526315789,82.37313079833984,0.8141447368421053,0.004934210526315789,2.3907648022265247,0.6285714285714286,0.09090909090909091
1uxmk_2nama,2,1uxmk_2nama__r0235,235,False,False,0.35,0.13157894736842105,-0.574013157894737,0.046052631578947366,0.6200657894736843,78.52378845214844,0.046052631578947366,0.6200657894736843,30.624784558162016,0.5904761904761905,0.0
1xnta_3lqca,1,1xnta_3lqca__r0355,355,True,True,0.6945,1.101511879049676,0.5108695652173912,0.765,0.5666666666666667,86.18952178955078,0.7391304347826086,0.22826086956521738,1.9275370399450409,0.5769230769230769,0.038461538461538464
1xnta_3lqca,2,1xnta_3lqca__r0137,137,False,True,0.828,0.48711755233494364,0.32608695652173914,0.4033333333333333,0.365,63.21466445922852,0.43478260869565216,0.10869565217391305,5.318984403484516,0.0,0.038461538461538464
2a73b_3l5nb,1,2a73b_3l5nb__r0794,794,False,True,0.42432203389830514,0.4393848611943279,0.10135135135135136,0.1864406779661017,0.009322033898305085,59.85552978515625,0.10135135135135136,0.0,18.676289838161676,0.125,0.09523809523809523
2a73b_3l5nb,2,2a73b_3l5nb__r0958,958,False,False,0.35,0.12106537530266344,-0.0,0.0423728813559322,0.0,58.86094665527344,0.0,0.0,60.23346951246126,0.0,0.0
2c1vb_2c1uc,1,2c1vb_2c1uc__r0262,262,False,True,0.7338145896656535,0.860515688101895,0.16025641025641024,0.6314589665653496,0.47416413373860183,80.80282592773438,0.47435897435897434,0.3141025641025641,4.070044209005032,0.5,0.0851063829787234
2c1vb_2c1uc,2,2c1vb_2c1uc__r0981,981,False,True,0.7447568389057752,0.7172737475767778,0.11538461538461536,0.5341945288753799,0.5243161094224924,77.92599487304688,0.28846153846153844,0.17307692307692307,6.888225212853222,0.13333333333333333,0.1276595744680851
2lela_2k0qa,1,2lela_2k0qa__r0248,248,True,True,0.35,1.283783783783784,0.2065217391304348,0.44932432432432434,0.20945945945945946,70.49919891357422,0.3586956521739131,0.15217391304347827,4.709283523400636,0.18181818181818182,0.14285714285714285
2lela_2k0qa,2,2lela_2k0qa__r0760,760,True,True,0.41655405405405405,1.5815085158150852,0.4021739130434782,0.6587837837837838,0.21621621621621623,86.01802825927734,0.48913043478260865,0.08695652173913043,3.184117574302243,0.09090909090909091,0.7142857142857143
2pbkb_3njqa,1,2pbkb_3njqa__r0587,587,False,True,0.8035714285714286,0.14814814814814814,0.18,0.11904761904761904,0.09391534391534391,56.826168060302734,0.36,0.18,18.110392432260525,0.0,0.0
2pbkb_3njqa,2,2pbkb_3njqa__r0602,602,False,True,0.8178571428571428,0.08086689309396733,0.18000000000000002,0.06613756613756613,0.042328042328042326,36.18582534790039,0.33,0.15,19.73627822586665,0.0,0.0
2vfxl_3gmhl,1,2vfxl_3gmhl__r0860,860,False,True,0.7789402173913043,0.22326879469736616,0.26973684210526316,0.17391304347826086,0.09782608695652173,67.54977416992188,0.26973684210526316,0.0,13.601590440961784,0.08571428571428572,0.0
2vfxl_3gmhl,2,2vfxl_3gmhl__r0058,58,False,True,0.7141304347826087,0.23401826484018268,0.16447368421052633,0.16711956521739132,0.08695652173913043,47.53089141845703,0.20394736842105263,0.039473684210526314,12.608857004176063,0.0,0.1509433962264151
3g0ha_3ewsb,1,3g0ha_3ewsb__r0235,235,True,True,0.6328481012658228,1.075107510751075,0.26666666666666666,0.680379746835443,0.2911392405063291,80.33556365966797,0.2833333333333333,0.016666666666666666,2.7179619896722502,0.09090909090909091,0.0
3g0ha_3ewsb,2,3g0ha_3ewsb__r0696,696,False,True,0.604367088607595,0.7163053722902921,0.4666666666666667,0.4329113924050633,0.4512658227848101,83.13668060302734,0.4666666666666667,0.0,6.021143966901941,0.0,0.3333333333333333
3j7wb_3j7vg,1,3j7wb_3j7vg__r0484,484,True,True,0.3861198738170347,1.0866013071895424,0.20238095238095238,0.4195583596214511,0.2831230283911672,73.0353012084961,0.23809523809523808,0.03571428571428571,5.692568312480287,0.4,0.0
3j7wb_3j7vg,2,3j7wb_3j7vg__r0922,922,True,True,0.43438485804416405,1.1909949164851126,0.761904761904762,0.5173501577287066,0.31703470031545744,79.7500228881836,0.7976190476190477,0.03571428571428571,5.76569629661604,0.1,0.2857142857142857
3meea_4b3ob,1,3meea_4b3ob__r0755,755,False,True,0.6092137592137592,0.6825972978423069,0.11666666666666667,0.41584766584766586,0.10073710073710074,76.2037124633789,0.11666666666666667,0.0,8.501855625438901,0.2727272727272727,0.025
3meea_4b3ob,2,3meea_4b3ob__r0522,522,False,True,0.7767199017199018,0.10517991300909449,0.1,0.08169533169533169,0.30773955773955775,72.63134002685547,0.13333333333333333,0.03333333333333333,19.220869893627995,0.045454545454545456,0.05
3tp2a_5lj3m,1,3tp2a_5lj3m__r0776,776,False,True,0.8055803571428573,0.23829315599889161,0.10119047619047618,0.1919642857142857,0.15736607142857142,52.2580451965332,0.1607142857142857,0.05952380952380952,14.376893471548009,0.0,0.0
3tp2a_5lj3m,2,3tp2a_5lj3m__r0637,637,False,False,0.42488839285714286,0.5778828473863935,0.023809523809523808,0.2455357142857143,0.2064732142857143,49.14092254638672,0.05952380952380952,0.03571428571428571,16.802426239905234,0.0,0.0
3zxgb_5ec5p,1,3zxgb_5ec5p__r0973,973,False,True,0.48089788732394373,0.6168771737140764,0.0,0.29665492957746475,0.01056338028169014,72.50104522705078,0.0,0.0,17.026631415797638,0.03636363636363636,0.0
