target_id,pair_id,input_fold,variant,candidate_id,shortlist_rank,n_contacts_mapped,fold,observed_residues,mapped_residues,sequence_identity,true_contacts_ca_checked,true_contacts_ca_far,true_contacts_ca_far_fraction,dataset,stem,status,lddt,tm_score,gdt_ts,rmsd,n_matched_atoms,n_contacts,n_tokens,mean_plddt,error
1qs8b_1miqb__gt1__true_fold1,1qs8b_1miqb,1,true_fold1,,0,279,1qs8B,328,327,1.0,279,0,0.0,exp304_foldswitch,1qs8b_1miqb,ok,0.7996914209007999,0.9521105814138152,0.8589939024390244,0.9822159621530346,2609,279,328,90.08203125,
1qs8b_1miqb__gt1__true_fold2,1qs8b_1miqb,1,true_fold2,,0,267,1qs8B,328,327,1.0,279,0,0.0,exp304_foldswitch,1qs8b_1miqb,ok,0.7181275896816534,0.839647018450138,0.5640243902439025,4.586381753991872,2609,267,328,88.18527221679688,
1qs8b_1miqb__gt1__blind_fold1,1qs8b_1miqb,1,blind_fold1,root:23,6,344,1qs8B,328,327,1.0,279,0,0.0,exp304_foldswitch,1qs8b_1miqb,ok,0.738398044301518,0.9174029580437604,0.7522865853658537,1.3671090490234892,2609,344,328,86.10282897949219,
1qs8b_1miqb__gt1__blind_fold2,1qs8b_1miqb,1,blind_fold2,branch10:65,10,297,1qs8B,328,327,1.0,279,0,0.0,exp304_foldswitch,1qs8b_1miqb,ok,0.5718944737694124,0.8044108837606372,0.4878048780487805,3.5845509402965585,2609,297,328,76.0899429321289,
1qs8b_1miqb__gt2__true_fold1,1qs8b_1miqb,2,true_fold1,,0,279,1miqB,375,327,0.9969418960244648,267,4,0.0149812734082397,exp304_foldswitch,1qs8b_1miqb,ok,0.6656741469695576,0.7997789409916539,0.304,7.319798116781501,2993,279,375,80.1015853881836,
1qs8b_1miqb__gt2__true_fold2,1qs8b_1miqb,2,true_fold2,,0,267,1miqB,375,327,0.9969418960244648,267,4,0.0149812734082397,exp304_foldswitch,1qs8b_1miqb,ok,0.7835487778965295,0.957859171104482,0.8553333333333334,0.9358230464771856,2993,267,375,83.8927001953125,
1qs8b_1miqb__gt2__blind_fold1,1qs8b_1miqb,2,blind_fold1,root:23,6,344,1miqB,375,327,0.9969418960244648,267,4,0.0149812734082397,exp304_foldswitch,1qs8b_1miqb,ok,0.6258019707151851,0.7808122139809166,0.3313333333333333,6.904584713189726,2993,344,375,75.1583480834961,
1qs8b_1miqb__gt2__blind_fold2,1qs8b_1miqb,2,blind_fold2,branch10:65,10,297,1miqB,375,327,0.9969418960244648,267,4,0.0149812734082397,exp304_foldswitch,1qs8b_1miqb,ok,0.5471747479520609,0.7616946287538497,0.4379999999999999,3.774535990818897,2993,297,375,77.6461181640625,
3g0ha_3ewsb__gt1__true_fold1,3g0ha_3ewsb,1,true_fold1,,0,450,3g0hA,408,408,1.0,450,0,0.0,exp304_foldswitch,3g0ha_3ewsb,ok,0.7928730471333459,0.9190402842792976,0.6856617647058824,1.4217007719946937,3225,450,408,89.88172149658203,
3g0ha_3ewsb__gt1__true_fold2,3g0ha_3ewsb,1,true_fold2,,0,425,3g0hA,408,408,1.0,450,0,0.0,exp304_foldswitch,3g0ha_3ewsb,ok,0.6481312737908026,0.6288200612169093,0.2248774509803921,5.107006295475461,3225,425,408,87.82296752929688,
3g0ha_3ewsb__gt1__blind_fold1,3g0ha_3ewsb,1,blind_fold1,branch5:61,13,455,3g0hA,408,408,1.0,450,0,0.0,exp304_foldswitch,3g0ha_3ewsb,ok,0.6410649461354183,0.8087221528190307,0.4142156862745098,4.308909480878052,3225,455,408,78.82696533203125,
3g0ha_3ewsb__gt1__blind_fold2,3g0ha_3ewsb,1,blind_fold2,branch5:17,7,443,3g0hA,408,408,1.0,450,0,0.0,exp304_foldswitch,3g0ha_3ewsb,ok,0.6553967460795697,0.8387202391113923,0.383578431372549,5.583688130461908,3225,443,408,80.253662109375,
