pair_id,tier,seq_class,L,primary,budget_capped,n_a_fs,n_b_fs,sequence_group,split
2lela_2k0qa,C,identical,74,True,False,22,14,2lela_2k0qa,test
2hdma_2n54b,C,homolog,75,False,False,10,7,2hdma_2n54b,dev
2k42a_1ceeb,C,homolog,81,False,False,10,8,2k42a_1ceeb,test
3m1bf_3lowa,B,identical,100,False,False,74,8,3m1bf_3lowa,test
5jyta_2qkee,C,homolog,106,False,False,41,39,5jyta_2qkee,test
4qhfa_4qhha,B,identical,109,True,False,27,15,4qhfa_4qhha,dev
3jv6a_1zk9a,B,identical,110,False,False,28,6,3jv6a_1zk9a,dev
1nqda_1nqjb,B,identical,115,False,False,25,9,1nqda_1nqjb,test
3qy2a_1qb3a,B,identical,118,False,False,26,0,3qy2a_1qb3a,test
4jphb_5hk5h,B,identical,119,False,False,14,4,4jphb_5hk5h,test
4zrbc_4zrbh,A,identical,126,False,False,3,12,4zrbc_4zrbh,test
2frha_1fzpd,B,identical,127,True,False,63,46,2frha_1fzpd,dev
1xnta_3lqca,C,identical,152,True,False,26,26,1xnta_3lqca,test
1uxmk_2nama,C,identical,153,True,False,105,22,1uxmk_2nama,test
4rmbb_4rmba,A,identical,155,False,False,2,2,4rmbb_4rmba,test
6c6sd_2ougc,C,identical,161,True,False,29,40,6c6sd_2ougc,test
4gqcc_4gqcb,A,identical,161,True,False,34,23,4gqcc_4gqcb,dev
5flue_2uy7d,C,identical,163,False,False,9,12,5flue_2uy7d,test
3hdea_3hdfa,B,identical,165,True,False,25,22,3hdea_3hdfa,dev
1xjta_1xjub,B,identical,178,True,False,20,19,1xjta_1xjub,dev
3zwgn_4tsyd,B,identical,178,False,False,14,0,3zwgn_4tsyd,test
4j3of_2jmra,C,identical,179,False,False,7,6,4j3of_2jmra,test
1nrjb_2gedb,B,identical,191,True,False,31,14,1nrjb_2gedb,test
4dxra_4dxta,B,identical,198,False,False,7,4,4dxra_4dxta,test
2vfxl_3gmhl,B,identical,203,True,False,70,53,2vfxl_3gmhl,test
4pyia_4pyja,B,identical,208,True,False,40,19,4pyia_4pyja,test
4y0mj_4xwsd,B,identical,209,True,False,13,16,4y0mj_4xwsd,test
5f5rb_5f3ka,B,identical,225,False,False,31,4,5f5rb_5f3ka,test
1repc_2z9ob,B,identical,227,True,False,28,40,1repc_2z9ob,test
2pbkb_3njqa,B,identical,228,True,False,20,26,2pbkb_3njqa,test
1k0na_1rk4b,B,identical,229,True,False,23,31,1k0na_1rk4b,test
4uv2d_4q79f,B,identical,235,False,False,2,1,4uv2d_4q79f,dev
3tp2a_5lj3m,C,identical,252,True,False,44,20,3tp2a_5lj3m,test
2p3vd_2p3va,A,identical,254,False,False,5,16,2p3vd_2p3va,test
4phqa_2wcdx,B,identical,291,False,False,16,3,4phqa_2wcdx,test
3zxgb_5ec5p,B,identical,293,True,False,55,17,3zxgb_5ec5p,test
4yhdg_7ahle,B,identical,293,True,False,59,15,4yhdg_7ahle,dev
2grmb_2axza,B,identical,315,True,False,19,26,2grmb_2axza,dev
5c1va_5c1vb,A,identical,318,True,False,42,36,5c1va_5c1vb,test
2qqja_4qdsa,B,identical,319,False,False,4,6,2qqja_4qdsa,test
4aana_4aala,B,identical,324,True,False,29,44,2c1vb_2c1uc,test
3ifaa_5et5a,B,identical,326,False,False,15,9,3ifaa_5et5a,dev
2h44a_1rkpa,B,identical,326,True,False,31,16,2h44a_1rkpa,dev
5hmga_3ztje,B,identical,328,True,False,18,14,5hmga_3ztje,test
2c1vb_2c1uc,B,identical,335,True,False,30,47,2c1vb_2c1uc,test
3j7wb_3j7vg,C,identical,343,True,False,10,21,3j7wb_3j7vg,test
4rwna_4rwqb,B,identical,349,True,False,32,20,4rwna_4rwqb,dev
4nc9c_4n9wa,B,identical,376,True,False,21,13,4nc9c_4n9wa,dev
1kcta_3t1pa,B,identical,377,True,False,63,64,1kcta_3t1pa,test
1qs8b_1miqb,B,identical,411,True,False,34,23,1qs8b_1miqb,test
5i2ma_5i2sa,B,identical,413,True,False,35,36,5i2ma_5i2sa,test
3g0ha_3ewsb,B,identical,418,True,False,11,27,3g0ha_3ewsb,test
1qomb_1noca,B,identical,420,True,False,21,14,1qomb_1noca,test
5l35d_5l35g,A,identical,422,True,False,15,19,5l35d_5l35g,test
5jzha_5jztg,C,identical,424,True,False,74,31,5jzha_5jztg,test
3kdsg_2ce7c,B,identical,435,True,False,27,40,3kdsg_2ce7c,dev
5keqf_1dzla,C,identical,473,False,False,4,7,5keqf_1dzla,dev
4ydqb_4twaa,B,identical,488,True,False,40,27,4ydqb_4twaa,test
4o0pa_4o01d,B,identical,489,True,False,19,20,4o0pa_4o01d,test
5aoeb_5ly6b,C,identical,490,True,False,138,80,5aoeb_5ly6b,dev
4ow6b_4ae0a,B,identical,523,True,False,11,19,4ow6b_4ae0a,dev
3meea_4b3ob,B,identical,552,True,False,22,80,3meea_4b3ob,test
3o44a_1xeza,B,identical,663,False,False,6,31,3o44a_1xeza,test
4h2aa_3j9ca,C,identical,724,True,False,21,20,4h2aa_3j9ca,dev
1h38d_1qlna,B,identical,882,False,False,9,3,1h38d_1qlna,test
3t5oa_4a5wb,B,identical,897,True,False,34,25,3t5oa_4a5wb,dev
2a73b_3l5nb,B,identical,982,True,False,56,42,2a73b_3l5nb,test
4zt0c_4cmqb,B,identical,1338,False,True,42,38,4zt0c_4cmqb,test
