pair_id,budget,primary,split,dominant,minority_enrichment,minority_recall,dual_contact_hit,n_valid,oracle_minor_enrichment,oracle_minor_recall,oracle_dual_hit,generated_tokens
1h38d_1qlna,100,False,test,fold1,0.6666666666666666,0.6666666666666666,True,16,0.6666666666666666,0.6666666666666666,True,327629
1h38d_1qlna,200,False,test,fold1,0.2222222222222222,0.6666666666666666,True,16,0.6666666666666666,0.6666666666666666,True,657573
1h38d_1qlna,500,False,test,fold1,0.2222222222222222,0.6666666666666666,True,16,0.6666666666666666,0.6666666666666666,True,1648700
1k0na_1rk4b,100,True,test,fold1,-0.3702664796633941,0.06451612903225806,False,16,-0.18513323983169705,0.03225806451612903,False,68422
1k0na_1rk4b,200,True,test,fold1,-0.41374474053295934,0.06451612903225806,False,16,-0.18513323983169705,0.03225806451612903,False,137099
1k0na_1rk4b,500,True,test,fold1,-0.3702664796633941,0.06451612903225806,False,16,-0.18513323983169705,0.03225806451612903,False,342149
1kcta_3t1pa,100,True,test,fold2,0.1450892857142857,0.2857142857142857,False,16,0.1763392857142857,0.2857142857142857,True,125389
1kcta_3t1pa,200,True,test,fold2,0.14632936507936506,0.36507936507936506,False,16,0.1763392857142857,0.2857142857142857,True,250916
1kcta_3t1pa,500,True,test,fold2,0.1294642857142857,0.2857142857142857,False,16,0.2720734126984127,0.4126984126984127,True,625409
1nqda_1nqjb,100,False,test,fold1,0.1111111111111111,0.1111111111111111,False,16,0.2222222222222222,0.2222222222222222,False,38185
1nqda_1nqjb,200,False,test,fold1,0.2222222222222222,0.2222222222222222,False,16,0.40444444444444444,0.4444444444444444,True,75983
1nqda_1nqjb,500,False,test,fold1,0.1822222222222222,0.2222222222222222,False,16,0.4444444444444444,0.4444444444444444,True,189584
1nrjb_2gedb,100,True,test,fold1,-0.6774193548387096,0.0,False,16,-0.5806451612903226,0.0,False,53920
1nrjb_2gedb,200,True,test,fold1,-0.6451612903225806,0.0,False,16,-0.41935483870967744,0.0,False,107723
1nrjb_2gedb,500,True,test,fold1,-0.6451612903225806,0.0,False,16,-0.41935483870967744,0.0,False,269078
1qomb_1noca,100,True,test,fold1,0.07142857142857142,0.07142857142857142,False,15,0.21428571428571427,0.21428571428571427,False,144262
1qomb_1noca,200,True,test,fold1,0.07142857142857142,0.07142857142857142,False,16,0.21428571428571427,0.21428571428571427,False,292024
1qomb_1noca,500,True,test,fold1,0.023809523809523808,0.07142857142857142,False,15,0.35714285714285715,0.35714285714285715,False,732571
1qs8b_1miqb,100,True,test,fold1,0.056265984654731455,0.17391304347826086,False,16,0.2749360613810742,0.30434782608695654,True,147859
1qs8b_1miqb,200,True,test,fold1,-0.015345268542199489,0.043478260869565216,False,16,0.2749360613810742,0.30434782608695654,True,294992
