model,range,cut,precision,valid_values,total_values
marinfold-exp232-decontam-train-m2-p06-step363000,all,AUC,0.9451086583949388,887,887
marinfold-exp232-decontam-train-m2-p06-step363000,all,L,0.5451215751733632,887,887
marinfold-exp232-decontam-train-m2-p06-step363000,all,L/2,0.7131421301800872,887,887
marinfold-exp232-decontam-train-m2-p06-step363000,all,L/5,0.8236557444087966,887,887
marinfold-exp232-decontam-train-m2-p06-step363000,all,R,0.5916279501409472,887,887
marinfold-exp232-decontam-train-m2-p06-step363000,long,AUC,0.9327430380085968,886,887
marinfold-exp232-decontam-train-m2-p06-step363000,long,L,0.37730310290781643,887,887
marinfold-exp232-decontam-train-m2-p06-step363000,long,L/2,0.5715988315954472,887,887
marinfold-exp232-decontam-train-m2-p06-step363000,long,L/5,0.7229465057471882,887,887
marinfold-exp232-decontam-train-m2-p06-step363000,long,R,0.5527024413946818,886,887
marinfold-exp232-decontam-train-m2-p06-step363000,medium,AUC,0.9640672008644741,886,887
marinfold-exp232-decontam-train-m2-p06-step363000,medium,L,0.1708864897483834,887,887
marinfold-exp232-decontam-train-m2-p06-step363000,medium,L/2,0.3144300763403683,887,887
marinfold-exp232-decontam-train-m2-p06-step363000,medium,L/5,0.5813691045034151,887,887
marinfold-exp232-decontam-train-m2-p06-step363000,medium,R,0.6293273647410466,886,887
marinfold-exp232-decontam-train-m2-p06-step363000,short,AUC,0.9626562254456995,887,887
marinfold-exp232-decontam-train-m2-p06-step363000,short,L,0.11885139569632817,887,887
marinfold-exp232-decontam-train-m2-p06-step363000,short,L/2,0.2251905739958375,887,887
marinfold-exp232-decontam-train-m2-p06-step363000,short,L/5,0.46900805652659466,887,887
marinfold-exp232-decontam-train-m2-p06-step363000,short,R,0.6466290108397059,887,887
