target_id,forced,budget,candidates,valid_fraction,final_f1,sections_per_trajectory,multi_fraction,empty_sections_per_trajectory,hypothesis_jaccard,hypothesis_union_recall,generated_tokens,final_r_precision_all,final_auc_all,final_r_precision_short,final_auc_short,final_r_precision_medium,final_auc_medium,final_r_precision_long,final_auc_long,draft_vote_r_precision_all,draft_vote_auc_all,draft_vote_r_precision_short,draft_vote_auc_short,draft_vote_r_precision_medium,draft_vote_auc_medium,draft_vote_r_precision_long,draft_vote_auc_long
afdb:AF-A0A7Z9Y145-F1,True,1024,8,0.0,0.0,0.0,0.0,0.0,,0.0,15435,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
afdb:AF-T1AV83-F1,True,256,8,0.0,0.0,0.0,0.0,0.0,,0.0,10904,0.05,0.5,0.0,0.5,0.09090909090909091,0.5,0.058823529411764705,0.5,0.05,0.5,0.0,0.5,0.09090909090909091,0.5,0.058823529411764705,0.5
afdb:AF-A0A397JLG7-F1,True,1024,8,0.0,0.0,0.0,0.0,0.0,,0.0,12531,0.07547169811320754,0.5,0.1,0.5,0.0,0.5,0.09090909090909091,0.5,0.07547169811320754,0.5,0.1,0.5,0.0,0.5,0.09090909090909091,0.5
afdb:AF-A0A2I1FP32-F1,True,2048,8,0.0,0.0,0.0,0.0,0.0,,0.0,27105,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
afdb:AF-A0A4C1Y3M6-F1,True,0,8,0.375,0.2826166332586566,0.0,0.0,0.0,,0.0,5193,0.7761194029850746,0.9390818499439713,0.8461538461538461,0.959269782037147,0.7058823529411765,0.9098050478088996,0.7802197802197802,0.9385468299978986,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
afdb:AF-A0A815WMA6-F1,True,2048,8,0.0,0.0,0.0,0.0,0.0,,0.0,25714,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
afdb:AF-A0A017HM21-F1,True,2048,8,0.0,0.0,0.0,0.0,0.0,,0.0,27295,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
afdb:AF-A0A2H3INI9-F1,True,0,8,0.0,0.0,0.0,0.0,0.0,,0.0,10189,0.02857142857142857,0.5,0.0,0.5,0.0,0.5,0.04504504504504504,0.5,0.02857142857142857,0.5,0.0,0.5,0.0,0.5,0.04504504504504504,0.5
afdb:AF-A0A3B7PY05-F1,True,2048,8,0.0,0.0,0.0,0.0,0.0,,0.0,23790,0.06666666666666667,0.5,0.06666666666666667,0.5,0.07142857142857142,0.5,0.078125,0.5,0.06666666666666667,0.5,0.06666666666666667,0.5,0.07142857142857142,0.5,0.078125,0.5
afdb:AF-A0A497H822-F1,True,0,8,0.0,0.0,0.0,0.0,0.0,,0.0,12852,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
afdb:AF-A0A6D2JV33-F1,True,1024,8,0.0,0.0,0.0,0.0,0.0,,0.0,19676,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
afdb:AF-A0A0A0LEI7-F1,True,2048,8,0.0,0.0,0.0,0.0,0.0,,0.0,36850,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
afdb:AF-A0A3N7ZB61-F1,True,2048,8,0.0,0.0,0.0,0.0,0.0,,0.0,31741,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
afdb:AF-A0A023B953-F1,True,1024,8,0.0,0.0,0.0,0.0,0.0,,0.0,20540,0.004273504273504274,0.5,0.045454545454545456,0.5,0.0,0.5,0.0,0.5,0.004273504273504274,0.5,0.045454545454545456,0.5,0.0,0.5,0.0,0.5
afdb:AF-A0A3M0CI41-F1,True,256,8,0.0,0.0,0.0,0.0,0.0,,0.0,8667,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
afdb:AF-A0A0C9R476-F1,True,0,8,0.0,0.0,0.0,0.0,0.0,,0.0,5365,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
esm:00006e0cc08f6811d06e26109f635a8e,True,256,8,0.0,0.0,0.0,0.0,0.0,,0.0,9410,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
esm:0000436d9b0fd313f22cb7e9d8eecd1b,True,256,8,0.0,0.0,0.0,0.0,0.0,,0.0,10664,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
esm:0000719068762cf99fef9ac191d9d000,True,2048,8,0.0,0.0,0.0,0.0,0.0,,0.0,24455,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
esm:0000791f2e0eab7c82eec856a673ce28,True,256,8,0.0,0.0,0.0,0.0,0.0,,0.0,19784,0.00516795865633075,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.00516795865633075,0.5,0.0,0.5,0.0,0.5,0.0,0.5
esm:0000aff5d2b25dbef209d2b224400539,True,1024,8,0.0,0.0,0.0,0.0,0.0,,0.0,13911,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
esm:00011d4810d4918d4092138bbc6b0f22,True,1024,8,0.0,0.0,0.0,0.0,0.0,,0.0,15050,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
esm:00012ca6bbd6262c16bf70b58b0bc173,True,256,8,0.125,0.02245508982035928,0.125,0.0,0.0,,0.2571428571428571,8870,0.12857142857142856,0.6021343059579072,0.4166666666666667,0.8211875843454791,0.21428571428571427,0.7074215524360034,0.022727272727272728,0.5076513776604521,0.12857142857142856,0.6244790757739695,0.4166666666666667,0.8272604588394062,0.21428571428571427,0.8163707679603633,0.022727272727272728,0.5077338722983006
esm:0000e43142af73ba1254dc52c898fcb6,True,0,8,0.0,0.0,0.0,0.0,0.0,,0.0,13272,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
esm:00009aff61bfb81530c64f5cd63afddc,True,1024,8,0.0,0.0,0.0,0.0,0.0,,0.0,22346,0.014925373134328358,0.5,0.05714285714285714,0.5,0.023809523809523808,0.5,0.011627906976744186,0.5,0.014925373134328358,0.5,0.05714285714285714,0.5,0.023809523809523808,0.5,0.011627906976744186,0.5
