target_id,forced,budget,candidates,valid_fraction,final_f1,sections_per_trajectory,multi_fraction,empty_sections_per_trajectory,hypothesis_jaccard,hypothesis_union_recall,generated_tokens,final_r_precision_all,final_auc_all,final_r_precision_short,final_auc_short,final_r_precision_medium,final_auc_medium,final_r_precision_long,final_auc_long,draft_vote_r_precision_all,draft_vote_auc_all,draft_vote_r_precision_short,draft_vote_auc_short,draft_vote_r_precision_medium,draft_vote_auc_medium,draft_vote_r_precision_long,draft_vote_auc_long
afdb:AF-A0A7Z9Y145-F1,True,1024,8,0.125,0.006443298969072165,0.625,0.125,0.0,0.03945133791834006,0.09836065573770492,15649,0.040983606557377046,0.5172900447008428,0.21739130434782608,0.6002821906354515,0.0,0.48867924528301887,0.0,0.4989429175475687,0.05737704918032787,0.5355068524057451,0.08695652173913043,0.6136078595317725,0.0,0.51270964360587,0.034482758620689655,0.5148877805842758
afdb:AF-T1AV83-F1,True,256,8,0.0,0.0,0.0,0.0,0.0,,0.0,10902,0.05,0.5,0.0,0.5,0.09090909090909091,0.5,0.058823529411764705,0.5,0.05,0.5,0.0,0.5,0.09090909090909091,0.5,0.058823529411764705,0.5
afdb:AF-A0A397JLG7-F1,True,1024,8,0.0,0.0,0.0,0.0,0.0,,0.0,12527,0.07547169811320754,0.5,0.1,0.5,0.0,0.5,0.09090909090909091,0.5,0.07547169811320754,0.5,0.1,0.5,0.0,0.5,0.09090909090909091,0.5
afdb:AF-A0A2I1FP32-F1,True,2048,8,0.0,0.0,0.0,0.0,0.0,,0.0,27106,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
afdb:AF-A0A4C1Y3M6-F1,True,0,8,0.25,0.17175795880149813,0.0,0.0,0.0,,0.0,7096,0.6940298507462687,0.9087440803546443,0.8076923076923077,0.9789034008989907,0.5294117647058824,0.850407135858364,0.7032967032967034,0.8995852291690312,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
afdb:AF-A0A815WMA6-F1,True,2048,8,0.0,0.0,0.0,0.0,0.0,,0.0,25714,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
afdb:AF-A0A017HM21-F1,True,2048,8,0.0,0.0,0.0,0.0,0.0,,0.0,27300,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
afdb:AF-A0A2H3INI9-F1,True,0,8,0.25,0.15570604263503768,0.0,0.0,0.0,,0.0,9949,0.6,0.8670944117559213,0.6590909090909091,0.8367620427381384,0.55,0.8726518218623481,0.6126126126126126,0.877186547617454,0.02857142857142857,0.5,0.0,0.5,0.0,0.5,0.04504504504504504,0.5
afdb:AF-A0A3B7PY05-F1,True,2048,8,0.0,0.0,0.0,0.0,0.0,,0.0,23790,0.06666666666666667,0.5,0.06666666666666667,0.5,0.07142857142857142,0.5,0.078125,0.5,0.06666666666666667,0.5,0.06666666666666667,0.5,0.07142857142857142,0.5,0.078125,0.5
afdb:AF-A0A497H822-F1,True,0,8,0.0,0.0,0.0,0.0,0.0,,0.0,12918,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
afdb:AF-A0A6D2JV33-F1,True,1024,8,0.125,0.05337078651685393,0.25,0.125,0.0,0.3821138211382114,0.554945054945055,18760,0.4175824175824176,0.7066033180964418,0.23529411764705882,0.6115986717267552,0.5094339622641509,0.7489796245659897,0.4017857142857143,0.6994037330669118,0.4725274725274725,0.7749416595192626,0.4117647058823529,0.7583728652751424,0.4716981132075472,0.7772935393596292,0.49107142857142855,0.7748920195105644
afdb:AF-A0A0A0LEI7-F1,True,2048,8,0.0,0.0,0.0,0.0,0.0,,0.0,36845,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
afdb:AF-A0A3N7ZB61-F1,True,2048,8,0.0,0.0,0.0,0.0,0.0,,0.0,32820,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
afdb:AF-A0A023B953-F1,True,1024,8,0.0,0.0,0.0,0.0,0.0,,0.0,20538,0.004273504273504274,0.5,0.045454545454545456,0.5,0.0,0.5,0.0,0.5,0.004273504273504274,0.5,0.045454545454545456,0.5,0.0,0.5,0.0,0.5
afdb:AF-A0A3M0CI41-F1,True,256,8,0.0,0.0,0.0,0.0,0.0,,0.0,9404,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
afdb:AF-A0A0C9R476-F1,True,0,8,0.125,0.03761061946902655,0.0,0.0,0.0,,0.0,5621,0.32075471698113206,0.6562427431059507,0.25,0.6180675909878682,0.3,0.6406191369606004,0.23076923076923078,0.7286607123548366,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
esm:00006e0cc08f6811d06e26109f635a8e,True,256,8,0.0,0.0,0.0,0.0,0.0,,0.0,9412,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
