mode,target_id,candidate_id,n_residues,budget,valid,error,final_marker_present,terminated,generated_tokens,raw_hypothesis_markers,hypotheses,nonempty_hypotheses,final_contacts,final_f1
natural,afdb:AF-A0A017HM21-F1,0,206,6409,False,incomplete contact triple,False,False,7774,14,0,0,0,0.0
natural,afdb:AF-A0A017HM21-F1,1,206,6409,False,incomplete contact triple,False,False,7774,15,0,0,0,0.0
natural,afdb:AF-A0A017HM21-F1,2,206,6409,False,unexpected token '<p1939>' at history offset 7010,False,False,7774,14,0,0,0,0.0
natural,afdb:AF-A0A017HM21-F1,3,206,6409,False,unexpected token '<p1939>' at history offset 7338,False,False,7774,12,0,0,0,0.0
natural,afdb:AF-A0A017HM21-F1,4,206,6409,False,incomplete contact triple,False,False,7774,18,0,0,0,0.0
natural,afdb:AF-A0A017HM21-F1,5,206,6409,False,incomplete contact triple,False,False,7774,14,0,0,0,0.0
natural,afdb:AF-A0A017HM21-F1,6,206,6409,False,missing final prediction or end marker,False,False,7774,13,0,0,0,0.0
natural,afdb:AF-A0A017HM21-F1,7,206,6409,False,unexpected token '<end>' at history offset 6584,False,True,6585,14,0,0,0,0.0
natural,afdb:AF-A0A023B953-F1,0,236,6169,False,missing final prediction or end marker,False,False,7714,13,0,0,0,0.0
natural,afdb:AF-A0A023B953-F1,1,236,6169,False,missing final prediction or end marker,False,False,7714,13,0,0,0,0.0
natural,afdb:AF-A0A023B953-F1,2,236,6169,False,missing final prediction or end marker,False,False,7714,13,0,0,0,0.0
natural,afdb:AF-A0A023B953-F1,3,236,6169,False,incomplete contact triple,False,False,7714,11,0,0,0,0.0
natural,afdb:AF-A0A023B953-F1,4,236,6169,False,incomplete contact triple,False,False,7714,12,0,0,0,0.0
natural,afdb:AF-A0A023B953-F1,5,236,6169,False,incomplete contact triple,False,False,7714,11,0,0,0,0.0
natural,afdb:AF-A0A023B953-F1,6,236,6169,False,incomplete contact triple,False,False,7714,15,0,0,0,0.0
natural,afdb:AF-A0A023B953-F1,7,236,6169,False,incomplete contact triple,False,False,7714,11,0,0,0,0.0
natural,afdb:AF-A0A0A0LEI7-F1,0,405,4817,False,unexpected token '<end>' at history offset 928,False,True,929,1,0,0,0,0.0
natural,afdb:AF-A0A0A0LEI7-F1,1,405,4817,False,incomplete contact triple,False,False,7376,6,0,0,0,0.0
natural,afdb:AF-A0A0A0LEI7-F1,2,405,4817,False,incomplete contact triple,False,False,7376,4,0,0,0,0.0
natural,afdb:AF-A0A0A0LEI7-F1,3,405,4817,False,unexpected token '<end>' at history offset 1787,False,True,1788,2,0,0,0,0.0
natural,afdb:AF-A0A0A0LEI7-F1,4,405,4817,False,unexpected token '<end>' at history offset 1072,False,True,1073,1,0,0,0,0.0
natural,afdb:AF-A0A0A0LEI7-F1,5,405,4817,False,incomplete contact triple,False,False,7376,6,0,0,0,0.0
natural,afdb:AF-A0A0A0LEI7-F1,6,405,4817,False,unexpected token '<end>' at history offset 952,False,True,953,1,0,0,0,0.0
natural,afdb:AF-A0A0A0LEI7-F1,7,405,4817,False,unexpected token '<end>' at history offset 913,False,True,914,1,0,0,0,0.0
natural,afdb:AF-A0A0C9R476-F1,0,108,7193,False,contact must be followed by two position tokens,False,False,7970,28,0,0,0,0.0
natural,afdb:AF-A0A0C9R476-F1,1,108,7193,False,incomplete contact triple,False,False,7970,33,0,0,0,0.0
natural,afdb:AF-A0A0C9R476-F1,2,108,7193,False,contact must be followed by two position tokens,False,False,7970,30,0,0,0,0.0
natural,afdb:AF-A0A0C9R476-F1,3,108,7193,False,missing final prediction or end marker,False,False,7970,32,0,0,0,0.0
natural,afdb:AF-A0A0C9R476-F1,4,108,7193,False,missing final prediction or end marker,False,False,7970,32,0,0,0,0.0
natural,afdb:AF-A0A0C9R476-F1,5,108,7193,False,incomplete contact triple,False,False,7970,30,0,0,0,0.0
natural,afdb:AF-A0A0C9R476-F1,6,108,7193,False,incomplete contact triple,False,False,7970,30,0,0,0,0.0
natural,afdb:AF-A0A0C9R476-F1,7,108,7193,False,unexpected token '<end>' at history offset 7125,False,True,7126,30,0,0,0,0.0
natural,afdb:AF-A0A2H3INI9-F1,0,225,6257,False,unexpected token '<end>' at history offset 6573,False,True,6574,12,0,0,0,0.0
natural,afdb:AF-A0A2H3INI9-F1,1,225,6257,False,incomplete contact triple,False,False,7736,15,0,0,0,0.0
natural,afdb:AF-A0A2H3INI9-F1,2,225,6257,False,unexpected token '<end>' at history offset 6798,False,True,6799,12,0,0,0,0.0
natural,afdb:AF-A0A2H3INI9-F1,3,225,6257,False,unexpected token '<end>' at history offset 944,False,True,945,2,0,0,0,0.0
natural,afdb:AF-A0A2H3INI9-F1,4,225,6257,False,unexpected token '<end>' at history offset 6988,False,True,6989,13,0,0,0,0.0
natural,afdb:AF-A0A2H3INI9-F1,5,225,6257,False,unexpected token '<end>' at history offset 7468,False,True,7469,13,0,0,0,0.0
natural,afdb:AF-A0A2H3INI9-F1,6,225,6257,False,unexpected token '<end>' at history offset 6472,False,True,6473,13,0,0,0,0.0
natural,afdb:AF-A0A2H3INI9-F1,7,225,6257,False,missing final prediction or end marker,False,False,7736,14,0,0,0,0.0
natural,afdb:AF-A0A2I1FP32-F1,0,202,6441,False,incomplete contact triple,False,False,7782,14,0,0,0,0.0
natural,afdb:AF-A0A2I1FP32-F1,1,202,6441,False,missing final prediction or end marker,False,False,7782,15,0,0,0,0.0
natural,afdb:AF-A0A2I1FP32-F1,2,202,6441,False,unexpected token '<end>' at history offset 6730,False,True,6731,13,0,0,0,0.0
natural,afdb:AF-A0A2I1FP32-F1,3,202,6441,False,incomplete contact triple,False,False,7782,16,0,0,0,0.0
natural,afdb:AF-A0A2I1FP32-F1,4,202,6441,False,missing final prediction or end marker,False,False,7782,15,0,0,0,0.0
natural,afdb:AF-A0A2I1FP32-F1,5,202,6441,False,unexpected token '<end>' at history offset 6188,False,True,6189,17,0,0,0,0.0
natural,afdb:AF-A0A2I1FP32-F1,6,202,6441,False,incomplete contact triple,False,False,7782,14,0,0,0,0.0
natural,afdb:AF-A0A2I1FP32-F1,7,202,6441,False,missing final prediction or end marker,False,False,7782,12,0,0,0,0.0
natural,afdb:AF-A0A397JLG7-F1,0,69,7505,False,contact must be followed by two position tokens,True,False,8048,51,0,0,0,0.0
natural,afdb:AF-A0A397JLG7-F1,1,69,7505,False,unexpected token '<end>' at history offset 6731,False,True,6732,44,0,0,0,0.0
natural,afdb:AF-A0A397JLG7-F1,2,69,7505,False,contact must be followed by two position tokens,False,True,7857,50,0,0,0,0.0
natural,afdb:AF-A0A397JLG7-F1,3,69,7505,False,contact must be followed by two position tokens,False,True,7210,46,0,0,0,0.0
natural,afdb:AF-A0A397JLG7-F1,4,69,7505,False,contact must be followed by two position tokens,True,False,8048,53,0,0,0,0.0
natural,afdb:AF-A0A397JLG7-F1,5,69,7505,False,contact must be followed by two position tokens,True,False,8048,51,0,0,0,0.0
natural,afdb:AF-A0A397JLG7-F1,6,69,7505,False,contact must be followed by two position tokens,True,False,8048,47,0,0,0,0.0
natural,afdb:AF-A0A397JLG7-F1,7,69,7505,False,contact must be followed by two position tokens,True,True,7980,42,0,0,0,0.0
natural,afdb:AF-A0A3B7PY05-F1,0,133,6993,False,contact must be followed by two position tokens,False,False,7920,22,0,0,0,0.0
natural,afdb:AF-A0A3B7PY05-F1,1,133,6993,False,contact must be followed by two position tokens,False,False,7920,18,0,0,0,0.0
natural,afdb:AF-A0A3B7PY05-F1,2,133,6993,False,contact must be followed by two position tokens,False,False,7920,21,0,0,0,0.0
natural,afdb:AF-A0A3B7PY05-F1,3,133,6993,False,contact must be followed by two position tokens,False,False,7920,26,0,0,0,0.0
natural,afdb:AF-A0A3B7PY05-F1,4,133,6993,False,contact must be followed by two position tokens,False,False,7920,26,0,0,0,0.0
natural,afdb:AF-A0A3B7PY05-F1,5,133,6993,False,contact must be followed by two position tokens,False,False,7920,21,0,0,0,0.0
natural,afdb:AF-A0A3B7PY05-F1,6,133,6993,False,contact must be followed by two position tokens,False,False,7920,20,0,0,0,0.0
natural,afdb:AF-A0A3B7PY05-F1,7,133,6993,False,contact must be followed by two position tokens,False,False,7920,27,0,0,0,0.0
natural,afdb:AF-A0A3M0CI41-F1,0,132,7001,False,unexpected token '<end>' at history offset 7046,False,True,7047,32,0,0,0,0.0
natural,afdb:AF-A0A3M0CI41-F1,1,132,7001,False,contact must be followed by two position tokens,False,True,7836,34,0,0,0,0.0
natural,afdb:AF-A0A3M0CI41-F1,2,132,7001,False,unexpected token '<end>' at history offset 7037,False,True,7038,32,0,0,0,0.0
natural,afdb:AF-A0A3M0CI41-F1,3,132,7001,False,contact must be followed by two position tokens,False,False,7922,34,0,0,0,0.0
natural,afdb:AF-A0A3M0CI41-F1,4,132,7001,False,unexpected token '<end>' at history offset 7376,False,True,7377,29,0,0,0,0.0
natural,afdb:AF-A0A3M0CI41-F1,5,132,7001,False,contact must be followed by two position tokens,True,False,7922,36,0,0,0,0.0
natural,afdb:AF-A0A3M0CI41-F1,6,132,7001,False,contact must be followed by two position tokens,True,False,7922,32,0,0,0,0.0
natural,afdb:AF-A0A3M0CI41-F1,7,132,7001,False,contact must be followed by two position tokens,True,False,7922,36,0,0,0,0.0
natural,afdb:AF-A0A3N7ZB61-F1,0,321,5489,False,unexpected token '<p1222>' at history offset 6468,False,False,7544,6,0,0,0,0.0
natural,afdb:AF-A0A3N7ZB61-F1,1,321,5489,False,unexpected token '<end>' at history offset 2291,False,True,2292,2,0,0,0,0.0
natural,afdb:AF-A0A3N7ZB61-F1,2,321,5489,False,unexpected token '<end>' at history offset 1123,False,True,1124,1,0,0,0,0.0
natural,afdb:AF-A0A3N7ZB61-F1,3,321,5489,False,unexpected token '<end>' at history offset 2871,False,True,2872,3,0,0,0,0.0
natural,afdb:AF-A0A3N7ZB61-F1,4,321,5489,False,incomplete contact triple,False,False,7544,6,0,0,0,0.0
natural,afdb:AF-A0A3N7ZB61-F1,5,321,5489,False,unexpected token '<end>' at history offset 2306,False,True,2307,2,0,0,0,0.0
natural,afdb:AF-A0A3N7ZB61-F1,6,321,5489,False,missing final prediction or end marker,False,False,7544,5,0,0,0,0.0
natural,afdb:AF-A0A3N7ZB61-F1,7,321,5489,False,unexpected token '<end>' at history offset 1910,False,True,1911,2,0,0,0,0.0
natural,afdb:AF-A0A497H822-F1,0,251,6049,False,incomplete contact triple,False,False,7684,11,0,0,0,0.0
natural,afdb:AF-A0A497H822-F1,1,251,6049,False,incomplete contact triple,False,False,7684,12,0,0,0,0.0
natural,afdb:AF-A0A497H822-F1,2,251,6049,False,missing final prediction or end marker,False,False,7684,13,0,0,0,0.0
natural,afdb:AF-A0A497H822-F1,3,251,6049,False,incomplete contact triple,False,False,7684,11,0,0,0,0.0
natural,afdb:AF-A0A497H822-F1,4,251,6049,False,unexpected token '<end>' at history offset 1920,False,True,1921,3,0,0,0,0.0
natural,afdb:AF-A0A497H822-F1,5,251,6049,False,incomplete contact triple,False,False,7684,9,0,0,0,0.0
natural,afdb:AF-A0A497H822-F1,6,251,6049,False,unexpected token '<end>' at history offset 6702,False,True,6703,12,0,0,0,0.0
natural,afdb:AF-A0A497H822-F1,7,251,6049,False,incomplete contact triple,False,False,7684,12,0,0,0,0.0
natural,afdb:AF-A0A4C1Y3M6-F1,0,164,6745,False,unexpected token '<end>' at history offset 7364,False,True,7365,20,0,0,0,0.0
natural,afdb:AF-A0A4C1Y3M6-F1,1,164,6745,False,incomplete contact triple,False,False,7858,21,0,0,0,0.0
natural,afdb:AF-A0A4C1Y3M6-F1,2,164,6745,False,incomplete contact triple,False,False,7858,20,0,0,0,0.0
natural,afdb:AF-A0A4C1Y3M6-F1,3,164,6745,False,incomplete contact triple,False,False,7858,20,0,0,0,0.0
natural,afdb:AF-A0A4C1Y3M6-F1,4,164,6745,False,incomplete contact triple,False,False,7858,20,0,0,0,0.0
natural,afdb:AF-A0A4C1Y3M6-F1,5,164,6745,False,missing final prediction or end marker,False,False,7858,19,0,0,0,0.0
natural,afdb:AF-A0A4C1Y3M6-F1,6,164,6745,False,unexpected token '<end>' at history offset 7486,False,True,7487,19,0,0,0,0.0
natural,afdb:AF-A0A4C1Y3M6-F1,7,164,6745,False,incomplete contact triple,False,False,7858,21,0,0,0,0.0
