mode,target_id,candidate_id,n_residues,budget,valid,error,final_marker_present,terminated,generated_tokens,raw_hypothesis_markers,hypotheses,nonempty_hypotheses,final_contacts,final_f1
natural,afdb:AF-A0A017HM21-F1,0,206,6409,False,incomplete contact triple,True,False,7774,7,0,0,0,0.0
natural,afdb:AF-A0A017HM21-F1,1,206,6409,False,unexpected token '<p1855>' at history offset 6195,True,False,7774,2,0,0,0,0.0
natural,afdb:AF-A0A017HM21-F1,2,206,6409,False,incomplete contact triple,False,False,7774,2,0,0,0,0.0
natural,afdb:AF-A0A017HM21-F1,3,206,6409,False,missing final prediction or end marker,False,False,7774,7,0,0,0,0.0
natural,afdb:AF-A0A017HM21-F1,4,206,6409,False,unexpected token '<end>' at history offset 6623,False,True,6624,8,0,0,0,0.0
natural,afdb:AF-A0A017HM21-F1,5,206,6409,False,unexpected token '<p1847>' at history offset 7545,False,False,7774,9,0,0,0,0.0
natural,afdb:AF-A0A017HM21-F1,6,206,6409,False,incomplete contact triple,False,False,7774,3,0,0,0,0.0
natural,afdb:AF-A0A017HM21-F1,7,206,6409,False,missing final prediction or end marker,False,False,7774,4,0,0,0,0.0
natural,afdb:AF-A0A023B953-F1,0,236,6169,False,unexpected token '<final-prediction>' at history offset 7273,True,False,7714,3,0,0,0,0.0
natural,afdb:AF-A0A023B953-F1,1,236,6169,False,contact must be followed by two position tokens,True,False,7714,9,0,0,0,0.0
natural,afdb:AF-A0A023B953-F1,2,236,6169,False,missing final prediction or end marker,False,False,7714,10,0,0,0,0.0
natural,afdb:AF-A0A023B953-F1,3,236,6169,False,unexpected token '<end>' at history offset 6327,False,True,6328,3,0,0,0,0.0
natural,afdb:AF-A0A023B953-F1,4,236,6169,False,incomplete contact triple,True,False,7714,8,0,0,0,0.0
natural,afdb:AF-A0A023B953-F1,5,236,6169,False,unexpected token '<final-prediction>' at history offset 6232,True,False,7714,6,0,0,0,0.0
natural,afdb:AF-A0A023B953-F1,6,236,6169,False,missing final prediction or end marker,False,False,7714,10,0,0,0,0.0
natural,afdb:AF-A0A023B953-F1,7,236,6169,False,incomplete contact triple,False,False,7714,2,0,0,0,0.0
natural,afdb:AF-A0A0A0LEI7-F1,0,405,4817,False,contact must be followed by two position tokens,True,False,7376,1,0,0,0,0.0
natural,afdb:AF-A0A0A0LEI7-F1,1,405,4817,False,contact must be followed by two position tokens,False,False,7376,3,0,0,0,0.0
natural,afdb:AF-A0A0A0LEI7-F1,2,405,4817,False,incomplete contact triple,False,False,7376,1,0,0,0,0.0
natural,afdb:AF-A0A0A0LEI7-F1,3,405,4817,False,contact must be followed by two position tokens,False,False,7376,1,0,0,0,0.0
natural,afdb:AF-A0A0A0LEI7-F1,4,405,4817,False,incomplete contact triple,False,False,7376,1,0,0,0,0.0
natural,afdb:AF-A0A0A0LEI7-F1,5,405,4817,False,incomplete contact triple,False,False,7376,1,0,0,0,0.0
natural,afdb:AF-A0A0A0LEI7-F1,6,405,4817,False,contact must be followed by two position tokens,False,False,7376,2,0,0,0,0.0
natural,afdb:AF-A0A0A0LEI7-F1,7,405,4817,False,incomplete contact triple,False,False,7376,1,0,0,0,0.0
natural,afdb:AF-A0A0C9R476-F1,0,108,7193,False,unexpected token '<final-prediction>' at history offset 6314,True,False,7970,16,0,0,0,0.0
natural,afdb:AF-A0A0C9R476-F1,1,108,7193,False,unexpected token '<begin_statements>' at history offset 5116,True,False,7970,14,0,0,0,0.0
natural,afdb:AF-A0A0C9R476-F1,2,108,7193,False,unexpected token '<begin_statements>' at history offset 6365,True,False,7970,17,0,0,0,0.0
natural,afdb:AF-A0A0C9R476-F1,3,108,7193,False,unexpected token '<final-prediction>' at history offset 6957,True,False,7970,17,0,0,0,0.0
natural,afdb:AF-A0A0C9R476-F1,4,108,7193,False,out-of-sequence or short-range generated contact,True,True,6634,17,0,0,0,0.0
natural,afdb:AF-A0A0C9R476-F1,5,108,7193,False,contact must be followed by two position tokens,True,False,7970,12,0,0,0,0.0
natural,afdb:AF-A0A0C9R476-F1,6,108,7193,False,unexpected token '<begin_statements>' at history offset 5580,True,False,7970,15,0,0,0,0.0
natural,afdb:AF-A0A0C9R476-F1,7,108,7193,False,contact must be followed by two position tokens,False,False,7970,10,0,0,0,0.0
natural,afdb:AF-A0A2H3INI9-F1,0,225,6257,False,incomplete contact triple,True,False,7736,2,0,0,0,0.0
natural,afdb:AF-A0A2H3INI9-F1,1,225,6257,False,incomplete contact triple,False,False,7736,6,0,0,0,0.0
natural,afdb:AF-A0A2H3INI9-F1,2,225,6257,False,contact must be followed by two position tokens,True,False,7736,7,0,0,0,0.0
natural,afdb:AF-A0A2H3INI9-F1,3,225,6257,False,missing final prediction or end marker,False,False,7736,5,0,0,0,0.0
natural,afdb:AF-A0A2H3INI9-F1,4,225,6257,False,missing final prediction or end marker,False,False,7736,2,0,0,0,0.0
natural,afdb:AF-A0A2H3INI9-F1,5,225,6257,False,unexpected token '<final-prediction>' at history offset 7439,True,False,7736,4,0,0,0,0.0
natural,afdb:AF-A0A2H3INI9-F1,6,225,6257,False,out-of-sequence or short-range generated contact,True,True,6853,8,0,0,0,0.0
natural,afdb:AF-A0A2H3INI9-F1,7,225,6257,False,incomplete contact triple,False,False,7736,4,0,0,0,0.0
natural,afdb:AF-A0A2I1FP32-F1,0,202,6441,False,unexpected token '<p1085>' at history offset 7698,True,False,7782,5,0,0,0,0.0
natural,afdb:AF-A0A2I1FP32-F1,1,202,6441,False,unexpected token '<final-prediction>' at history offset 6267,True,False,7782,8,0,0,0,0.0
natural,afdb:AF-A0A2I1FP32-F1,2,202,6441,False,missing final prediction or end marker,False,False,7782,3,0,0,0,0.0
natural,afdb:AF-A0A2I1FP32-F1,3,202,6441,False,incomplete contact triple,False,False,7782,2,0,0,0,0.0
natural,afdb:AF-A0A2I1FP32-F1,4,202,6441,False,missing final prediction or end marker,False,False,7782,6,0,0,0,0.0
natural,afdb:AF-A0A2I1FP32-F1,5,202,6441,False,incomplete contact triple,False,False,7782,4,0,0,0,0.0
natural,afdb:AF-A0A2I1FP32-F1,6,202,6441,False,incomplete contact triple,False,False,7782,7,0,0,0,0.0
natural,afdb:AF-A0A2I1FP32-F1,7,202,6441,False,unexpected token '<p959>' at history offset 6706,False,False,7782,4,0,0,0,0.0
natural,afdb:AF-A0A397JLG7-F1,0,69,7505,False,contact must be followed by two position tokens,True,False,8048,16,0,0,0,0.0
natural,afdb:AF-A0A397JLG7-F1,1,69,7505,False,contact must be followed by two position tokens,True,False,8048,15,0,0,0,0.0
natural,afdb:AF-A0A397JLG7-F1,2,69,7505,False,contact must be followed by two position tokens,True,True,3850,21,0,0,0,0.0
natural,afdb:AF-A0A397JLG7-F1,3,69,7505,False,contact must be followed by two position tokens,True,False,8048,13,0,0,0,0.0
natural,afdb:AF-A0A397JLG7-F1,4,69,7505,False,out-of-sequence or short-range generated contact,True,True,3251,15,0,0,0,0.0
natural,afdb:AF-A0A397JLG7-F1,5,69,7505,False,unexpected token '<begin_statements>' at history offset 2717,True,False,8048,17,0,0,0,0.0
natural,afdb:AF-A0A397JLG7-F1,6,69,7505,False,contact must be followed by two position tokens,True,False,8048,15,0,0,0,0.0
natural,afdb:AF-A0A397JLG7-F1,7,69,7505,False,unexpected token '<final-prediction>' at history offset 2771,True,True,3149,16,0,0,0,0.0
natural,afdb:AF-A0A3B7PY05-F1,0,133,6993,False,unexpected token '<begin_statements>' at history offset 4685,True,True,6272,11,0,0,0,0.0
natural,afdb:AF-A0A3B7PY05-F1,1,133,6993,False,unexpected token '<final-prediction>' at history offset 6579,True,True,7076,11,0,0,0,0.0
natural,afdb:AF-A0A3B7PY05-F1,2,133,6993,False,unexpected token '<final-prediction>' at history offset 6445,True,False,7920,12,0,0,0,0.0
natural,afdb:AF-A0A3B7PY05-F1,3,133,6993,False,incomplete contact triple,True,False,7920,13,0,0,0,0.0
natural,afdb:AF-A0A3B7PY05-F1,4,133,6993,False,incomplete contact triple,True,False,7920,13,0,0,0,0.0
natural,afdb:AF-A0A3B7PY05-F1,5,133,6993,False,unexpected token '<begin_statements>' at history offset 6051,True,True,6488,12,0,0,0,0.0
natural,afdb:AF-A0A3B7PY05-F1,6,133,6993,False,out-of-sequence or short-range generated contact,True,True,7048,14,0,0,0,0.0
natural,afdb:AF-A0A3B7PY05-F1,7,133,6993,False,missing final prediction or end marker,True,False,7920,14,0,0,0,0.0
natural,afdb:AF-A0A3M0CI41-F1,0,132,7001,False,contact must be followed by two position tokens,True,False,7922,18,0,0,0,0.0
