target_id,forced,budget,candidates,valid_fraction,final_f1,sections_per_trajectory,multi_fraction,empty_sections_per_trajectory,hypothesis_jaccard,hypothesis_union_recall,generated_tokens,final_r_precision_all,final_auc_all,final_r_precision_short,final_auc_short,final_r_precision_medium,final_auc_medium,final_r_precision_long,final_auc_long,draft_vote_r_precision_all,draft_vote_auc_all,draft_vote_r_precision_short,draft_vote_auc_short,draft_vote_r_precision_medium,draft_vote_auc_medium,draft_vote_r_precision_long,draft_vote_auc_long
afdb:AF-A0A7Z9Y145-F1,False,6849,8,0.0,0.0,0.0,0.0,0.0,,0.0,63072,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
afdb:AF-T1AV83-F1,False,6753,8,0.0,0.0,0.0,0.0,0.0,,0.0,62880,0.05,0.5,0.0,0.5,0.09090909090909091,0.5,0.058823529411764705,0.5,0.05,0.5,0.0,0.5,0.09090909090909091,0.5,0.058823529411764705,0.5
afdb:AF-A0A397JLG7-F1,False,7505,8,0.0,0.0,0.0,0.0,0.0,,0.0,61971,0.07547169811320754,0.5,0.1,0.5,0.0,0.5,0.09090909090909091,0.5,0.07547169811320754,0.5,0.1,0.5,0.0,0.5,0.09090909090909091,0.5
afdb:AF-A0A2I1FP32-F1,False,6441,8,0.0,0.0,0.0,0.0,0.0,,0.0,59612,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
afdb:AF-A0A4C1Y3M6-F1,False,6745,8,0.0,0.0,0.0,0.0,0.0,,0.0,62000,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
afdb:AF-A0A815WMA6-F1,False,6673,8,0.0,0.0,0.0,0.0,0.0,,0.0,53849,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
afdb:AF-A0A017HM21-F1,False,6409,8,0.0,0.0,0.0,0.0,0.0,,0.0,61003,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
afdb:AF-A0A2H3INI9-F1,False,6257,8,0.0,0.0,0.0,0.0,0.0,,0.0,50721,0.02857142857142857,0.5,0.0,0.5,0.0,0.5,0.04504504504504504,0.5,0.02857142857142857,0.5,0.0,0.5,0.0,0.5,0.04504504504504504,0.5
afdb:AF-A0A3B7PY05-F1,False,6993,8,0.0,0.0,0.0,0.0,0.0,,0.0,63360,0.06666666666666667,0.5,0.06666666666666667,0.5,0.07142857142857142,0.5,0.078125,0.5,0.06666666666666667,0.5,0.06666666666666667,0.5,0.07142857142857142,0.5,0.078125,0.5
afdb:AF-A0A497H822-F1,False,6049,8,0.0,0.0,0.0,0.0,0.0,,0.0,54728,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
