mode,stem,split,L,range,consensus_published,consensus_valid_only,mean_emission_fixed_r,best_emission_fixed_r,mean_frequency_fixed_r,best_frequency_fixed_r,mean_random_order_fixed_r,best_within_map_truth_ranking,mean_map_recall,union_recall,mean_contacts_over_r,fraction_maps_shorter_than_r,mean_cardinality_ceiling,best_cardinality_ceiling,fraction_maps_longer_than_r,unique_maps,true_contacts_seen_once_fraction,true_contacts_seen_at_most_five_fraction,true_contacts_seen_majority_fraction,blind_frequency_selected,blind_nll_selected,invalid,R,union_size,best_emission_1,best_map_recall_1,best_emission_5,best_map_recall_5,best_emission_10,best_map_recall_10,best_emission_25,best_map_recall_25,best_emission_50,best_map_recall_50,best_emission_100,best_map_recall_100
full_iid_single,7t9r_A,dev,38,all,0.25,0.25,0.09958333333333334,0.2916666666666667,0.11166666666666666,0.375,0.0966274005414763,0.4583333333333333,0.12666666666666665,0.9583333333333334,1.2729166666666665,0.2,0.9641666666666667,1.0,0.77,100,0.08333333333333333,0.25,0.0,0.20833333333333334,0.0,1,24,383,0.041666666666666664,0.08333333333333333,0.125,0.125,0.125,0.16666666666666666,0.25,0.4583333333333333,0.2916666666666667,0.4583333333333333,0.2916666666666667,0.4583333333333333
full_iid_single,7t9r_A,dev,38,long,0.14285714285714285,0.14285714285714285,0.039999999999999994,0.42857142857142855,0.039999999999999994,0.42857142857142855,0.041413632119514474,0.42857142857142855,0.045714285714285714,0.8571428571428571,0.5785714285714286,0.83,0.5342857142857143,1.0,0.14,82,0.2857142857142857,0.7142857142857143,0.0,0.14285714285714285,0.0,1,7,80,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.42857142857142855
full_g05_pa_all,7t9r_A,dev,38,all,0.20833333333333334,0.20833333333333334,0.09625,0.5833333333333334,0.11833333333333332,0.5833333333333334,0.09583384587783243,0.6666666666666666,0.1325,0.8333333333333334,1.4041666666666663,0.09,0.985,1.0,0.9,100,0.08333333333333333,0.3333333333333333,0.041666666666666664,0.16666666666666666,0.16666666666666666,0,24,364,0.08333333333333333,0.125,0.16666666666666666,0.25,0.16666666666666666,0.25,0.20833333333333334,0.25,0.25,0.25,0.5833333333333334,0.6666666666666666
full_g05_pa_all,7t9r_A,dev,38,long,0.14285714285714285,0.14285714285714285,0.04285714285714286,0.42857142857142855,0.041428571428571426,0.42857142857142855,0.041761904761904764,0.42857142857142855,0.04428571428571428,0.5714285714285714,0.5371428571428571,0.81,0.5000000000000001,1.0,0.11,82,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0,7,70,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855
full_iid_single,7yhr_A,test,60,all,0.4146341463414634,0.4146341463414634,0.28585365853658534,0.4634146341463415,0.2951219512195122,0.4634146341463415,0.2855185681774224,0.5121951219512195,0.2973170731707317,1.0,0.938780487804878,0.57,0.9019512195121949,1.0,0.34,100,0.0,0.14634146341463414,0.2926829268292683,0.43902439024390244,0.12195121951219512,0,41,439,0.24390243902439024,0.24390243902439024,0.43902439024390244,0.5121951219512195,0.43902439024390244,0.5121951219512195,0.43902439024390244,0.5121951219512195,0.4634146341463415,0.5121951219512195,0.4634146341463415,0.5121951219512195
full_iid_single,7yhr_A,test,60,long,0.2608695652173913,0.2608695652173913,0.18869565217391301,0.43478260869565216,0.1917391304347826,0.43478260869565216,0.18918059227407052,0.43478260869565216,0.1917391304347826,1.0,0.7865217391304347,0.84,0.7756521739130434,1.0,0.11,100,0.0,0.17391304347826086,0.08695652173913043,0.2608695652173913,0.0,0,23,230,0.17391304347826086,0.17391304347826086,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.43478260869565216
full_g05_pa_all,7yhr_A,test,60,all,0.4878048780487805,0.4634146341463415,0.3360975609756098,0.5365853658536586,0.3412195121951219,0.5365853658536586,0.33295675497338356,0.5609756097560976,0.3463414634146341,0.975609756097561,0.9534146341463412,0.56,0.9165853658536584,1.0,0.36,100,0.07317073170731707,0.1951219512195122,0.2926829268292683,0.5365853658536586,0.24390243902439024,1,41,332,0.4634146341463415,0.4634146341463415,0.4634146341463415,0.4634146341463415,0.4634146341463415,0.4878048780487805,0.4634146341463415,0.5365853658536586,0.4878048780487805,0.5365853658536586,0.5365853658536586,0.5609756097560976
full_g05_pa_all,7yhr_A,test,60,long,0.391304347826087,0.391304347826087,0.2226086956521739,0.43478260869565216,0.2252173913043478,0.43478260869565216,0.2227162696124465,0.43478260869565216,0.22652173913043477,0.9565217391304348,0.7934782608695653,0.84,0.7808695652173913,1.0,0.12,100,0.043478260869565216,0.2608695652173913,0.08695652173913043,0.34782608695652173,0.17391304347826086,1,23,175,0.30434782608695654,0.30434782608695654,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.43478260869565216,0.43478260869565216,0.43478260869565216
full_iid_single,7xi5_A,test,65,all,0.7857142857142857,0.7857142857142857,0.6926190476190477,0.8333333333333334,0.715,0.8333333333333334,0.6933271505151207,0.8333333333333334,0.7166666666666667,1.0,1.005,0.44,0.9697619047619048,1.0,0.44,100,0.023809523809523808,0.047619047619047616,0.7857142857142857,0.8333333333333334,0.5714285714285714,1,42,143,0.7380952380952381,0.7380952380952381,0.7619047619047619,0.7857142857142857,0.7857142857142857,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
full_iid_single,7xi5_A,test,65,long,0.7391304347826086,0.7391304347826086,0.6321739130434783,0.8260869565217391,0.6439130434782608,0.8260869565217391,0.6333484156667186,0.8695652173913043,0.6456521739130434,1.0,0.9373913043478261,0.65,0.9147826086956523,1.0,0.21,100,0.043478260869565216,0.043478260869565216,0.6956521739130435,0.7391304347826086,0.43478260869565216,1,23,93,0.6956521739130435,0.6956521739130435,0.7391304347826086,0.7391304347826086,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8695652173913043,0.8260869565217391,0.8695652173913043,0.8260869565217391,0.8695652173913043
