stem,length,condition,quality_pass,sequence_excluded,structure_excluded,fine_cluster,selected
proteina-1a173192e6bf801d73ab,400,2.x.x.x,True,False,False,proteina-1a173192e6bf801d73ab,True
proteina-7a86544b34e780ea1437,400,2.x.x.x,False,True,False,,False
proteina-2e9a6488fc825197600f,400,2.x.x.x,True,True,False,,False
proteina-00901e3f8440b54804bb,400,2.x.x.x,True,False,False,proteina-00901e3f8440b54804bb,True
proteina-c8d322085527f674d10f,400,2.x.x.x,True,True,False,,False
proteina-a8730a6cd2126b148e6c,400,2.x.x.x,True,True,False,,False
proteina-7a286cdfa5a6c16544bb,400,2.x.x.x,False,True,False,,False
proteina-a690b3627e6e959ab672,400,2.x.x.x,True,True,False,,False
proteina-ee5e068cedbb092dda93,400,1.x.x.x,True,True,False,,False
proteina-84ede69b6870bf3d6a15,400,1.x.x.x,True,True,False,,False
proteina-7c4326b76a0f1dcd4857,400,1.x.x.x,True,False,False,proteina-7c4326b76a0f1dcd4857,True
proteina-e2d28ddddbee477acbda,400,1.x.x.x,True,True,False,,False
proteina-ffa32d73cddc6e7509b3,400,1.x.x.x,True,False,False,proteina-ffa32d73cddc6e7509b3,True
proteina-f474afc59ba2a17a183c,400,1.x.x.x,True,True,False,,False
proteina-15b8ec191263d968f55b,400,1.x.x.x,False,True,False,,False
proteina-688ecd660f68fb0cfe10,400,1.x.x.x,False,True,False,,False
proteina-eae88699099f0f7e8877,400,2.x.x.x,True,False,False,proteina-eae88699099f0f7e8877,True
proteina-0809086d07bd65259710,400,2.x.x.x,False,False,False,,False
proteina-a81b6a1abf250c16dd6d,400,2.x.x.x,False,True,False,,False
proteina-3cdd761b8568e84b4c45,400,2.x.x.x,False,False,False,,False
proteina-8f42a829b267e412dcca,400,2.x.x.x,True,False,False,proteina-8f42a829b267e412dcca,True
proteina-3286f6423fb33fdf5a95,400,2.x.x.x,True,False,False,proteina-294b402cae8c43c129ed,True
proteina-aa1575719eb94422419a,400,2.x.x.x,False,False,False,,False
proteina-a5586e474d3ca7789e21,400,2.x.x.x,True,False,False,proteina-a5586e474d3ca7789e21,True
proteina-238b8d4270af77b6809f,400,3.x.x.x,True,False,False,proteina-238b8d4270af77b6809f,True
proteina-25eec4205501314310df,400,3.x.x.x,False,True,False,,False
