stem,msa_volume,found,a3m_bytes,n_seqs,query_len,n_eff_0.8,n_eff_0.62,elapsed_seconds
7ur7_A,exp74,True,71.0,1.0,63.0,1.0,1.0,0.13452416800001288
8ah9_A,exp74,True,1224.0,7.0,115.0,4.416666666666667,4.0,0.017561274999991383
8eov_A,exp74,True,147.0,1.0,139.0,1.0,1.0,0.29038258500000325
8fjf_A,exp74,True,135.0,1.0,127.0,1.0,1.0,0.04122766499997965
8j4i_A,exp74,True,1679023.0,6543.0,190.0,1912.4341769571188,626.0123989629058,23.717299177
8jvx_B,exp74,True,47.0,1.0,39.0,1.0,1.0,0.134500222000014
8k7z_A,exp74,True,180.0,1.0,172.0,1.0,1.0,0.015930571000012606
8ka7_A,exp74,True,123.0,1.0,115.0,1.0,1.0,0.0148399779999977
8kac_A,exp74,True,66158.0,350.0,121.0,173.27210934552488,39.3253935296173,0.08819851800001288
8kcj_A,exp74,True,187.0,1.0,179.0,1.0,1.0,0.13887378799998373
8qkd_A,exp74,True,289.0,1.0,281.0,1.0,1.0,0.054728575000012825
8qup_A,exp74,True,32910.0,187.0,114.0,24.207159485910076,6.169594858523105,0.039164435999992975
8raj_A,exp74,True,424.0,4.0,62.0,3.0,3.0,0.13792185200000517
8s3m_A,exp74,True,887537.0,2131.0,345.0,1466.9013602247492,348.1523208251434,5.449586764000003
8s89_A,exp74,True,409.0,1.0,401.0,1.0,1.0,0.06730067600000211
8u1a_A,exp74,True,332.0,1.0,324.0,1.0,1.0,0.11397799100001293
8v4w_A,exp74,True,17929.0,66.0,207.0,4.4065854883609745,2.0930050923458863,0.12339340700000889
8vc8_A,exp74,True,205.0,1.0,197.0,1.0,1.0,0.01876349899998786
8vd6_A,exp74,True,182.0,1.0,174.0,1.0,1.0,0.06186889900001802
8vej_B,exp74,True,250.0,1.0,242.0,1.0,1.0,0.13390222800001084
8wwc_C,exp74,True,121.0,1.0,113.0,1.0,1.0,0.12665148499999646
8xtn_A,exp74,True,217.0,3.0,33.0,1.0,1.0,0.06690285100000892
8yl4_B,exp74,True,215.0,1.0,207.0,1.0,1.0,0.12973365299998818
8yoz_A,exp74,True,1778584.0,12505.0,79.0,8849.166636096837,3104.6835410886724,57.268271158999994
8zaf_A,exp74,True,132044.0,303.0,353.0,114.26268159944631,33.12755805909684,0.26409918799998877
9b7d_D,exp74,True,119192.0,450.0,192.0,294.8147546897547,126.26168860832831,0.28136189699998226
9bch_A,exp74,True,3085.0,12.0,198.0,3.1,3.1,0.12838466700000595
9de9_B,exp74,True,89.0,1.0,81.0,1.0,1.0,0.1828863020000142
9deb_E,exp74,True,91.0,1.0,83.0,1.0,1.0,0.11611799700000347
9def_A,exp74,True,9189.0,41.0,151.0,38.0,29.271428571428572,0.12822270000000913
9deg_A,exp74,True,165.0,1.0,157.0,1.0,1.0,0.11800882800000068
9dl1_D,exp74,True,2116.0,12.0,124.0,5.0,2.825,0.1142407240000125
9emy_B,exp74,True,468321.0,1030.0,379.0,525.5293993711281,253.63805195218285,1.2488909639999974
9eqn_A,exp74,True,9394.0,72.0,72.0,7.065560542398778,7.0,0.11081151499999464
9eum_A,exp74,True,1899922.0,7753.0,176.0,3756.8849458889467,1047.5927561545209,39.304367716
9f4c_A,exp74,True,341142.0,1625.0,141.0,391.69154246530627,170.02000800899424,1.1121590639999965
9fdg_A,exp74,True,29991.0,122.0,179.0,30.281348506068678,14.41405321573765,0.14919416700001875
9hac_B,exp74,True,135.0,1.0,127.0,1.0,1.0,0.13796000300001765
9had_C,exp74,True,116.0,1.0,108.0,1.0,1.0,0.1758190070000012
9isp_A,exp74,True,112610.0,507.0,156.0,119.75649509776346,49.664113455112414,0.32309949300000085
9j46_F,exp74,True,1627.0,9.0,124.0,5.0,5.0,0.10857636700001194
9j5h_A,exp74,True,43.0,1.0,35.0,1.0,1.0,0.16815414600000622
9k3e_C,exp74,True,1938.0,11.0,116.0,10.0,8.333333333333332,0.14371572500002117
T1027-D1,exp74,True,32495.0,141.0,168.0,40.574220719468244,15.062975704585147,0.17030331600000181
T1029-D1,exp74,True,107869.0,574.0,125.0,181.6988152154713,60.75872887088106,0.15880903499999022
T1031-D1,exp74,True,323245.0,1959.0,95.0,253.75900357525106,67.5847333923584,1.9023022880000156
T1033-D1,exp74,True,1728.0,11.0,100.0,7.999999999999999,6.2666666666666675,0.010699829999992971
T1035-D1,exp74,True,20869.0,118.0,102.0,78.2,62.9329365079365,0.30939884200000733
T1037-D1,exp74,True,160146.0,334.0,404.0,201.05200801950028,121.44517745133821,0.26014621699999907
T1038-D1,exp74,True,15828.0,89.0,114.0,15.53237054282037,6.4613522543790625,0.14383207599999537
T1038-D2,exp74,True,129140.0,924.0,76.0,69.8251926000656,11.770519197957405,0.3887610909999921
T1039-D1,exp74,True,4369.0,19.0,161.0,16.0,16.0,0.025434761999974853
T1040-D1,exp74,True,11718.0,57.0,130.0,37.392857142857146,20.212066588382378,0.01972651700000938
T1041-D1,exp74,True,148578.0,467.0,242.0,248.16149606739188,130.64193065763087,0.23188525399999094
T1042-D1,exp74,True,17417.0,51.0,276.0,39.00000000000001,30.22142857142857,0.015824508999997988
T1043-D1,exp74,True,985.0,5.0,148.0,1.9999999999999998,1.9999999999999998,0.1659141070000203
T1049-D1,exp74,True,60190.0,293.0,134.0,120.26308136308137,65.48658840590443,0.05554207900001984
