query,target,qtmscore,ttmscore,qcov,tcov,evalue,stem,min_tm
proteina-d8bc4468003a8b3ae1d0,legacy__denovo_pdb__8qaf_A,8.046E-01,8.160E-01,1.000,0.966,7.396E-01,proteina-d8bc4468003a8b3ae1d0,0.8046
proteina-179ce84d58496fedec24,legacy__denovo_pdb__8qaf_A,8.215E-01,8.341E-01,0.900,1.000,7.857E-01,proteina-179ce84d58496fedec24,0.8215
proteina-522dadabf93fddb7b94b,legacy__denovo_pdb__8qaf_A,8.083E-01,8.197E-01,0.983,1.000,7.405E-01,proteina-522dadabf93fddb7b94b,0.8083
proteina-e3417958656e3e318797,legacy__denovo_pdb__8qaf_A,8.205E-01,8.323E-01,0.983,0.966,7.601E-01,proteina-e3417958656e3e318797,0.8205
proteina-d367f5e8e9f695fd73b5,legacy__denovo_pdb__8qaf_A,8.211E-01,8.328E-01,1.000,1.000,7.569E-01,proteina-d367f5e8e9f695fd73b5,0.8211
proteina-61da3b49e07a66daed11,legacy__denovo_pdb__8qaf_A,8.360E-01,8.483E-01,1.000,0.966,7.813E-01,proteina-61da3b49e07a66daed11,0.836
proteina-3999e7d2ac1e6c3fc3ab,legacy__denovo_pdb__2wqh_A,9.694E-01,9.331E-01,1.000,0.981,9.384E-01,proteina-3999e7d2ac1e6c3fc3ab,0.9331
proteina-7b2c89173a94dc2fe651,legacy__denovo_pdb__2wqh_A,8.532E-01,8.234E-01,1.000,0.933,8.029E-01,proteina-7b2c89173a94dc2fe651,0.8234
proteina-c4c9867eec02dd6ecf3d,legacy__denovo_pdb__2wqh_A,8.674E-01,8.372E-01,0.980,0.971,8.144E-01,proteina-c4c9867eec02dd6ecf3d,0.8372
proteina-8a2cb45828c7f54a286f,legacy__denovo_pdb__6ds9_A,8.070E-01,8.617E-01,0.990,1.000,7.980E-01,proteina-8a2cb45828c7f54a286f,0.807
proteina-9f3ed0539fade3458d5f,legacy__denovo_pdb__5di5_A,8.425E-01,8.808E-01,0.945,0.979,8.509E-01,proteina-9f3ed0539fade3458d5f,0.8425
proteina-9f3ed0539fade3458d5f,legacy__denovo_pdb__5dra_A,8.296E-01,8.706E-01,1.000,1.000,8.322E-01,proteina-9f3ed0539fade3458d5f,0.8296
proteina-041b006925c27cf22038,legacy__denovo_pdb__5dra_A,8.463E-01,8.887E-01,0.960,0.984,8.531E-01,proteina-041b006925c27cf22038,0.8463
proteina-041b006925c27cf22038,legacy__denovo_pdb__5di5_A,8.400E-01,8.782E-01,0.930,0.990,8.483E-01,proteina-041b006925c27cf22038,0.84
proteina-b65e3a787eac6f38b0a1,foldbench__8suc-assembly1__A,8.006E-01,8.485E-01,0.927,0.996,8.082E-01,proteina-b65e3a787eac6f38b0a1,0.8006
proteina-5e15e9ca7a60cd12a8b4,legacy__denovo_pdb__7bid_A,8.582E-01,8.993E-01,1.000,0.934,8.731E-01,proteina-5e15e9ca7a60cd12a8b4,0.8582
proteina-d7af83982fa1c67eeb15,legacy__denovo_pdb__4r5c_A,8.258E-01,8.156E-01,0.933,0.957,8.060E-01,proteina-d7af83982fa1c67eeb15,0.8156
proteina-abe6f8e1ec917317320f,legacy__denovo_pdb__7bid_A,8.704E-01,9.126E-01,0.950,0.927,8.887E-01,proteina-abe6f8e1ec917317320f,0.8704
