query,target,fident,qcov,tcov,qlen,tlen,evalue,shorter_coverage,identity_rule,evalue_rule
proteina-ff3732a92c22b0a68868,reference1::foldbench_all__8PNP_C,0.400,0.500,0.029,60,788,2.533E+01,0.5,True,False
proteina-5206a39e06906643c41a,reference0::denovo_pdb__9v3a_A,0.588,0.567,0.267,60,120,3.641E+00,0.567,True,False
proteina-73739c207cc72ef6395e,reference1::foldbench_all__8TAC_A,0.540,0.833,0.714,60,70,1.520E-08,0.833,True,True
proteina-73739c207cc72ef6395e,reference0::denovo_pdb__8etq_A,0.400,0.917,0.162,60,277,7.227E-01,0.917,True,False
proteina-3a2858018bbd7f5df0a1,reference0::denovo_pdb__8kac_A,0.321,0.933,0.430,60,121,5.031E+00,0.933,True,False
proteina-3a2858018bbd7f5df0a1,reference1::foldbench_all__8KAC_A,0.321,0.933,0.403,60,129,5.031E+00,0.933,True,False
proteina-9b4552044f309f6da941,reference1::foldbench_all__8T0P_C,0.500,0.167,0.556,60,18,1.603E+03,0.556,True,False
proteina-01d370c9d1d1c26294c1,reference0::denovo_pdb__8q52_A,0.354,0.517,0.084,60,320,5.031E+00,0.517,True,False
proteina-4693c4f7029ccbbb2a33,reference1::foldbench_all__8PFI_B,0.359,0.983,0.078,60,807,1.380E+00,0.983,True,False
proteina-a8544eb911c94eca13cd,reference0::cameo_hard__9bch_A,0.371,0.517,0.177,60,198,1.834E+01,0.517,True,False
proteina-cad555445800b1af3300,reference0::denovo_pdb__9d01_A,0.421,0.633,0.089,60,369,3.498E+01,0.633,True,False
proteina-e4b709e5de485425a4c3,reference0::denovo_pdb__9lni_A,0.382,0.500,0.160,60,212,1.327E+01,0.5,True,False
proteina-5310c921b749d5f3ba7c,reference1::foldbench_all__8GPS_A,0.324,0.617,0.152,60,244,9.986E-01,0.617,True,False
proteina-629b0e58b2fffbb8cd35,reference0::denovo_pdb__9lni_A,0.458,0.717,0.212,60,212,3.786E-01,0.717,True,False
proteina-206a0e1dfe88fcb416c7,reference0::denovo_pdb__8kc1_A,0.357,0.700,0.470,60,83,9.986E-01,0.7,True,False
proteina-206a0e1dfe88fcb416c7,reference1::foldbench_all__8KC1_A,0.357,0.700,0.448,60,87,9.986E-01,0.7,True,False
proteina-82d23cc4cc45ff6bf270,reference1::foldbench_all__8QVC_B,0.487,0.650,0.272,60,125,4.346E-04,0.65,True,True
proteina-3e1c591a21cfd5919a8a,reference1::foldbench_all__8G1Y_A,0.333,0.500,0.052,60,497,7.227E-01,0.5,True,False
proteina-3e1c591a21cfd5919a8a,reference0::cameo_hard__9dl1_D,0.305,0.583,0.266,60,124,2.533E+01,0.583,True,False
proteina-049ca75d2885de43fbdd,reference1::foldbench_all__8TUK_A,0.352,0.833,0.158,60,322,5.031E+00,0.833,True,False
proteina-049ca75d2885de43fbdd,reference1::foldbench_all__8FF8_A,0.325,0.650,0.091,60,441,4.830E+01,0.65,True,False
proteina-049ca75d2885de43fbdd,reference1::foldbench_all__8DJE_A,0.325,0.650,0.091,60,441,4.830E+01,0.65,True,False
proteina-a09b6e52dfd6db427fac,reference1::foldbench_all__8FG6_B,0.488,0.683,0.283,60,152,5.707E-03,0.683,True,False
proteina-bded4e66ab4a23ea3fd0,reference0::denovo_pdb__9xzo_A,0.500,0.567,0.250,60,120,1.984E-01,0.567,True,False
proteina-376b8e28cabb532e8cf6,reference1::foldbench_all__8TAC_A,0.551,0.817,0.700,60,70,3.511E-11,0.817,True,True
proteina-a584285aefb3da56b698,reference0::denovo_pdb__9v3a_A,0.418,0.683,0.358,60,120,1.834E+01,0.683,True,False
proteina-4e2c1ad52f4f62c1c4e5,reference1::foldbench_all__8CBA_A,0.300,0.700,0.234,60,214,9.607E+00,0.7,True,False
proteina-4e2c1ad52f4f62c1c4e5,reference0::foldbench100__8cba_A,0.300,0.700,0.234,60,214,9.607E+00,0.7,True,False
proteina-939b09ed95e72626f875,reference1::foldbench_all__8ARE_A,0.382,0.550,0.065,60,525,2.533E+01,0.55,True,False
proteina-939b09ed95e72626f875,reference1::foldbench_all__8ARN_A,0.382,0.550,0.065,60,525,2.533E+01,0.55,True,False
proteina-a98b97dfca62d0dc1bdf,reference1::foldbench_all__8GJI_A,0.409,0.900,0.333,60,174,6.666E+01,0.9,True,False
proteina-0afc33cc7bc469d51088,reference1::foldbench_all__8A2G_A,0.333,0.500,0.144,60,146,2.188E+03,0.5,True,False
proteina-0afc33cc7bc469d51088,reference1::foldbench_all__8A2G_B,0.333,0.500,0.144,60,146,2.188E+03,0.5,True,False
proteina-023db65b8b2292a62333,reference1::foldbench_all__8XF7_A,0.387,0.517,0.110,60,283,9.986E-01,0.517,True,False
proteina-023db65b8b2292a62333,reference1::foldbench_all__8XF9_A,0.387,0.517,0.110,60,283,9.986E-01,0.517,True,False
proteina-023db65b8b2292a62333,reference1::foldbench_all__8XFA_A,0.387,0.517,0.110,60,283,9.986E-01,0.517,True,False
proteina-023db65b8b2292a62333,reference0::cameo_hard__9isp_A,0.354,0.750,0.282,60,156,9.607E+00,0.75,True,False
proteina-5efcd9c71b5b810f1e6a,reference1::foldbench_all__8TAC_A,0.510,0.817,0.686,60,70,7.529E-08,0.817,True,True
proteina-5efcd9c71b5b810f1e6a,reference1::foldbench_all__8BNY_A,0.382,0.783,0.292,60,161,2.284E-04,0.783,True,True
proteina-5efcd9c71b5b810f1e6a,reference1::foldbench_all__8BNY_B,0.382,0.783,0.292,60,161,2.284E-04,0.783,True,True
proteina-5efcd9c71b5b810f1e6a,reference1::foldbench_all__8DWD_A,0.358,0.600,0.107,60,365,9.197E+01,0.6,True,False
proteina-5efcd9c71b5b810f1e6a,reference1::foldbench_all__8DWE_A,0.358,0.600,0.107,60,365,9.197E+01,0.6,True,False
proteina-f92da6dba10d4442d899,reference0::denovo_pdb__9kgz_A,0.425,0.617,0.320,60,125,7.227E-01,0.617,True,False
proteina-f92da6dba10d4442d899,reference0::foldbench100__7znz_A,0.300,0.500,0.039,60,761,7.227E-01,0.5,True,False
proteina-f92da6dba10d4442d899,reference1::foldbench_all__7ZNZ_A,0.300,0.500,0.039,60,761,7.227E-01,0.5,True,False
proteina-a937fca86ade8074e76d,reference0::denovo_pdb__9hnh_A,0.323,0.900,0.430,60,151,1.087E-02,0.9,True,False
proteina-a937fca86ade8074e76d,reference0::denovo_pdb__9lni_A,0.405,0.617,0.160,60,212,2.635E+00,0.617,True,False
proteina-a937fca86ade8074e76d,reference0::denovo_pdb__9d01_A,0.387,0.817,0.125,60,369,1.834E+01,0.817,True,False
proteina-44c4c429493853996b33,reference1::foldbench_all__8TAC_A,0.479,0.783,0.686,60,70,1.428E-07,0.783,True,True
proteina-db8999c6c07e9b217ba3,reference1::foldbench_all__8FG6_B,0.395,0.683,0.270,60,152,2.533E+01,0.683,True,False
proteina-ba2f06df41ceced574f6,reference1::foldbench_all__8Q9N_E,0.400,0.250,0.789,60,19,4.060E+03,0.789,True,False
proteina-8ac839094b34124aadc6,reference1::foldbench_all__8EUD_A,0.433,0.500,0.037,60,819,3.949E-02,0.5,True,False
proteina-8ac839094b34124aadc6,reference1::foldbench_all__8EUT_A,0.433,0.500,0.037,60,819,3.949E-02,0.5,True,False
proteina-8ac839094b34124aadc6,reference1::foldbench_all__8EHP_A,0.433,0.500,0.037,60,819,3.949E-02,0.5,True,False
proteina-8ac839094b34124aadc6,reference1::foldbench_all__8E4Z_A,0.433,0.500,0.037,60,819,3.949E-02,0.5,True,False
proteina-952dd43b98507da87b0f,reference1::foldbench_all__8SBQ_A,0.378,0.617,0.133,60,279,5.031E+00,0.617,True,False
proteina-952dd43b98507da87b0f,reference1::foldbench_all__8SBQ_B,0.378,0.617,0.133,60,279,5.031E+00,0.617,True,False
proteina-8ee53c69bea426f822e7,reference1::foldbench_all__8XW7_A,0.441,0.567,0.065,60,521,5.453E-02,0.567,True,False
proteina-8ee53c69bea426f822e7,reference1::foldbench_all__8XW8_A,0.441,0.567,0.065,60,521,5.453E-02,0.567,True,False
proteina-8ee53c69bea426f822e7,reference1::foldbench_all__8ZLY_A,0.441,0.567,0.065,60,521,5.453E-02,0.567,True,False
proteina-8ee53c69bea426f822e7,reference1::foldbench_all__8IAU_A,0.441,0.567,0.065,60,521,5.453E-02,0.567,True,False
proteina-8ee53c69bea426f822e7,reference0::denovo_pdb__8d03_A,0.416,0.567,0.538,60,65,4.830E+01,0.567,True,False
proteina-8ee53c69bea426f822e7,reference1::foldbench_all__8EYM_B,0.309,0.650,0.126,60,333,2.407E+02,0.65,True,False
proteina-8ee53c69bea426f822e7,reference1::foldbench_all__8GL9_B,0.333,0.583,0.130,60,261,8.569E+02,0.583,True,False
proteina-1baa26b05dc615d3d138,reference0::denovo_pdb__9kgz_A,0.457,0.567,0.280,60,125,1.040E-01,0.567,True,False
proteina-852c4fd43d6737deb3ef,reference0::denovo_pdb__9v3a_A,0.500,0.533,0.250,60,120,6.666E+01,0.533,True,False
proteina-797549a6c6cee7e6f28c,reference1::foldbench_all__8TAC_A,0.476,0.700,0.600,60,70,4.346E-04,0.7,True,True
proteina-04aa9e96f20e99c7d493,reference0::denovo_pdb__9r2k_A,0.442,0.850,0.260,60,177,5.231E-01,0.85,True,False
proteina-04aa9e96f20e99c7d493,reference1::foldbench_all__8T8K_A,0.311,0.933,0.277,60,184,3.312E+02,0.933,True,False
proteina-c185c16174b75029f0b7,reference0::denovo_pdb__5cwb_A,0.419,0.517,0.157,60,197,2.635E+00,0.517,True,False
proteina-c185c16174b75029f0b7,reference0::denovo_pdb__8r8o_A,0.432,0.500,0.141,60,262,4.830E+01,0.5,True,False
proteina-f663703f99e72590d204,reference1::foldbench_all__8TAC_A,0.514,0.583,0.486,60,70,5.453E-02,0.583,True,False
proteina-84ec1a186c3e8404ea8d,reference0::foldbench100__8dhj_A,0.451,0.517,0.108,60,249,1.380E+00,0.517,True,False
proteina-84ec1a186c3e8404ea8d,reference1::foldbench_all__8DHJ_A,0.451,0.517,0.108,60,249,1.380E+00,0.517,True,False
proteina-ce81f330ca0ba86b64f8,reference1::foldbench_all__8TAC_A,0.508,0.883,0.843,60,70,3.073E-09,0.883,True,True
proteina-ce81f330ca0ba86b64f8,reference1::foldbench_all__8A0W_A,0.393,0.550,0.320,60,103,1.907E+00,0.55,True,False
proteina-a46c8861e0858d4aa07e,reference0::denovo_pdb__7uek_A,0.384,0.650,0.149,60,228,2.533E+01,0.65,True,False
proteina-eabc38aa8dc647eb8699,reference1::foldbench_all__8TAC_A,0.522,0.733,0.629,60,70,1.037E-07,0.733,True,True
proteina-eabc38aa8dc647eb8699,reference1::foldbench_all__7XI5_A,0.406,0.533,0.492,60,65,5.231E-01,0.533,True,False
proteina-eabc38aa8dc647eb8699,reference0::foldbench100__7xi5_A,0.406,0.533,0.492,60,65,5.231E-01,0.533,True,False
proteina-efd56b451c6734f2cbe2,reference1::foldbench_all__8A8O_C,0.344,0.983,0.587,60,104,2.232E-09,0.983,True,True
proteina-efd56b451c6734f2cbe2,reference1::foldbench_all__9BT4_F,0.420,0.817,0.588,60,85,8.019E-09,0.817,True,True
proteina-efd56b451c6734f2cbe2,reference1::foldbench_all__9BT4_H,0.420,0.817,0.588,60,85,8.019E-09,0.817,True,True
proteina-efd56b451c6734f2cbe2,reference1::foldbench_all__8RJA_K,0.359,0.883,0.178,60,359,5.467E-08,0.883,True,True
proteina-efd56b451c6734f2cbe2,reference1::foldbench_all__8RJA_L,0.338,0.867,0.788,60,85,1.428E-07,0.867,True,True
proteina-7e286ca0d47f743c4117,reference0::denovo_pdb__8kdq_A,0.446,0.700,0.197,60,233,5.031E+00,0.7,True,False
proteina-7e286ca0d47f743c4117,reference0::denovo_pdb__8k7o_A,0.446,0.700,0.197,60,233,5.031E+00,0.7,True,False
proteina-7e286ca0d47f743c4117,reference1::foldbench_all__8K7O_A,0.446,0.700,0.197,60,233,5.031E+00,0.7,True,False
proteina-ad1b9d9ce87717e6b322,reference0::denovo_pdb__9lni_A,0.377,0.750,0.184,60,212,3.786E-01,0.75,True,False
