stem,length,fine_cluster,contacts_emitted,num_tokens,truncated,document_sha256,source_parquet
proteina-002daeaf746b76ce8ff3,500,proteina-002daeaf746b76ce8ff3,492,2484,False,17098f4bbeac258c2798eb9f4141badc5fa6590166dc5328c45c4724bfa453cc,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l500-v1/documents-provisional/e6cff9903c1746c4684a.parquet
proteina-00901e3f8440b54804bb,400,proteina-00901e3f8440b54804bb,352,1864,False,e898067da56f03d96c89f3513f4b57099b9e2a3c219448ba8419ee37b1c947e4,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l400-v1/documents-provisional/0438d716ebcae47d2a1f.parquet
proteina-00b4bb872d2b195e8f4c,400,proteina-00b4bb872d2b195e8f4c,452,2164,False,335cf813db929f197a10fd8ab8d220171522522052674734b109cfa618971914,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l400-v1/documents-provisional/f499a41f3fc4fd6583bd.parquet
proteina-00eeb72d301857153cdf,300,proteina-00eeb72d301857153cdf,314,1550,False,813b0ff4b0610cd3704d0b53303bb3fdbdfc0157a881eb480e6560db671d9d78,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l300-cis-v2/documents-provisional/057779c023101b985116.parquet
proteina-010e8a98a203ff0030c4,60,proteina-010e8a98a203ff0030c4,42,254,False,325a7a96cb86d14616b4629c886591c645ce545618c35d18be5efefe87acf0f4,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l60-cis-v2/documents-provisional/98f91b68a0eb17e9ebf0.parquet
proteina-011a5ea09a27b7dd7720,60,proteina-011a5ea09a27b7dd7720,46,266,False,993da5c1836493ea6fc2d6c41e318ff063ae9e09eebafc7759351e83296d3f15,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l60-cis-v2/documents-provisional/1f51c6e45e0ad889d606.parquet
proteina-01423932f5c51c2409c4,400,proteina-01423932f5c51c2409c4,448,2152,False,3b80fb89447e5e92f88c76a3f4635e09a91a4159d1feee3dfbf2d6e785090a6e,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l400-v1/documents-provisional/c3093e9ef71cf9800833.parquet
proteina-014823502077c2722a16,300,proteina-014823502077c2722a16,337,1619,False,efc1821425572ac0bb53ebfbcfbccb2ff0d6cd376ea6310f4158003819d2ba17,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l300-cis-v2/documents-provisional/87a83fe00de3505d1293.parquet
proteina-028058dc1730e8a6623a,200,proteina-028058dc1730e8a6623a,214,1050,False,e8017cc9957791350d5e05d62f58d6ec6a0555f78a3c86139797ec3efc1e40ab,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l200-cis-v2/documents-provisional/939f6ee146f3d9569cf7.parquet
proteina-037047723fe6caa0f57f,60,proteina-037047723fe6caa0f57f,69,335,False,da67053d5f9071ea1786b114960cbc20aaf7fab0176634157b73b6e3b1140ed5,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l60-cis-v2/documents-provisional/6732899e8165c8b123c0.parquet
proteina-04fa9b5a285c064f7097,200,proteina-04fa9b5a285c064f7097,189,975,False,2342ee40ac6a15c32c809a31c8c10dd76d2aaa01e81291f0f337ebca9c87313d,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l200-cis-v2/documents-provisional/200e73b1e699dba10fb9.parquet
proteina-05e1d3d5bf4adb5fadee,100,proteina-05e1d3d5bf4adb5fadee,73,427,False,cc181f27d29aac3fea657abbeacf5e400dd458c98f5b6609ed94da78ce189a91,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l100-cis-v2/documents-provisional/947fb8c94a3ad7f02463.parquet
proteina-06328b044a8b92245cf1,200,proteina-06328b044a8b92245cf1,199,1005,False,36b684a48364719b502f4df39a895472a8ce5b97df6e551acf3b16cb452db20e,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l200-cis-v2/documents-provisional/9f9af92f298c2cb26872.parquet
proteina-0641665dd2d1a5180fb6,100,proteina-0641665dd2d1a5180fb6,87,469,False,260e10214eb9f376d5d468d2e3d11d303d372cc2701fcef0b544b6c7bbfcd8cc,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l100-cis-v2/documents-provisional/947fb8c94a3ad7f02463.parquet
proteina-074a75a46d3c39adb1df,200,proteina-074a75a46d3c39adb1df,200,1008,False,59905c1fb1bf3d93fded1a85c41ca3db8a86c0ef49d79aaefb45acd8084870a7,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l200-cis-v2/documents-provisional/939f6ee146f3d9569cf7.parquet
proteina-07892e951ee9425b73e6,100,proteina-07892e951ee9425b73e6,77,439,False,cdd3575cf26b0f1ecac1a6948a26e7da3a6da7211a9d28e7d153cc1b6365aca4,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l100-cis-v2/documents-provisional/2085eadd669c0cad8edd.parquet
proteina-0ad4e06eb8708b60b6bb,60,proteina-0ad4e06eb8708b60b6bb,50,278,False,c64633b7676efbc012d3bc3711191be1410e3555346cb10c4c67188ea9e1c62b,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l60-cis-v2/documents-provisional/6732899e8165c8b123c0.parquet
proteina-0b2763b0c2c9d02afa7f,200,proteina-0b2763b0c2c9d02afa7f,153,867,False,71d50eeb39cce06a46988f5df8623c6fd6146679b22461ec6a54d8cc1a630715,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l200-cis-v2/documents-provisional/61b17ab70a69b214148b.parquet
proteina-0cbb70109235edc57627,100,proteina-0cbb70109235edc57627,91,481,False,e65ebc17d4817b268e207da44147a6b7f26ac61fc7cd9a276d64c981a5338fd2,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l100-cis-v2/documents-provisional/96469653a4df51ca0ade.parquet
proteina-0d41be658271f4f5e796,60,proteina-0d41be658271f4f5e796,39,245,False,b519ab430026ee278a5d7f0f3376cf045548e04d13a718a44c6702c517a9c8db,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l60-cis-v2/documents-provisional/1f51c6e45e0ad889d606.parquet
proteina-0e32c0fcff99b8649a28,60,proteina-0e32c0fcff99b8649a28,63,317,False,6e4c59b08e9cf1b5c60b636be7688a0eb0c4d361ce0f936737e95fc7e774f808,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l60-cis-v2/documents-provisional/a919b4c557ee7a7ccd74.parquet
proteina-0e49a7a55af103e5ea23,200,proteina-0e49a7a55af103e5ea23,215,1053,False,ad1a24663f7f22ababffcbeead3729e307c4818db600171901efdf111fdce00f,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l200-cis-v2/documents-provisional/200e73b1e699dba10fb9.parquet
proteina-0e98cf5af023d4cf1be8,400,proteina-0e98cf5af023d4cf1be8,425,2083,False,5b1542cd33b3776403766652d8b044eafaa9a3b7b6b662be135376bbf2433fbd,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l400-v1/documents-provisional/7768f5b26cab817b50ba.parquet
proteina-0ef9ffa8398e67ad1e76,200,proteina-0ef9ffa8398e67ad1e76,208,1032,False,0a6f929f99d9081f1ab69557479d25bd58adea49aede098a4740a1f1a2d552e6,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l200-cis-v2/documents-provisional/a813c3e6f004e266b7f5.parquet
proteina-0f13300cd3ff5a55ee6d,500,proteina-0f13300cd3ff5a55ee6d,576,2736,False,2b91a0309d9e854d76f529db2684537fbd27a6f42fc170740cd70cc01361daf3,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l500-v1/documents-provisional/2f61e7f0fa342d2fedeb.parquet
proteina-0f89d0912645abf27be7,60,proteina-0f89d0912645abf27be7,58,302,False,fa592e53e2140b5723ffb52d0d26cb00c7cf58664f934addef99bf6b69edeeb6,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l60-cis-v2/documents-provisional/6732899e8165c8b123c0.parquet
proteina-0fca5c911f842dff4c09,60,proteina-0fca5c911f842dff4c09,62,314,False,d37af9a489228b18f26cebf4920d9134eb4e9b1b2f4cab01896529cdbeac4a69,s3://marin-us-east-02a/MarinFold/exp278-proteina/fold-l60-cis-v2/documents-provisional/a919b4c557ee7a7ccd74.parquet
