mode,split,stem,n_contacts,n_true,mean_true_log_ratio,mean_false_log_ratio,true_false_log_ratio_delta,log_ratio_auc
full_g05_pa_all,test,7yhr_A,4069,1436,5.749716433014171,5.441395141249413,0.30832129176475753,0.5412488746327679
full_g05_pa_all,test,7xi5_A,4242,3193,6.075500084415681,5.850500764110409,0.2249993203052716,0.5335121483870371
full_g05_pa_all,test,8b6e_A,3862,3028,6.069471358987189,5.642360699870032,0.4271106591171572,0.5653009956631789
full_g05_pa_all,test,8b2g_A,6169,3254,5.744488680021999,5.377068638474413,0.3674200415475859,0.5542593309092595
full_g05_pa_all,test,7pv5_A,6820,4383,5.836127024875733,5.516427641154363,0.3196993837213702,0.5512200634169528
full_g05_pa_all,test,8eb9_A,5808,586,5.474014828496521,5.169380962460583,0.304633866035938,0.5465446790488652
full_g05_pa_all,test,7y8i_A,9307,6519,5.945988483841268,5.903221694471974,0.04276678936929379,0.5232556891972103
full_g05_pa_all,test,7y54_A,9317,6929,5.770742400609702,5.709561267795924,0.06118113281377813,0.5394030393947898
full_g05_pa_all,test,7y8h_A,8309,6063,5.909047273754012,5.563308586307593,0.3457386874464188,0.5546329068673261
full_g05_pa_all,test,7y5j_A,9357,6335,5.747540899229125,5.503924051212167,0.24361684801695738,0.5340715050952316
full_g05_pa_all,test,7y5r_A,9010,6784,5.773678739316858,5.8148108027065435,-0.04113206338968567,0.5036563358210853
full_g05_pa_all,test,7yug_A,6458,1358,5.564124843322388,5.13615177985646,0.4279730634659282,0.5664713101735539
full_g05_pa_all,test,8bgb_A,10364,7455,6.252855583909452,6.052045274099438,0.2008103098100138,0.5244774479350032
full_g05_pa_all,test,7zu3_A,11067,2699,6.11871602913077,6.170678553630885,-0.05196252450011496,0.5073656759425805
full_g05_pa_all,test,7tlh_A,10889,3449,6.00307361457565,5.9011406410926135,0.1019329734830361,0.515910954398501
full_g05_pa_all,test,7zv1_A,9281,4374,5.964424491441367,5.6522809471900874,0.31214354425127944,0.5538628923211795
full_g05_pa_all,test,8dp9_A,14122,9664,6.8117150894716225,7.245155014903249,-0.43343992543162635,0.4963342210335464
full_g05_pa_all,test,7zoi_A,13788,6645,6.123607353187755,6.125427196657902,-0.0018198434701464095,0.5124037203228847
full_g05_pa_all,test,8dx0_A,13514,9779,6.453593658138021,6.607384806632038,-0.1537911484940171,0.4935737906803271
full_g05_pa_all,test,7urp_A,13032,4418,6.440837096266074,6.264876582196822,0.17596051406925195,0.5530176564139169
full_g05_pa_all,test,7wz5_A,9948,376,6.126028821863075,5.586375817286012,0.5396530045770636,0.619897017897947
full_g05_pa_all,test,8axj_A,12733,9996,6.022818051628163,5.789726604841946,0.23309144678621685,0.5537983187429155
full_g05_pa_all,test,7y5m_A,11500,6738,6.056973558504208,5.662067470046488,0.39490608845772,0.5618817543506655
full_g05_pa_all,test,8dez_A,14501,4350,7.060482935446433,7.010466918303026,0.05001601714340698,0.5395807445503926
full_g05_pa_all,test,8bsb_A,11146,4283,6.447262473487472,6.547998155304234,-0.1007356818167624,0.5099231213038451
full_g05_pa_all,test,7xcd_A,14165,1149,6.360530643831709,6.585033315880145,-0.22450267204843666,0.4885048087030062
full_g05_pa_all,test,7uvg_A,17065,3409,8.150862464755031,8.630653269113465,-0.4797908043584336,0.5296199706899429
full_g05_pa_all,test,8bau_A,19728,11333,9.824420542345681,10.256273580918077,-0.4318530385723953,0.5383245952947395
full_g05_pa_all,test,7ur2_A,15255,5275,6.36319888049816,6.295248143190522,0.06795073730763868,0.537446124476441
full_g05_pa_all,test,8cpn_A,20524,5226,9.661217927716036,9.782318307049081,-0.12110037933304518,0.5148101723149091
full_g05_pa_all,test,8baq_A,18289,6855,7.483844823002772,7.5358853225200555,-0.0520404995172834,0.5435365839811064
full_g05_pa_all,test,7uba_A,16047,3137,6.775821595201266,7.297084916960722,-0.5212633217594567,0.526114573639085
full_g05_pa_all,test,8b6a_A,18121,9577,7.370014650668022,7.85043742154526,-0.4804227708772384,0.4920778800469602
full_g05_pa_all,test,8cba_A,18204,2247,8.76306701877619,9.315115639306532,-0.552048620530341,0.5152069372910547
full_g05_pa_all,test,8cih_A,12444,1911,5.883900251760026,6.431920297613279,-0.5480200458532529,0.49954244125623876
full_g05_pa_all,test,8adc_A,21618,4344,9.369417129797966,9.821889980469807,-0.45247285067184073,0.49758657770511083
full_g05_pa_all,test,7tjb_A,20830,13179,9.194021459445,9.15971860026549,0.03430285917951004,0.5284617923249748
