mode,split,stem,n_contacts,n_true,mean_true_log_ratio,mean_false_log_ratio,true_false_log_ratio_delta,log_ratio_auc
full_iid_single,test,7yhr_A,8228,2549,0.0,0.0,0.0,0.5
full_iid_single,test,7xi5_A,8621,6068,0.0,0.0,0.0,0.5
full_iid_single,test,8b6e_A,7930,5966,0.0,0.0,0.0,0.5
full_iid_single,test,8b2g_A,12624,5989,0.0,0.0,0.0,0.5
full_iid_single,test,7pv5_A,14011,8607,0.0,0.0,0.0,0.5
full_iid_single,test,8eb9_A,10828,843,0.0,0.0,0.0,0.5
full_iid_single,test,7y8i_A,19125,13002,0.0,0.0,0.0,0.5
full_iid_single,test,7y54_A,19008,13557,0.0,0.0,0.0,0.5
full_iid_single,test,7y8h_A,17362,11874,0.0,0.0,0.0,0.5
full_iid_single,test,7y5j_A,19095,12251,0.0,0.0,0.0,0.5
full_iid_single,test,7y5r_A,18661,13551,0.0,0.0,0.0,0.5
full_iid_single,test,7yug_A,15028,2257,0.0,0.0,0.0,0.5
full_iid_single,test,8bgb_A,21258,14444,0.0,0.0,0.0,0.5
full_iid_single,test,7zu3_A,22837,4209,0.0,0.0,0.0,0.5
full_iid_single,test,7tlh_A,22865,6232,0.0,0.0,0.0,0.5
full_iid_single,test,7zv1_A,19541,8318,0.0,0.0,0.0,0.5
full_iid_single,test,8dp9_A,29691,19106,0.0,0.0,0.0,0.5
full_iid_single,test,7zoi_A,28172,13091,0.0,0.0,0.0,0.5
full_iid_single,test,8dx0_A,28054,19583,0.0,0.0,0.0,0.5
full_iid_single,test,7urp_A,27464,8364,0.0,0.0,0.0,0.5
full_iid_single,test,7wz5_A,23500,733,0.0,0.0,0.0,0.5
full_iid_single,test,8axj_A,26862,19903,0.0,0.0,0.0,0.5
full_iid_single,test,7y5m_A,24507,13079,0.0,0.0,0.0,0.5
full_iid_single,test,8dez_A,30911,7013,0.0,0.0,0.0,0.5
full_iid_single,test,8bsb_A,23902,6689,0.0,0.0,0.0,0.5
full_iid_single,test,7xcd_A,30334,2213,0.0,0.0,0.0,0.5
full_iid_single,test,7uvg_A,35295,6084,0.0,0.0,0.0,0.5
full_iid_single,test,8bau_A,42099,21773,0.0,0.0,0.0,0.5
full_iid_single,test,7ur2_A,33152,10233,0.0,0.0,0.0,0.5
full_iid_single,test,8cpn_A,43063,9648,0.0,0.0,0.0,0.5
full_iid_single,test,8baq_A,40711,13066,0.0,0.0,0.0,0.5
full_iid_single,test,7uba_A,37354,5522,0.0,0.0,0.0,0.5
full_iid_single,test,8b6a_A,37488,18382,0.0,0.0,0.0,0.5
full_iid_single,test,8cba_A,41379,3533,0.0,0.0,0.0,0.5
full_iid_single,test,8cih_A,29925,2732,0.0,0.0,0.0,0.5
full_iid_single,test,8adc_A,46608,7328,0.0,0.0,0.0,0.5
full_iid_single,test,7tjb_A,42953,25285,0.0,0.0,0.0,0.5
full_iid_single,test,8ycm_A,38197,8510,0.0,0.0,0.0,0.5
full_iid_single,test,8b61_A,49333,14234,0.0,0.0,0.0,0.5
full_iid_single,test,7qp5_A,53147,16941,0.0,0.0,0.0,0.5
full_iid_single,test,8b2s_A,37666,19414,0.0,0.0,0.0,0.5
full_iid_single,test,8arl_A,52237,1530,0.0,0.0,0.0,0.5
full_iid_single,test,8dhj_A,56708,36833,0.0,0.0,0.0,0.5
full_iid_single,test,8b4u_A,54388,39945,0.0,0.0,0.0,0.5
full_iid_single,test,8q8i_A,70207,28885,0.0,0.0,0.0,0.5
full_iid_single,test,7z65_A,62327,30533,0.0,0.0,0.0,0.5
full_iid_single,test,7xg9_A,54391,13454,0.0,0.0,0.0,0.5
full_iid_single,test,7x3h_A,64017,31880,0.0,0.0,0.0,0.5
full_iid_single,test,8eo5_A,53109,37577,0.0,0.0,0.0,0.5
full_iid_single,test,7w15_A,63279,32661,0.0,0.0,0.0,0.5
full_iid_single,test,8daj_A,61603,33796,0.0,0.0,0.0,0.5
full_iid_single,test,7x4p_A,68493,27193,0.0,0.0,0.0,0.5
full_iid_single,test,8ci9_A,68269,28087,0.0,0.0,0.0,0.5
full_iid_single,test,8c4y_A,72852,44470,0.0,0.0,0.0,0.5
full_iid_single,test,8au6_A,41491,17052,0.0,0.0,0.0,0.5
full_iid_single,test,7xz3_A,75020,14701,0.0,0.0,0.0,0.5
full_iid_single,test,8d2z_A,63990,35375,0.0,0.0,0.0,0.5
full_iid_single,test,7v3o_A,65399,14988,0.0,0.0,0.0,0.5
full_iid_single,test,7ylr_A,70792,45190,0.0,0.0,0.0,0.5
full_iid_single,test,8bux_A,45557,1669,0.0,0.0,0.0,0.5
full_iid_single,test,7xjr_A,70802,34752,0.0,0.0,0.0,0.5
full_iid_single,test,7y4h_A,73321,30443,0.0,0.0,0.0,0.5
full_iid_single,test,7yyg_A,58852,3290,0.0,0.0,0.0,0.5
full_iid_single,test,8e5h_A,71326,33768,0.0,0.0,0.0,0.5
full_iid_single,test,7qsj_A,73486,37822,0.0,0.0,0.0,0.5
full_iid_single,test,8dqd_A,79147,51570,0.0,0.0,0.0,0.5
full_iid_single,test,8cpk_A,74934,44762,0.0,0.0,0.0,0.5
full_iid_single,test,7uk8_A,100623,40284,0.0,0.0,0.0,0.5
full_iid_single,test,7xrx_A,80127,21967,0.0,0.0,0.0,0.5
full_iid_single,test,8amo_A,76117,41501,0.0,0.0,0.0,0.5
full_iid_single,test,8bfy_A,76703,39186,0.0,0.0,0.0,0.5
full_iid_single,test,8b5w_A,90360,4443,0.0,0.0,0.0,0.5
full_iid_single,test,8e0r_A,105938,5403,0.0,0.0,0.0,0.5
full_iid_single,test,8dmu_A,113644,5131,0.0,0.0,0.0,0.5
full_iid_single,test,7wzm_A,90166,57426,0.0,0.0,0.0,0.5
full_iid_single,test,7x8l_A,118591,56564,0.0,0.0,0.0,0.5
full_iid_single,test,8azb_A,124901,81635,0.0,0.0,0.0,0.5
full_iid_single,test,7xyr_A,144937,79630,0.0,0.0,0.0,0.5
full_iid_single,test,7uww_A,147207,37103,0.0,0.0,0.0,0.5
full_iid_single,test,8bke_A,137647,43844,0.0,0.0,0.0,0.5
full_iid_single,test,8dge_A,191052,78085,0.0,0.0,0.0,0.5
full_t11_single,test,7yhr_A,8632,2545,0.0,0.0,0.0,0.5
