mode,split,pair_id,N,oracle_fold1,oracle_fold2,oracle_dual,blind_fold1,blind_fold2,blind_dual,mean_pairwise_jaccard,unique_maps,mean_contacts,finished,malformed,invalid_rollouts
full_g05_pa_all,test,2lela_2k0qa,100,False,True,False,False,True,False,0.28025669417061216,100,63.17,100,0,0
full_g05_pa_all,test,1xnta_3lqca,100,True,False,False,True,False,False,0.355299386838281,100,142.4,100,0,0
full_g05_pa_all,test,1uxmk_2nama,100,True,False,False,True,False,False,0.41078930990079615,100,117.77,100,0,0
full_g05_pa_all,test,6c6sd_2ougc,100,True,False,False,True,False,False,0.550027310421482,100,128.61,100,2,2
full_g05_pa_all,test,1nrjb_2gedb,100,True,False,False,True,False,False,0.38964411186032555,100,165.22,100,0,0
full_g05_pa_all,test,2vfxl_3gmhl,100,False,False,False,False,False,False,0.09583960502048611,100,149.34,100,1,1
full_g05_pa_all,test,4pyia_4pyja,100,True,False,False,True,False,False,0.35994738881018395,100,192.7,100,0,0
full_g05_pa_all,test,4y0mj_4xwsd,100,True,True,True,True,True,True,0.5598268643636845,100,185.09,100,0,0
full_g05_pa_all,test,1repc_2z9ob,100,True,False,False,True,False,False,0.5615126096930136,100,259.91,100,1,1
full_g05_pa_all,test,2pbkb_3njqa,100,False,False,False,False,False,False,0.03790355503196738,100,154.86,100,0,0
full_g05_pa_all,test,1k0na_1rk4b,100,True,False,False,True,False,False,0.405911641225672,100,214.93,100,0,0
full_g05_pa_all,test,3tp2a_5lj3m,100,False,False,False,False,False,False,0.17720197678662045,100,169.09,100,1,1
full_g05_pa_all,test,3zxgb_5ec5p,100,False,True,False,False,False,False,0.1698252049357045,100,317.8,100,1,1
full_g05_pa_all,test,5c1va_5c1vb,100,True,False,False,True,False,False,0.42790400786579225,100,351.42,100,0,0
full_g05_pa_all,test,4aana_4aala,100,True,False,False,False,False,False,0.3324337540786162,100,266.23,100,1,1
full_g05_pa_all,test,5hmga_3ztje,100,False,False,False,False,False,False,0.033366409596892736,100,293.19,100,8,3
full_g05_pa_all,test,2c1vb_2c1uc,100,True,True,True,True,False,False,0.3367742036392726,100,281.33,100,0,0
full_g05_pa_all,test,3j7wb_3j7vg,100,True,True,True,True,True,True,0.3042937524568681,100,272.32,100,0,0
full_g05_pa_all,test,1kcta_3t1pa,100,True,True,True,True,False,False,0.5328360737034782,100,393.82,100,0,0
full_g05_pa_all,test,1qs8b_1miqb,100,True,False,False,True,False,False,0.27805188918814655,100,457.04,100,6,3
full_g05_pa_all,test,5i2ma_5i2sa,100,False,False,False,False,False,False,0.04147308102087296,100,360.87,100,6,4
full_g05_pa_all,test,3g0ha_3ewsb,100,True,True,True,True,True,True,0.48437386490934703,100,418.6,100,1,1
full_g05_pa_all,test,1qomb_1noca,100,False,False,False,False,False,False,0.0374179307923897,100,403.81,100,1,1
full_g05_pa_all,test,5l35d_5l35g,100,True,False,False,True,False,False,0.3510816918446138,100,378.58,100,0,0
full_g05_pa_all,test,5jzha_5jztg,100,True,True,True,True,False,False,0.03730271389712756,100,460.91,100,2,2
full_g05_pa_all,test,4ydqb_4twaa,100,True,False,False,True,False,False,0.23303771944017548,100,485.97,100,0,0
full_g05_pa_all,test,4o0pa_4o01d,100,False,False,False,False,False,False,0.2429328569255678,100,342.32,100,0,0
full_g05_pa_all,test,3meea_4b3ob,100,False,False,False,False,False,False,0.391987634065607,100,562.99,100,2,2
full_g05_pa_all,test,2a73b_3l5nb,100,False,False,False,False,False,False,0.19814581533884806,100,992.58,100,13,10
full_g0_pa_pos,test,2lela_2k0qa,100,False,True,False,False,True,False,0.20725434066526033,100,67.7,100,0,0
full_g0_pa_pos,test,1xnta_3lqca,100,True,False,False,True,False,False,0.29393633951593967,100,148.74,100,0,0
full_g0_pa_pos,test,1uxmk_2nama,100,True,False,False,True,False,False,0.36089184190251933,100,124.47,100,0,0
full_g0_pa_pos,test,6c6sd_2ougc,100,True,False,False,True,False,False,0.49687866845715284,100,136.25,100,3,3
full_g0_pa_pos,test,1nrjb_2gedb,100,True,False,False,True,False,False,0.3355859319244726,100,178.02,100,0,0
full_g0_pa_pos,test,2vfxl_3gmhl,100,False,False,False,False,False,False,0.05931119402885841,100,179.96,100,1,1
full_g0_pa_pos,test,4pyia_4pyja,100,True,False,False,True,False,False,0.3157253200701546,100,200.44,100,0,0
full_g0_pa_pos,test,4y0mj_4xwsd,100,True,True,True,True,True,True,0.5180797368674285,100,197.84,100,0,0
full_g0_pa_pos,test,1repc_2z9ob,100,True,False,False,True,False,False,0.5119605235994947,100,263.36,100,0,0
full_g0_pa_pos,test,2pbkb_3njqa,100,False,False,False,False,False,False,0.02321816023646266,100,177.57,100,1,1
full_g0_pa_pos,test,1k0na_1rk4b,100,True,False,False,True,False,False,0.3455865979981457,100,224.91,100,0,0
full_g0_pa_pos,test,3tp2a_5lj3m,100,False,False,False,False,False,False,0.10989561019535657,100,207.63,100,1,1
full_g0_pa_pos,test,3zxgb_5ec5p,100,False,True,False,False,False,False,0.1360977885502479,100,337.36,100,3,2
full_g0_pa_pos,test,5c1va_5c1vb,100,True,False,False,True,False,False,0.377108563959957,100,369.76,100,0,0
full_g0_pa_pos,test,4aana_4aala,100,True,False,False,True,False,False,0.2512363832007403,100,288.85,100,0,0
full_g0_pa_pos,test,5hmga_3ztje,100,False,False,False,False,False,False,0.022038926652148343,100,340.76,100,1,1
full_g0_pa_pos,test,2c1vb_2c1uc,100,True,True,True,True,False,False,0.2751437665894181,100,301.3,100,0,0
full_g0_pa_pos,test,3j7wb_3j7vg,100,True,True,True,True,True,True,0.2678745169166375,100,290.16,100,0,0
full_g0_pa_pos,test,1kcta_3t1pa,100,True,True,True,True,False,False,0.4864366089134638,100,412.69,100,0,0
full_g0_pa_pos,test,1qs8b_1miqb,100,True,False,False,True,False,False,0.2316664826306268,100,482.84,100,4,1
full_g0_pa_pos,test,5i2ma_5i2sa,100,False,False,False,False,False,False,0.023465968442644203,100,463.72,100,2,2
full_g0_pa_pos,test,3g0ha_3ewsb,100,True,True,True,False,True,False,0.41293252404737363,100,444.33,100,0,0
full_g0_pa_pos,test,1qomb_1noca,100,False,False,False,False,False,False,0.022507054083241464,100,474.25,100,3,2
full_g0_pa_pos,test,5l35d_5l35g,100,True,False,False,True,False,False,0.3011851884239762,100,401.71,100,0,0
full_g0_pa_pos,test,5jzha_5jztg,100,True,True,True,False,True,False,0.023761196241350434,100,527.0,100,8,3
full_g0_pa_pos,test,4ydqb_4twaa,100,True,False,False,True,False,False,0.17407684520470582,100,547.06,100,1,1
full_g0_pa_pos,test,4o0pa_4o01d,100,False,False,False,False,False,False,0.19230962275388638,100,385.55,100,0,0
full_g0_pa_pos,test,3meea_4b3ob,100,False,False,False,False,False,False,0.33839688155207226,100,611.21,100,0,0
full_g0_pa_pos,test,2a73b_3l5nb,100,False,False,False,False,False,False,0.14199487367513583,100,1194.01,99,14,10
full_iid_single,test,2lela_2k0qa,100,False,True,False,False,True,False,0.20747825788889485,100,67.59,100,0,0
full_iid_single,test,1xnta_3lqca,100,True,False,False,True,False,False,0.29358620330988294,100,148.74,100,0,0
full_iid_single,test,1uxmk_2nama,100,True,False,False,True,False,False,0.35991141489416467,100,124.48,100,0,0
full_iid_single,test,6c6sd_2ougc,100,True,False,False,True,False,False,0.49664877887951625,100,136.24,100,3,3
full_iid_single,test,1nrjb_2gedb,100,True,False,False,True,False,False,0.33661481581994507,100,178.26,100,0,0
full_iid_single,test,2vfxl_3gmhl,100,False,False,False,False,False,False,0.05929052239181514,100,180.22,100,1,1
full_iid_single,test,4pyia_4pyja,100,True,False,False,True,False,False,0.3160305189140057,100,200.32,100,0,0
full_iid_single,test,4y0mj_4xwsd,100,True,True,True,True,True,True,0.5177302614678662,100,197.81,100,0,0
full_iid_single,test,1repc_2z9ob,100,True,False,False,True,False,False,0.5118561271345322,100,263.19,100,0,0
full_iid_single,test,2pbkb_3njqa,100,False,False,False,False,False,False,0.023244823940380376,100,177.39,100,1,1
full_iid_single,test,1k0na_1rk4b,100,True,False,False,True,False,False,0.3451793027493598,100,224.93,100,0,0
full_iid_single,test,3tp2a_5lj3m,100,False,False,False,False,False,False,0.10977505515121724,100,208.29,100,1,1
