mode,split,stem,L,range,N,consensus_r_precision,true_union_recall,mean_rollout_precision,mean_validity_gated_rollout_r_precision,oracle_r_precision,validity_gated_oracle_r_precision,mean_pairwise_jaccard,unique_maps,mean_contacts,finished,malformed,invalid_rollouts,union_recall_log_n_auc
full_g05_pa_all,test,7yhr_A,60,all,1,0.4878048780487805,0.4634146341463415,0.4634146341463415,0.4634146341463415,0.4634146341463415,0.4634146341463415,,1,32.0,1,0,0,0.7336684750545343
full_g05_pa_all,test,7yhr_A,60,all,2,0.4878048780487805,0.5853658536585366,0.4634146341463415,0.4634146341463415,0.4634146341463415,0.4634146341463415,0.3103448275862069,2,38.0,2,0,0,0.7336684750545343
full_g05_pa_all,test,7yhr_A,60,all,5,0.5365853658536586,0.6341463414634146,0.3853658536585366,0.3853658536585366,0.4634146341463415,0.4634146341463415,0.2534372105224666,5,40.4,5,0,0,0.7336684750545343
full_g05_pa_all,test,7yhr_A,60,all,10,0.5365853658536586,0.6829268292682927,0.3804878048780488,0.3804878048780488,0.4634146341463415,0.4634146341463415,0.3200743862086174,10,41.7,10,0,0,0.7336684750545343
full_g05_pa_all,test,7yhr_A,60,all,25,0.5365853658536586,0.8780487804878049,0.35512195121951223,0.35512195121951223,0.4634146341463415,0.4634146341463415,0.26826191370431457,25,39.36,25,0,0,0.7336684750545343
full_g05_pa_all,test,7yhr_A,60,all,50,0.4878048780487805,0.926829268292683,0.33560975609756094,0.33560975609756094,0.4878048780487805,0.4878048780487805,0.26125808703384706,50,38.92,50,0,0,0.7336684750545343
full_g05_pa_all,test,7yhr_A,60,all,100,0.4878048780487805,0.975609756097561,0.33975609756097563,0.3360975609756098,0.5365853658536586,0.5365853658536586,0.24599842895981433,100,39.09,100,1,1,0.7336684750545343
full_g05_pa_all,test,7yhr_A,60,long,1,0.34782608695652173,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.30434782608695654,,1,8.0,1,0,0,0.6425816296335617
full_g05_pa_all,test,7yhr_A,60,long,2,0.43478260869565216,0.43478260869565216,0.34782608695652173,0.34782608695652173,0.391304347826087,0.391304347826087,0.3,2,13.0,2,0,0,0.6425816296335617
full_g05_pa_all,test,7yhr_A,60,long,5,0.43478260869565216,0.4782608695652174,0.2608695652173913,0.2608695652173913,0.391304347826087,0.391304347826087,0.19327138478002182,5,16.6,5,0,0,0.6425816296335617
