n_rollouts,n_candidates,n_true,union,union_over_r,mean_pairs_per_rollout,mean_jaccard,vote_entropy,mean_vote_top_r,consensus_rprec,dataset,stem,L,tie_fraction,consensus_n100,frac_zero_marginal_g8,frac_zero_marginal_g16,frac_zero_marginal_g32,frac_zero_marginal_n100
100.0,561.0,14.0,227.0,16.214285714285715,14.3,0.09831422374733936,4.782557588756616,32.42857142857143,0.35714285714285715,cameo_hard,8jvx_B,39,0.0,0.35714285714285715,0.49,0.61,0.62,1.0
100.0,1596.0,13.0,448.0,34.46153846153846,18.34,0.2183689160770743,5.04505643877491,60.0,0.8461538461538461,cameo_hard,8raj_A,62,0.0,0.8461538461538461,0.53,0.76,0.96,1.0
100.0,378.0,7.0,105.0,15.0,4.25,0.05067247705272964,4.166501148941784,19.142857142857142,0.14285714285714285,cameo_hard,8xtn_A,33,0.0,0.14285714285714285,0.88,0.86,0.96,1.0
100.0,2701.0,59.0,229.0,3.8813559322033897,38.3,0.6415082339075846,4.1912233264010545,60.389830508474574,0.6949152542372882,cameo_hard,8yoz_A,79,0.05084745762711865,0.6949152542372882,0.47,0.68,0.93,0.79
100.0,2850.0,62.0,1308.0,21.096774193548388,50.19,0.054159162453276455,6.658270077453874,22.096774193548388,0.4838709677419355,cameo_hard,9de9_B,81,0.016129032258064516,0.4838709677419355,0.24,0.31,0.56,1.0
100.0,3003.0,57.0,607.0,10.649122807017545,56.52,0.21939596020005414,5.503614311604313,51.59649122807018,0.6491228070175439,cameo_hard,9deb_E,83,0.03508771929824561,0.6491228070175439,0.18,0.31,0.49,0.81
100.0,2211.0,33.0,881.0,26.696969696969695,30.77,0.05041261209632474,6.24949703777377,23.242424242424242,0.36363636363636365,cameo_hard,9eqn_A,72,0.030303030303030304,0.36363636363636365,0.41,0.64,0.8,1.0
100.0,435.0,15.0,303.0,20.2,17.52,0.06467811334059388,5.286049682261746,26.733333333333334,0.4666666666666667,cameo_hard,9j5h_A,35,0.0,0.4666666666666667,0.44,0.62,0.79,0.87
100.0,4005.0,87.0,1928.0,22.160919540229884,84.73,0.07154398895586495,6.959907714254686,28.942528735632184,0.19540229885057472,casp_fm,T1031-D1,95,0.022988505747126436,0.19540229885057472,0.27,0.34,0.46,0.92
100.0,4465.0,83.0,1887.0,22.734939759036145,63.64,0.03476913428379262,7.106732366652812,16.97590361445783,0.10843373493975904,casp_fm,T1033-D1,100,0.13253012048192772,0.10843373493975904,0.32,0.46,0.72,0.58
100.0,4656.0,70.0,1747.0,24.957142857142856,55.01,0.04015535777861832,6.9714711412128185,18.6,0.15714285714285714,casp_fm,T1035-D1,102,0.02857142857142857,0.15714285714285714,0.36,0.51,0.59,0.95
