pdb_id,chain_id,method,n_residues,mae_distogram_cb_angstrom,drmsd_distogram_cb_angstrom,n_mae_distogram_pairs,mae_distogram_cb_contact_angstrom,drmsd_distogram_cb_contact_angstrom,n_mae_distogram_contact_pairs,prec_short_L,prec_short_L_2,prec_short_L_5,prec_medium_L,prec_medium_L_2,prec_medium_L_5,prec_long_L,prec_long_L_2,prec_long_L_5,n_short_contacts,n_medium_contacts,n_long_contacts,lddt_distogram_cb,lddt_distogram_cb_soft
5sbj,A,marinfold_1b,30,2.0962,3.0459,300,2.3370,3.4889,101,0.4667,0.7333,1.0000,0.5333,0.8000,1.0000,0.7778,0.7778,1.0000,16,18,7,0.5518,0.5052
5sbj,A,protenix_single_seq,30,0.4802,0.7412,300,0.2710,0.3453,101,0.5333,0.9333,1.0000,0.6000,1.0000,1.0000,0.7778,0.7778,1.0000,16,18,7,0.9055,0.8792
5sbj,A,protenix_msa,30,0.4787,0.7369,300,0.2731,0.3452,101,0.5333,1.0000,1.0000,0.6000,1.0000,1.0000,0.7778,0.7778,1.0000,16,18,7,0.9055,0.8796
7pv5,A,marinfold_1b,81,3.2114,4.3311,2146,4.0260,5.6977,309,0.3333,0.4750,0.8125,0.3086,0.4500,0.6250,0.4074,0.4500,0.6250,28,30,78,0.3486,0.3755
7pv5,A,protenix_single_seq,81,0.6621,0.9858,2146,0.6005,1.0703,309,0.3457,0.7000,0.9375,0.3704,0.7250,0.9375,0.8642,1.0000,1.0000,28,30,78,0.8242,0.7703
7pv5,A,protenix_msa,81,0.4758,0.7380,2146,0.3554,0.5129,309,0.3457,0.7000,1.0000,0.3704,0.7500,1.0000,0.9012,1.0000,1.0000,28,30,78,0.8913,0.8633
7qp5,A,marinfold_1b,245,6.9305,8.5709,12815,6.4745,9.9865,1183,0.2082,0.3361,0.5510,0.1633,0.2377,0.3265,0.0408,0.0328,0.0000,69,72,308,0.2340,0.2502
7qp5,A,protenix_single_seq,245,3.0511,4.2095,12815,3.9948,6.3327,1183,0.2327,0.3443,0.5510,0.1837,0.2705,0.4490,0.1510,0.2049,0.3469,69,72,308,0.3218,0.3150
7qp5,A,protenix_msa,245,0.3580,0.6224,12815,0.3088,0.5222,1183,0.2816,0.5656,0.9796,0.2939,0.5902,1.0000,0.9878,1.0000,1.0000,69,72,308,0.9376,0.8962
7qsj,A,marinfold_1b,373,4.5600,6.2547,22300,4.8104,7.5569,1828,0.2681,0.3763,0.5811,0.2279,0.3172,0.4595,0.2949,0.4301,0.5946,124,117,552,0.3081,0.2979
