query,target,fident,qcov,tcov,qlen,tlen,evalue,shorter_coverage,identity_rule,evalue_rule
proteina-50a271d20d5ffeb8e54b,reference1::foldbench_all__8PFI_B,0.293,0.761,0.276,251,807,2.251E-06,0.761,False,True
proteina-50a271d20d5ffeb8e54b,reference1::foldbench_all__9C90_A,0.444,0.139,0.525,251,61,1.847E+01,0.525,True,False
proteina-cf981e8a2adbe60b8003,reference0::denovo_pdb__6rek_A,0.307,0.928,0.916,251,251,3.127E-23,0.928,True,True
proteina-cf981e8a2adbe60b8003,reference0::denovo_pdb__6rem_A,0.307,0.928,0.916,251,251,3.127E-23,0.928,True,True
proteina-cf981e8a2adbe60b8003,reference0::denovo_pdb__6rej_A,0.308,0.924,0.916,251,250,4.248E-23,0.916,True,True
proteina-cf981e8a2adbe60b8003,reference0::denovo_pdb__6reo_A,0.292,0.928,0.916,251,251,1.446E-22,0.928,False,True
proteina-cf981e8a2adbe60b8003,reference0::denovo_pdb__6rli_A,0.294,0.924,0.916,251,250,1.963E-22,0.916,False,True
proteina-cf981e8a2adbe60b8003,reference0::denovo_pdb__6rlh_A,0.295,0.900,0.891,251,248,2.666E-22,0.891,False,True
proteina-cf981e8a2adbe60b8003,reference0::denovo_pdb__3ww9_A,0.302,0.888,0.865,251,251,1.668E-21,0.888,True,True
proteina-cf981e8a2adbe60b8003,reference0::denovo_pdb__3wwa_A,0.302,0.888,0.865,251,251,1.668E-21,0.888,True,True
proteina-cf981e8a2adbe60b8003,reference0::denovo_pdb__6qsd_A,0.302,0.888,0.868,251,250,3.518E-20,0.868,True,True
proteina-cf981e8a2adbe60b8003,reference0::denovo_pdb__6qse_A,0.302,0.888,0.865,251,251,3.518E-20,0.888,True,True
proteina-cf981e8a2adbe60b8003,reference0::denovo_pdb__6qsg_A,0.302,0.888,0.865,251,251,3.518E-20,0.888,True,True
proteina-cf981e8a2adbe60b8003,reference0::denovo_pdb__6qsh_A,0.307,0.861,0.833,251,246,1.610E-19,0.833,True,True
proteina-cf981e8a2adbe60b8003,reference0::denovo_pdb__6f0s_A,0.298,0.888,0.865,251,251,4.006E-19,0.888,False,True
proteina-cf981e8a2adbe60b8003,reference0::denovo_pdb__6i37_A,0.296,0.892,0.869,251,251,5.427E-19,0.892,False,True
proteina-cf981e8a2adbe60b8003,reference0::denovo_pdb__7ax2_A,0.262,0.841,0.662,251,311,2.598E-11,0.841,False,True
proteina-cf981e8a2adbe60b8003,reference0::denovo_pdb__7ax0_A,0.266,0.809,0.571,251,317,2.598E-11,0.809,False,True
proteina-cf981e8a2adbe60b8003,reference0::denovo_pdb__7awz_A,0.258,0.841,0.668,251,313,6.294E-11,0.841,False,True
proteina-cf981e8a2adbe60b8003,reference0::denovo_pdb__5f53_A,0.369,0.251,0.774,251,84,1.688E-06,0.774,True,True
proteina-c2a2ed10240c6f5eb045,reference0::denovo_pdb__6nek_A,0.352,0.239,0.767,251,86,1.522E-01,0.767,True,False
proteina-aeae7a0caa78be19b380,reference1::foldbench_all__8VR7_A,0.256,0.534,0.747,251,182,5.324E-07,0.747,False,True
proteina-f96064f7e58225f9487a,reference0::denovo_pdb__9v3a_A,0.290,0.380,0.792,250,120,6.867E-04,0.792,False,True
proteina-f96064f7e58225f9487a,reference0::denovo_pdb__8eoz_B,0.314,0.436,0.502,250,227,2.851E-03,0.502,True,False
proteina-7ec48bae314bc390807b,reference1::foldbench_all__8A50_A,0.500,0.064,0.500,251,32,5.695E+01,0.5,True,False
proteina-7ec48bae314bc390807b,reference1::foldbench_all__8A51_A,0.500,0.064,0.500,251,32,5.695E+01,0.5,True,False
proteina-066a366f8f30de2a2e62,reference1::foldbench_all__8GAD_A,0.316,0.216,0.543,250,105,2.313E+02,0.543,True,False
proteina-066a366f8f30de2a2e62,reference1::foldbench_all__8GAD_B,0.316,0.216,0.543,250,105,2.313E+02,0.543,True,False
proteina-ac9a2671eea6f8135817,reference0::denovo_pdb__9v3a_A,0.317,0.340,0.542,250,120,1.095E+00,0.542,True,False
