entry_id,mat_R,vote_R,vote_AUC,single_f1,oracle_f1,union_rec
AF-A0A2S9J4D6-F1,0.3,0.1388888888888889,0.702563316993464,0.09607522669406972,0.21980939909791938,0.525
AF-A0A6I1PB34-F1,0.1343283582089552,0.06965174129353233,0.697047201041315,0.06091352116802903,0.12446394884618761,0.5024875621890547
AF-A0A523E731-F1,0.1195652173913043,0.14130434782608695,0.6918458209844481,0.08180257141235119,0.1979692584279372,0.44565217391304346
AF-A0A7Y7CI25-F1,0.2546125461254612,0.26404264042640424,0.7417574916559722,0.1439206288880857,0.23365739263042165,0.5227552275522755
AF-A0A7X9C4E0-F1,0.1325966850828729,0.1700429711479435,0.6680225484506427,0.06629049868957741,0.13889775488014378,0.36279926335174956
AF-A0A3R7PPC7-F1,0.5223214285714286,0.5855654761904762,0.8859347682341866,0.4525591025242604,0.5144779421292754,0.7782738095238094
AF-A0A523E9J2-F1,0.1052631578947368,0.1267056530214425,0.725473876839132,0.0771648300664225,0.18499477533960293,0.5964912280701755
AF-A0A5D0SK11-F1,0.13125,0.12291666666666667,0.6932274251132009,0.07233293760009023,0.15673536439665472,0.4895833333333333
AF-A0A399SLZ5-F1,0.2245989304812834,0.14973262032085563,0.6669195343700561,0.06372918257560783,0.12889556961504176,0.38324420677361853
AF-A0A7X9FBY4-F1,0.1273584905660377,0.12840670859538783,0.6369082945977591,0.049397406582379504,0.11580742839681085,0.32075471698113206
AF-A0A849AUX9-F1,0.1300813008130081,0.11065943992773263,0.6343611917580947,0.04737330678116591,0.09236038952560961,0.2899728997289973
AF-A0A7V5YHU0-F1,0.204326923076923,0.17254273504273507,0.6983032970498804,0.07889481928869124,0.13502656345282296,0.4134615384615385
AF-A0A522QIW9-F1,0.2692307692307692,0.1282051282051282,0.7118708932521227,0.07991377699280215,0.2157298640057261,0.5192307692307693
AF-A0A0F8FY96-F1,0.2479338842975206,0.3011937557392103,0.7867602574167716,0.13011232031254724,0.30084649959059034,0.6611570247933884
AF-A0A522VY59-F1,0.1369047619047619,0.1130952380952381,0.6065763815492636,0.06699011265832962,0.1307779200240982,0.2738095238095238
AF-A0A7W1KZ24-F1,0.1155778894472361,0.11390284757118929,0.6665716916536452,0.05349943619458036,0.12312342694040669,0.38023450586264657
AF-A0A5M6I3I5-F1,0.2063492063492063,0.2019400352733686,0.7413172406918661,0.0872255300094179,0.22322054084349166,0.5026455026455027
AF-A0A7X5Q9E7-F1,0.1059782608695652,0.0857487922705314,0.5750147521928309,0.03160109943897691,0.057918780931425946,0.17753623188405798
AF-A0A1H4P998-F1,0.3695652173913043,0.37439613526570054,0.8244618987684612,0.22342009349255657,0.4455128205128205,0.7173913043478262
AF-A0A2A4S4X0-F1,0.2708333333333333,0.1875,0.8366524836534763,0.09057907989606025,0.21783063427800267,0.7152777777777778
AF-A0A094WBF1-F1,0.1634615384615384,0.10576923076923078,0.6599932827366929,0.052771895927313996,0.13703216845759839,0.3878205128205128
AF-A0A1Q5Q548-F1,0.2080924855491329,0.25176621708413616,0.7139340149561395,0.11643819445610104,0.21507438230720174,0.466281310211946
AF-A0A534IJN8-F1,0.2048192771084337,0.19812583668005354,0.7237064453456491,0.08664915639388686,0.19003128749275425,0.4819277108433735
AF-A0A6V6Y242-F1,0.1952861952861952,0.15525626636737747,0.686435393772241,0.07905214698743585,0.13283597453293675,0.393939393939394
AF-A0A7U0R4M5-F1,0.0625,0.23611111111111113,0.8642075107783072,0.1343797051154936,0.3470949210079644,0.8125
AF-A0A522MYQ2-F1,0.0727272727272727,0.06262626262626263,0.646187300353967,0.045632965821203186,0.13823834306507574,0.393939393939394
AF-A0A836TWP3-F1,0.134020618556701,0.09851088201603665,0.6692699028183987,0.048521204777906224,0.13260051495345612,0.39175257731958757
AF-A0A0S8D8U9-F1,0.0710059171597633,0.08875739644970415,0.6501601445123789,0.047156438198695215,0.09489385928649652,0.3648915187376726
AF-A0A4R5GXQ6-F1,0.1757925072046109,0.11559398014729427,0.6405134543315859,0.05000011824482022,0.0844994984850908,0.3112391930835735
AF-A0A660LP82-F1,0.25,0.24537037037037038,0.7330055632886632,0.12617461744230854,0.18543437784422892,0.4935185185185185
AF-A0A5B8ICN8-F1,0.217391304347826,0.08695652173913043,0.6905909572929722,0.04498672542001111,0.13882378217899138,0.5217391304347826
AF-A0A3A4VZJ0-F1,0.369047619047619,0.4219576719576719,0.8431420030829481,0.35276393241590204,0.4275006205013651,0.7301587301587302
AF-A0A0Q6W2Y4-F1,0.1847133757961783,0.09695682944090588,0.6621885692136348,0.04989174795801917,0.09668659079123339,0.3927813163481953
AF-A0A2U8HIX8-F1,0.1256544502617801,0.10587550901687026,0.6582695319802885,0.055742667264891764,0.10890583601789687,0.38045375218150085
AF-A0A0J8V6N4-F1,0.1254901960784313,0.11154684095860566,0.6389094121520961,0.04519166534684165,0.12201762465523323,0.31633986928104574
AF-G3AUM9-F1,0.1448598130841121,0.12668743509865002,0.6467962542632015,0.051969596639097414,0.12083290000790385,0.30996884735202485
AF-A0A7W3IZW6-F1,0.3958333333333333,0.4513888888888889,0.9214221374450274,0.24081667779830732,0.5161761231366734,0.8958333333333334
AF-A0A2N1RNT5-F1,0.1304347826086956,0.19323671497584538,0.7886348039692952,0.1164582719096578,0.22474144213274647,0.6328502415458938
