entry_id,L,cond,u_R,c_R,u_AUC,c_AUC,nG,nP,cand_prec
AF-A0A2S9J4D6-F1,70,oracle50,0.2,0.5,0.887328431372549,0.9882352941176471,20,20,
AF-A0A2S9J4D6-F1,70,oracle50,0.05,0.55,0.8643627450980392,0.9875,20,20,
AF-A0A2S9J4D6-F1,70,noisycand,0.2702702702702703,0.13513513513513514,0.846699377949378,0.6250134062634063,27,37,0.1111111111111111
AF-A0A2S9J4D6-F1,70,noisycand,0.21212121212121213,0.09090909090909091,0.8295341474445952,0.81626714910297,37,33,0.1891891891891892
AF-A0A6I1PB34-F1,103,oracle50,0.029411764705882353,0.38235294117647056,0.905701589214431,0.9883131229444403,33,34,
AF-A0A6I1PB34-F1,103,oracle50,0.08823529411764706,0.5588235294117647,0.8866460796866762,0.9848233787753258,33,34,
AF-A0A6I1PB34-F1,103,noisycand,0.140625,0.03125,0.8764525500322788,0.6381570098988595,42,64,0.07142857142857142
AF-A0A6I1PB34-F1,103,noisycand,0.1206896551724138,0.1206896551724138,0.8714629026635317,0.7602005622269528,46,58,0.1956521739130435
AF-A0A523E731-F1,157,oracle50,0.08695652173913043,0.6521739130434783,0.8798542576919551,0.9974468361392038,46,46,
AF-A0A523E731-F1,157,oracle50,0.06521739130434782,0.6086956521739131,0.8564136545571206,0.9980521861346207,46,46,
AF-A0A523E731-F1,157,noisycand,0.08045977011494253,0.04597701149425287,0.8543010442040643,0.6893510648326953,50,87,0.1
AF-A0A523E731-F1,157,noisycand,0.13043478260869565,0.043478260869565216,0.8624822204282474,0.4621333563987237,74,92,0.0
AF-A0A7Y7CI25-F1,237,oracle50,0.19852941176470587,0.5514705882352942,0.8620773964628264,0.9959031435382825,135,136,
AF-A0A7Y7CI25-F1,237,oracle50,0.19117647058823528,0.6029411764705882,0.8715756500526695,0.9972196041470311,135,136,
AF-A0A7Y7CI25-F1,237,noisycand,0.20253164556962025,0.11814345991561181,0.8655895291274758,0.8249168079768457,156,237,0.21794871794871795
AF-A0A7Y7CI25-F1,237,noisycand,0.2265625,0.1015625,0.8676079088979839,0.7324605111698499,152,256,0.09868421052631579
AF-A0A7X9C4E0-F1,278,oracle50,0.08791208791208792,0.5054945054945055,0.8534601241992911,0.9965891147313184,90,91,
