geometry,threshold,subset,stem,cluster
original,fine,all,proteina-52b79fae7e5dee91fe29,proteina-52b79fae7e5dee91fe29
original,fine,all,proteina-451db526f9e2d9cf99d8,proteina-451db526f9e2d9cf99d8
original,fine,all,proteina-a05560fb4059d445f5d0,proteina-a05560fb4059d445f5d0
original,fine,all,proteina-1ffebfe2eb38e6f83d1b,proteina-1ffebfe2eb38e6f83d1b
original,fine,all,proteina-7c0c4553717635636c59,proteina-7c0c4553717635636c59
original,fine,all,proteina-42d080c4e4ba91fa26c1,proteina-42d080c4e4ba91fa26c1
original,fine,all,proteina-e99bb2a1e48a6ad562f4,proteina-e99bb2a1e48a6ad562f4
original,fine,all,proteina-249eb95f29c51ec61404,proteina-249eb95f29c51ec61404
original,fine,all,proteina-0e368d8f96110554dd92,proteina-0e368d8f96110554dd92
original,fine,all,proteina-901b77869bf7fe3a46a3,proteina-0e368d8f96110554dd92
original,fine,all,proteina-f26b3e1114b7440c6447,proteina-f26b3e1114b7440c6447
original,fine,all,proteina-1e23e7440f3a074ce51a,proteina-1e23e7440f3a074ce51a
original,fine,all,proteina-af1fdb7363bc134ab37b,proteina-af1fdb7363bc134ab37b
original,fine,all,proteina-aea78266951fb0f87008,proteina-aea78266951fb0f87008
original,fine,all,proteina-00eeb72d301857153cdf,proteina-00eeb72d301857153cdf
original,fine,all,proteina-0b0d402d7f3c5d3e35fd,proteina-0b0d402d7f3c5d3e35fd
original,fine,all,proteina-fc2e87d07b799800b9d2,proteina-fc2e87d07b799800b9d2
original,fine,all,proteina-ad3cd38cae7650fa14e3,proteina-ad3cd38cae7650fa14e3
original,fine,all,proteina-8fe3e2eed4d6cd1ec653,proteina-8fe3e2eed4d6cd1ec653
original,fine,all,proteina-19bba8f9984cc67c4d3f,proteina-19bba8f9984cc67c4d3f
original,fine,all,proteina-b907875165c06613a4b5,proteina-19bba8f9984cc67c4d3f
original,fine,all,proteina-6eb5744b6149541c3c24,proteina-19bba8f9984cc67c4d3f
original,fine,all,proteina-4f5f7fea8c2f56114de4,proteina-19bba8f9984cc67c4d3f
original,fine,all,proteina-1c9fa8b4faa332edafa6,proteina-19bba8f9984cc67c4d3f
original,fine,all,proteina-b7b91e2bfe55c95067f6,proteina-19bba8f9984cc67c4d3f
original,fine,all,proteina-7a44d0c147b97d533c96,proteina-19bba8f9984cc67c4d3f
original,fine,all,proteina-3135c93f8f3a6cabe6a9,proteina-19bba8f9984cc67c4d3f
original,fine,all,proteina-8aca22eec6a9213089a0,proteina-19bba8f9984cc67c4d3f
original,fine,all,proteina-84d20762e40977009f81,proteina-19bba8f9984cc67c4d3f
original,fine,all,proteina-289a1e674fcef03e9495,proteina-19bba8f9984cc67c4d3f
original,fine,all,proteina-6084b871666e2c1068b7,proteina-19bba8f9984cc67c4d3f
original,fine,all,proteina-26449f0a95887e6f5197,proteina-26449f0a95887e6f5197
original,fine,all,proteina-efb83008e5337c641388,proteina-efb83008e5337c641388
original,fine,all,proteina-f652c4c2b9ae9b017101,proteina-efb83008e5337c641388
original,fine,all,proteina-a1f5d3be9eee87293bc6,proteina-a1f5d3be9eee87293bc6
original,fine,all,proteina-fe1c30c020eb244a26c0,proteina-fe1c30c020eb244a26c0
original,fine,all,proteina-a821b8dec5fb6f2349d0,proteina-a821b8dec5fb6f2349d0
original,fine,all,proteina-585b935b7f6b97db5012,proteina-098f6173a2aec7c00422
original,fine,all,proteina-6248bc9cb1b9e9eb9c78,proteina-098f6173a2aec7c00422
original,fine,all,proteina-098f6173a2aec7c00422,proteina-098f6173a2aec7c00422
original,fine,all,proteina-9b8b8f143e1620188b5b,proteina-098f6173a2aec7c00422
original,fine,all,proteina-44d732f2b4810f61ea8c,proteina-098f6173a2aec7c00422
original,fine,all,proteina-7db502739e7cd627175d,proteina-098f6173a2aec7c00422
original,fine,all,proteina-1ebbbfb6ba268bcf2e28,proteina-098f6173a2aec7c00422
original,fine,all,proteina-5cb51a49213de65168ee,proteina-5cb51a49213de65168ee
original,fine,all,proteina-fbc50facd66db144b919,proteina-fbc50facd66db144b919
original,fine,all,proteina-8dbef7a57d70ad845ba0,proteina-07ddd926cd5da2dfa442
original,fine,all,proteina-ba7927c6a61b908e1e66,proteina-07ddd926cd5da2dfa442
original,fine,all,proteina-74eaf5b7c458b87eb951,proteina-07ddd926cd5da2dfa442
original,fine,all,proteina-07ddd926cd5da2dfa442,proteina-07ddd926cd5da2dfa442
original,fine,all,proteina-a46e3a548aa9c5a112cc,proteina-07ddd926cd5da2dfa442
original,fine,all,proteina-0cc2c0501776a11054e2,proteina-07ddd926cd5da2dfa442
