query,target,qtmscore,ttmscore,qcov,tcov,evalue,stem,min_tm,reference_split
proteina-a05560fb4059d445f5d0,A0A1G3XT41,5.856E-01,5.856E-01,0.907,0.893,5.652E-01,proteina-a05560fb4059d445f5d0,0.5856,train
proteina-260a0da7fdebbe91100b,A0A6I9XN80,5.338E-01,5.536E-01,0.927,0.976,5.152E-01,proteina-260a0da7fdebbe91100b,0.5338,train
proteina-ad3cd38cae7650fa14e3,A0A5E4KJV2,7.543E-01,8.233E-01,0.947,0.974,7.706E-01,proteina-ad3cd38cae7650fa14e3,0.7543,train
proteina-4c9c59d21fec18b01ce1,A0A7C2YCE8,6.984E-01,7.489E-01,0.890,0.888,7.042E-01,proteina-4c9c59d21fec18b01ce1,0.6984,train
proteina-3e294eebce2c9f5c803c,A0A820YS62,5.534E-01,5.614E-01,0.977,0.929,5.329E-01,proteina-3e294eebce2c9f5c803c,0.5534,train
proteina-a46e3a548aa9c5a112cc,A0A856MPP9,8.251E-01,8.489E-01,0.950,0.962,8.191E-01,proteina-a46e3a548aa9c5a112cc,0.8251,train
proteina-0e368d8f96110554dd92,A0A1Q7JDZ5,7.462E-01,7.955E-01,0.983,0.989,7.531E-01,proteina-0e368d8f96110554dd92,0.7462,train
proteina-98ffe229fd2ffdb27bdf,A0A2H0WVP8,3.914E-01,5.442E-01,0.920,0.930,4.381E-01,proteina-98ffe229fd2ffdb27bdf,0.3914,train
proteina-24f2a0890fca35ea8ca2,A0A182ESB5,6.357E-01,6.788E-01,0.903,0.885,6.376E-01,proteina-24f2a0890fca35ea8ca2,0.6357,train
proteina-289a1e674fcef03e9495,A0A7J6CVI5,8.385E-01,9.200E-01,0.983,1.000,8.635E-01,proteina-289a1e674fcef03e9495,0.8385,train
proteina-6b86d70d66db6baf2026,A0A822BDD8,8.038E-01,8.089E-01,0.970,0.940,7.906E-01,proteina-6b86d70d66db6baf2026,0.8038,train
proteina-ae9b3b780fd7f31565af,A0A1F9F6B0,7.466E-01,7.943E-01,1.000,0.979,7.573E-01,proteina-ae9b3b780fd7f31565af,0.7466,train
proteina-4d2afdfbc3cd069ac912,A0A7C0X320,6.008E-01,6.579E-01,0.903,0.864,6.152E-01,proteina-4d2afdfbc3cd069ac912,0.6008,train
proteina-548aff4a3947e60ff8f8,A0A1F9F6B0,6.989E-01,7.432E-01,0.940,0.989,7.113E-01,proteina-548aff4a3947e60ff8f8,0.6989,train
proteina-e6a73a3c9d66840ff173,A0A353X7E5,5.862E-01,5.551E-01,1.000,0.765,5.507E-01,proteina-e6a73a3c9d66840ff173,0.5551,train
proteina-47540efaa4bc2c801759,Q0RV76,6.563E-01,6.863E-01,1.000,0.983,6.571E-01,proteina-47540efaa4bc2c801759,0.6563,train
proteina-014823502077c2722a16,Q6ZMG4,5.081E-01,4.540E-01,0.973,1.000,4.507E-01,proteina-014823502077c2722a16,0.454,train
proteina-1b93e7a88997a83ee1e7,A0A1F9L569,7.761E-01,7.544E-01,0.893,0.861,7.553E-01,proteina-1b93e7a88997a83ee1e7,0.7544,train
proteina-5cb51a49213de65168ee,A0A0G0AUF5,5.219E-01,5.161E-01,0.987,0.888,4.954E-01,proteina-5cb51a49213de65168ee,0.5161,train
proteina-6eb5744b6149541c3c24,A0A819G9V3,8.683E-01,9.123E-01,0.950,0.965,8.802E-01,proteina-6eb5744b6149541c3c24,0.8683,train
