arm,map_variant,range,n,consensus_r_precision,validity_gated_oracle_r_precision,oracle_r_precision,true_union_recall,mean_rollout_precision,mean_pairwise_jaccard,mean_contacts,seed_true_fraction,continuation_seed_repeat_fraction,invalid_rollouts
cluster_k5,complete,all,81,0.5647849463453414,0.531579219757083,0.531579219757083,0.9321422251101332,0.40993584069284544,0.28543188875010356,261.990987654321,0.37604222314358837,0.0008230452674897119,25.0
cluster_k5,complete,long,81,0.5465635341130037,0.528130846262181,0.528130846262181,0.9147396065107763,0.3913502469776573,0.27615448175554025,180.82543209876545,0.3659114185864072,0.0009670781893004116,25.0
cluster_k5,continuation,all,81,0.566110861466577,0.5295649702218687,0.5295649702218687,0.9321422251101332,0.40669030198820966,0.27954017609401544,259.5722222222222,0.37604222314358837,0.0008230452674897119,25.0
cluster_k5,continuation,long,81,0.5470659250480854,0.5258626041513387,0.5258626041513387,0.9147396065107763,0.3878607380780111,0.27015532194937114,179.06049382716049,0.3659114185864072,0.0009670781893004116,25.0
iid100,continuation,all,81,0.562522648437665,0.5330844669696441,0.5331277092779185,0.9363930937088821,0.4082592443685772,0.2845520702179373,261.61395061728393,,,28.0
iid100,continuation,long,81,0.5509065287018526,0.5278822565561367,0.5278822565561367,0.921016939687157,0.3896721168440841,0.2749855793864584,180.36234567901235,,,28.0
random_k5,complete,all,81,0.5662575053804826,0.5333462556988027,0.5333462556988027,0.9351308382624394,0.41029939536806703,0.28488904599671094,263.6011111111111,0.397235881534855,0.0008148148148148149,34.0
random_k5,complete,long,81,0.5508397488567128,0.5284761874707955,0.5289687561312564,0.9190940086361634,0.3921507813469259,0.27556334480307443,181.91518518518518,0.38716010193113654,0.0010205761316872427,34.0
random_k5,continuation,all,81,0.5669211888902884,0.5318790273548016,0.5318790273548016,0.9351308382624394,0.40678899320825346,0.2787113633346661,261.2004938271605,0.397235881534855,0.0008148148148148149,34.0
random_k5,continuation,long,81,0.5523910789920952,0.5270885101239988,0.5275506478410386,0.9190940086361634,0.38869286689335814,0.2696728873761305,180.3383950617284,0.38716010193113654,0.0010205761316872427,34.0
