arm,map_variant,split,stem,L,range,seed_true_fraction,continuation_seed_repeat_fraction,consensus_r_precision,oracle_r_precision,validity_gated_oracle_r_precision,branch_oracle_r_precision,branch_validity_gated_oracle_r_precision,mean_rollout_precision,mean_validity_gated_rollout_r_precision,true_union_recall,mean_pairwise_jaccard,unique_maps,mean_contacts,invalid_rollouts
iid100,continuation,test,7yhr_A,60,all,,,0.4146341463414634,0.4634146341463415,0.4634146341463415,0.43902439024390244,0.43902439024390244,0.28585365853658534,0.28585365853658534,1.0,0.1874988380401741,100.0,38.49,0.0
cluster_k5,continuation,test,7yhr_A,60,all,0.3360995850622407,0.0,0.4146341463414634,0.4634146341463415,0.4634146341463415,0.43902439024390244,0.43902439024390244,0.2780487804878049,0.2780487804878049,1.0,0.17952549157368014,100.0,36.64,0.0
cluster_k5,complete,test,7yhr_A,60,all,0.3360995850622407,0.0,0.4146341463414634,0.4634146341463415,0.4634146341463415,0.43902439024390244,0.43902439024390244,0.2924390243902439,0.2924390243902439,1.0,0.1941051788738317,100.0,39.05,0.0
random_k5,continuation,test,7yhr_A,60,all,0.32916666666666666,0.0,0.43902439024390244,0.4634146341463415,0.4634146341463415,0.43902439024390244,0.43902439024390244,0.28097560975609753,0.28097560975609753,1.0,0.1791103070525708,100.0,36.69,0.0
random_k5,complete,test,7yhr_A,60,all,0.32916666666666666,0.0,0.43902439024390244,0.4634146341463415,0.4634146341463415,0.43902439024390244,0.43902439024390244,0.294390243902439,0.294390243902439,1.0,0.1931517151996019,100.0,39.09,0.0
iid100,continuation,test,7yhr_A,60,long,,,0.2608695652173913,0.43478260869565216,0.43478260869565216,0.34782608695652173,0.34782608695652173,0.18869565217391301,0.18869565217391301,1.0,0.14304074500497346,100.0,18.09,0.0
cluster_k5,continuation,test,7yhr_A,60,long,0.3564356435643564,0.0,0.30434782608695654,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.18391304347826087,0.18391304347826087,1.0,0.1473517962101709,100.0,17.08,0.0
cluster_k5,complete,test,7yhr_A,60,long,0.3564356435643564,0.0,0.30434782608695654,0.43478260869565216,0.43478260869565216,0.391304347826087,0.391304347826087,0.19739130434782606,0.19739130434782606,1.0,0.15954523108502197,100.0,18.09,0.0
random_k5,continuation,test,7yhr_A,60,long,0.29591836734693877,0.0,0.34782608695652173,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.20173913043478264,0.20173913043478264,1.0,0.14698780710703357,100.0,17.43,0.0
random_k5,complete,test,7yhr_A,60,long,0.29591836734693877,0.0,0.34782608695652173,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.21260869565217383,0.21260869565217383,1.0,0.15540965821001884,100.0,18.41,0.0
iid100,continuation,test,7xi5_A,65,all,,,0.7857142857142857,0.8333333333333334,0.8333333333333334,0.7857142857142857,0.7857142857142857,0.6997619047619048,0.6926190476190477,1.0,0.54939666344448,100.0,42.21,1.0
cluster_k5,continuation,test,7xi5_A,65,all,0.708502024291498,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7619047619047619,0.7619047619047619,0.6797619047619047,0.6726190476190478,1.0,0.5045730451790399,100.0,39.82,1.0
cluster_k5,complete,test,7xi5_A,65,all,0.708502024291498,0.0,0.8095238095238095,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7102380952380953,0.7030952380952381,1.0,0.5559064783338192,100.0,42.29,1.0
random_k5,continuation,test,7xi5_A,65,all,0.7020408163265306,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7380952380952381,0.7380952380952381,0.6721428571428574,0.6650000000000001,1.0,0.4939361645491913,100.0,39.94,1.0
random_k5,complete,test,7xi5_A,65,all,0.7020408163265306,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8095238095238095,0.8095238095238095,0.7045238095238094,0.6973809523809524,1.0,0.54322574784038,100.0,42.39,1.0
iid100,continuation,test,7xi5_A,65,long,,,0.7391304347826086,0.8260869565217391,0.8260869565217391,0.782608695652174,0.782608695652174,0.638695652173913,0.6321739130434783,1.0,0.48290723101595956,100.0,21.56,1.0
cluster_k5,continuation,test,7xi5_A,65,long,0.7627118644067796,0.0,0.782608695652174,0.8260869565217391,0.8260869565217391,0.782608695652174,0.782608695652174,0.62,0.6134782608695653,1.0,0.4454628442724129,100.0,20.17,1.0
cluster_k5,complete,test,7xi5_A,65,long,0.7627118644067796,0.0,0.782608695652174,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.6556521739130435,0.6491304347826088,1.0,0.4921178564667877,100.0,21.35,1.0
random_k5,continuation,test,7xi5_A,65,long,0.6792452830188679,0.0,0.782608695652174,0.8260869565217391,0.8260869565217391,0.7391304347826086,0.7391304347826086,0.6169565217391305,0.6104347826086957,1.0,0.44483836706818286,100.0,20.16,1.0
random_k5,complete,test,7xi5_A,65,long,0.6792452830188679,0.0,0.7391304347826086,0.8260869565217391,0.8260869565217391,0.782608695652174,0.782608695652174,0.6443478260869564,0.6378260869565218,1.0,0.4803073150682278,100.0,21.22,1.0
iid100,continuation,test,8b6e_A,66,all,,,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.7954545454545454,0.7954545454545454,0.6761363636363638,0.6761363636363638,0.9772727272727273,0.5614365700424541,100.0,38.99,0.0
