arm,comparator,range,metric,n,control_mean,arm_mean,mean_delta,ci95_low,ci95_high
cluster_k5,iid100,all,validity_gated_oracle_r_precision,81,0.5330844669696442,0.5295649702218685,-0.0035194967477755437,-0.007839285615785185,0.0009270227672810928
cluster_k5,iid100,all,oracle_r_precision,81,0.5331277092779184,0.5295649702218685,-0.0035627390560499595,-0.007858084601297615,0.0009077146478260588
cluster_k5,iid100,all,consensus_r_precision,81,0.5625226484376649,0.5661108614665771,0.0035882130289119907,2.6715055353824752e-05,0.00723763337482237
cluster_k5,iid100,all,true_union_recall,81,0.9363930937088821,0.9321422251101334,-0.0042508685987487724,-0.008598652107273697,-0.0004843166960018945
cluster_k5,iid100,all,mean_rollout_precision,81,0.4082592443685772,0.40669030198820966,-0.0015689423803675643,-0.003725189566096923,0.0006242602488405592
cluster_k5,iid100,all,mean_pairwise_jaccard,81,0.2845520702179373,0.27954017609401544,-0.005011894123921893,-0.007956723312296268,-0.0021859275961991637
cluster_k5,iid100,all,mean_contacts,81,261.61395061728393,259.5722222222222,-2.041728395061729,-2.7946913580246915,-1.3679012345679042
cluster_k5,random_k5,all,validity_gated_oracle_r_precision,81,0.5318790273548016,0.5295649702218685,-0.002314057132933065,-0.006792876201569328,0.0018918370392927324
cluster_k5,random_k5,all,oracle_r_precision,81,0.5318790273548016,0.5295649702218685,-0.002314057132933065,-0.006852082420985892,0.001937840264591362
cluster_k5,random_k5,all,consensus_r_precision,81,0.5669211888902884,0.5661108614665771,-0.0008103274237114897,-0.003973948127513843,0.0024026284467891126
cluster_k5,random_k5,all,true_union_recall,81,0.9351308382624396,0.9321422251101334,-0.002988613152306078,-0.006666152849040592,0.0007379867576327385
cluster_k5,random_k5,all,mean_rollout_precision,81,0.4067889932082534,0.40669030198820966,-9.869122004377859e-05,-0.001566577421998318,0.0012508687663269611
cluster_k5,random_k5,all,mean_pairwise_jaccard,81,0.27871136333466606,0.27954017609401544,0.0008288127593493198,-0.0003593454636871382,0.001978457043986641
cluster_k5,random_k5,all,mean_contacts,81,261.2004938271605,259.5722222222222,-1.6282716049382728,-2.4219783950617293,-0.9127098765432082
random_k5,iid100,all,validity_gated_oracle_r_precision,81,0.5330844669696442,0.5318790273548016,-0.0012054396148424786,-0.006126215964206406,0.004045828572317961
random_k5,iid100,all,oracle_r_precision,81,0.5331277092779184,0.5318790273548016,-0.0012486819231168943,-0.006119561816425503,0.003995792705870781
random_k5,iid100,all,consensus_r_precision,81,0.5625226484376649,0.5669211888902884,0.00439854045262348,0.001738719860656972,0.007161929440902859
random_k5,iid100,all,true_union_recall,81,0.9363930937088821,0.9351308382624396,-0.0012622554464426943,-0.004578701499201486,0.001758214120126913
random_k5,iid100,all,mean_rollout_precision,81,0.4082592443685772,0.4067889932082534,-0.0014702511603237856,-0.003941656537579358,0.0012102407431523316
random_k5,iid100,all,mean_pairwise_jaccard,81,0.2845520702179373,0.27871136333466606,-0.0058407068832712124,-0.00876415796813355,-0.0029660960426679183
random_k5,iid100,all,mean_contacts,81,261.61395061728393,261.2004938271605,-0.41345679012345654,-0.9530925925925913,0.17407407407407494
cluster_k5,iid100,long,validity_gated_oracle_r_precision,81,0.5278822565561367,0.5258626041513387,-0.0020196524047980807,-0.006797652759287816,0.0024833944827342912
cluster_k5,iid100,long,oracle_r_precision,81,0.5278822565561367,0.5258626041513387,-0.0020196524047980807,-0.006808836011600572,0.0024888736864280277
cluster_k5,iid100,long,consensus_r_precision,81,0.5509065287018526,0.5470659250480854,-0.0038406036537673716,-0.008744655455951551,0.0009178159525788386
cluster_k5,iid100,long,true_union_recall,81,0.9210169396871571,0.9147396065107761,-0.006277333176380767,-0.011233869132700455,-0.0017923899157226357
cluster_k5,iid100,long,mean_rollout_precision,81,0.3896721168440841,0.3878607380780111,-0.001811378766073015,-0.004265970345581151,0.0006577017828548553
cluster_k5,iid100,long,mean_pairwise_jaccard,81,0.2749855793864584,0.2701553219493711,-0.0048302574370872944,-0.007977153925817255,-0.001817545286965316
cluster_k5,iid100,long,mean_contacts,81,180.36234567901235,179.06049382716046,-1.3018518518518518,-1.9417345679012368,-0.6849351851851848
cluster_k5,random_k5,long,validity_gated_oracle_r_precision,81,0.5270885101239988,0.5258626041513387,-0.0012259059726602009,-0.004100584898466863,0.0015827448898590151
cluster_k5,random_k5,long,oracle_r_precision,81,0.5275506478410386,0.5258626041513387,-0.0016880436896998788,-0.004718993494165313,0.0012399435273205564
cluster_k5,random_k5,long,consensus_r_precision,81,0.5523910789920952,0.5470659250480854,-0.005325153944009808,-0.009659928669241768,-0.0011014027546195518
cluster_k5,random_k5,long,true_union_recall,81,0.9190940086361635,0.9147396065107761,-0.004354402125387169,-0.01023251934128872,0.0015025403864002513
cluster_k5,random_k5,long,mean_rollout_precision,81,0.38869286689335814,0.3878607380780111,-0.0008321288153470295,-0.0024698042974132333,0.0007416412504954104
cluster_k5,random_k5,long,mean_pairwise_jaccard,81,0.2696728873761305,0.2701553219493711,0.00048243457324066003,-0.0008493981127482053,0.0017685154019893377
cluster_k5,random_k5,long,mean_contacts,81,180.33839506172842,179.06049382716046,-1.2779012345679026,-1.9309969135802463,-0.6606141975308651
random_k5,iid100,long,validity_gated_oracle_r_precision,81,0.5278822565561367,0.5270885101239988,-0.0007937464321378799,-0.0059755020604521794,0.004368138466657254
random_k5,iid100,long,oracle_r_precision,81,0.5278822565561367,0.5275506478410386,-0.0003316087150982022,-0.005578470885281621,0.004817558615146903
random_k5,iid100,long,consensus_r_precision,81,0.5509065287018526,0.5523910789920952,0.0014845502902424363,-0.002879414662946451,0.006044604787316244
random_k5,iid100,long,true_union_recall,81,0.9210169396871571,0.9190940086361635,-0.0019229310509935984,-0.0063669449897975116,0.0020726103218228994
random_k5,iid100,long,mean_rollout_precision,81,0.3896721168440841,0.38869286689335814,-0.0009792499507259853,-0.0035065522024657556,0.0017336176842835346
random_k5,iid100,long,mean_pairwise_jaccard,81,0.2749855793864584,0.2696728873761305,-0.005312692010327955,-0.008118786621287566,-0.0025660616402684512
random_k5,iid100,long,mean_contacts,81,180.36234567901235,180.33839506172842,-0.023950617283949295,-0.5339506172839472,0.46506481481481443
