target_id,arm,n_contacts,n_true,hits,precision,recall,pairs_over_L
7qp5_A,mf_L5,49,241,33,0.673469387755102,0.13692946058091288,0.2
7qsj_A,mf_L5,74,347,70,0.9459459459459459,0.2017291066282421,0.19839142091152814
7t9r_A,mf_L5,7,24,3,0.42857142857142855,0.125,0.18421052631578946
7tlh_A,mf_L5,27,114,19,0.7037037037037037,0.16666666666666666,0.19852941176470587
7tjb_A,mf_L5,45,201,44,0.9777777777777777,0.21890547263681592,0.19823788546255505
7uba_A,mf_L5,42,208,24,0.5714285714285714,0.11538461538461539,0.19718309859154928
7uk8_A,mf_L5,78,526,66,0.8461538461538461,0.12547528517110265,0.19796954314720813
7ur2_A,mf_L5,39,137,22,0.5641025641025641,0.16058394160583941,0.2
7urp_A,mf_L5,32,134,29,0.90625,0.21641791044776118,0.2
7uvg_A,mf_L5,36,178,30,0.8333333333333334,0.16853932584269662,0.19672131147540983
7uww_A,mf_L5,127,693,105,0.8267716535433071,0.15151515151515152,0.2
7v3o_A,mf_L5,65,272,50,0.7692307692307693,0.18382352941176472,0.19817073170731708
7w15_A,mf_L5,60,303,56,0.9333333333333333,0.1848184818481848,0.1986754966887417
7y3h_A,mf_L5,82,312,77,0.9390243902439024,0.2467948717948718,0.19854721549636803
7wz5_A,mf_L5,32,113,3,0.09375,0.02654867256637168,0.19875776397515527
7wzm_A,mf_L5,98,456,97,0.9897959183673469,0.21271929824561403,0.1991869918699187
7x4p_A,mf_L5,61,333,53,0.8688524590163934,0.15915915915915915,0.1986970684039088
7x3h_A,mf_L5,58,296,47,0.8103448275862069,0.15878378378378377,0.2
7x8l_A,mf_L5,102,580,96,0.9411764705882353,0.16551724137931034,0.19844357976653695
7xcd_A,mf_L5,35,148,12,0.34285714285714286,0.08108108108108109,0.19662921348314608
7xg9_A,mf_L5,57,241,42,0.7368421052631579,0.17427385892116182,0.19791666666666666
7xi5_A,mf_L5,13,42,13,1.0,0.30952380952380953,0.2
7xp9_A,mf_L5,16,45,10,0.625,0.2222222222222222,0.19047619047619047
8ycm_A,mf_L5,45,196,34,0.7555555555555555,0.17346938775510204,0.1965065502183406
7xq4_A,mf_L5,102,472,92,0.9019607843137255,0.19491525423728814,0.19844357976653695
7xrx_A,mf_L5,79,396,64,0.810126582278481,0.16161616161616163,0.1984924623115578
7xjr_A,mf_L5,67,354,63,0.9402985074626866,0.17796610169491525,0.19881305637982197
7xyr_A,mf_L5,118,707,115,0.9745762711864406,0.16265912305516267,0.1996615905245347
7xz3_A,mf_L5,65,316,25,0.38461538461538464,0.07911392405063292,0.2
7y4h_A,mf_L5,67,320,63,0.9402985074626866,0.196875,0.19822485207100593
7y54_A,mf_L5,20,105,20,1.0,0.19047619047619047,0.2
7y5m_A,mf_L5,34,148,30,0.8823529411764706,0.20270270270270271,0.2
7y5r_A,mf_L5,21,97,21,1.0,0.21649484536082475,0.2
7y8h_A,mf_L5,20,83,20,1.0,0.24096385542168675,0.2
7y8i_A,mf_L5,19,83,19,1.0,0.2289156626506024,0.1958762886597938
7y5j_A,mf_L5,20,91,18,0.9,0.1978021978021978,0.19607843137254902
7yd4_A,mf_L5,37,142,11,0.2972972972972973,0.07746478873239436,0.2
7yhr_A,mf_L5,12,41,10,0.8333333333333334,0.24390243902439024,0.2
7ykm_A,mf_L5,21,55,20,0.9523809523809523,0.36363636363636365,0.2
7ylr_A,mf_L5,66,364,66,1.0,0.1813186813186813,0.2
8gmy_A,mf_L5,47,254,37,0.7872340425531915,0.14566929133858267,0.19915254237288135
7yug_A,mf_L5,23,94,15,0.6521739130434783,0.1595744680851064,0.19491525423728814
7yyg_A,mf_L5,73,221,19,0.2602739726027397,0.08597285067873303,0.2
7z65_A,mf_L5,56,320,54,0.9642857142857143,0.16875,0.1978798586572438
7znz_A,mf_L5,152,932,130,0.8552631578947368,0.13948497854077252,0.19973718791064388
7zoi_A,mf_L5,30,110,29,0.9666666666666667,0.2636363636363636,0.1986754966887417
7zs2_A,mf_L5,63,223,62,0.9841269841269841,0.27802690582959644,0.19936708860759494
