pair_id,mode,rollout,rank
2frha_1fzpd,b16_e0p05_d0_w10,13,1
2frha_1fzpd,b16_e0p05_d0_w10,23,2
2frha_1fzpd,b16_e0p05_d0_w10,80,3
2frha_1fzpd,b16_e0p05_d0_w10,71,4
2frha_1fzpd,b16_e0p05_d0_w10,93,5
2frha_1fzpd,b16_e0p05_d0_w10,67,6
2frha_1fzpd,b16_e0p05_d0_w10,65,7
2frha_1fzpd,b16_e0p05_d0_w10,94,8
2frha_1fzpd,b16_e0p05_d0_w10,70,9
2frha_1fzpd,b16_e0p05_d0_w10,74,10
2frha_1fzpd,b16_e0p05_d0_w10,85,11
2frha_1fzpd,b16_e0p05_d0_w10,89,12
2frha_1fzpd,b16_e0p05_d0_w10,92,13
2frha_1fzpd,b16_e0p05_d0_w10,96,14
2frha_1fzpd,b16_e0p05_d0_w10,8,15
2frha_1fzpd,b16_e0p05_d0_w10,6,16
2hdma_2n54b,b16_e0p05_d0_w10,9,1
2hdma_2n54b,b16_e0p05_d0_w10,59,2
2hdma_2n54b,b16_e0p05_d0_w10,16,3
2hdma_2n54b,b16_e0p05_d0_w10,51,4
2hdma_2n54b,b16_e0p05_d0_w10,37,5
2hdma_2n54b,b16_e0p05_d0_w10,22,6
2hdma_2n54b,b16_e0p05_d0_w10,13,7
2hdma_2n54b,b16_e0p05_d0_w10,83,8
2hdma_2n54b,b16_e0p05_d0_w10,40,9
2hdma_2n54b,b16_e0p05_d0_w10,62,10
2hdma_2n54b,b16_e0p05_d0_w10,11,11
2hdma_2n54b,b16_e0p05_d0_w10,64,12
2hdma_2n54b,b16_e0p05_d0_w10,21,13
2hdma_2n54b,b16_e0p05_d0_w10,49,14
2hdma_2n54b,b16_e0p05_d0_w10,24,15
2hdma_2n54b,b16_e0p05_d0_w10,47,16
3hdea_3hdfa,b16_e0p05_d0_w10,1,1
3hdea_3hdfa,b16_e0p05_d0_w10,68,2
3hdea_3hdfa,b16_e0p05_d0_w10,33,3
3hdea_3hdfa,b16_e0p05_d0_w10,79,4
3hdea_3hdfa,b16_e0p05_d0_w10,59,5
3hdea_3hdfa,b16_e0p05_d0_w10,93,6
3hdea_3hdfa,b16_e0p05_d0_w10,72,7
3hdea_3hdfa,b16_e0p05_d0_w10,57,8
