stem,first_quality_pass,second_quality_pass,best_of_two_quality_pass,first_scrmsd,second_scrmsd
proteina-429b06bfa8e5e32d6c56,False,True,True,3.6064648598139684,1.9560900389485867
proteina-9deadbae53aad3dc0b7d,False,True,True,2.3894066727072016,1.6272812898275164
proteina-bee420d6256e40fd5a3c,False,False,False,8.184187210249343,7.327296029608991
proteina-309317dc3a22e7b5a110,True,True,True,0.8231645276939283,0.7544495539816499
proteina-367a52983efc35323c13,False,False,False,7.890604582124064,6.332354024338465
proteina-6d46545fd2e870705b34,True,True,True,1.7339535981999055,1.3300947756407602
proteina-997ab34884a2c25baa65,False,False,False,2.0705014760599636,2.85157248358028
proteina-b10148c53cb87c20404d,True,True,True,1.1359030329384652,1.0560570282693669
proteina-eedcb35e1723155387b7,True,False,True,1.0156974336858968,2.350298709374509
proteina-df09f3283af747e50282,True,True,True,1.270997133917969,1.928936941827926
proteina-70428da8de3945214081,True,True,True,1.0724707689675224,0.9099848464017758
proteina-dcfd85ec51f5920c8259,False,False,False,5.939859630407007,3.783533810401301
proteina-f40289998ca0b63e771a,True,True,True,1.0375648994544182,1.396056390787458
proteina-10292fc629b5ce6fa721,False,False,False,5.642718490852245,2.909210048461916
proteina-2f105717af4c19f8221b,False,True,True,2.794939458015523,0.9041976907912117
proteina-423dc38e28a8050bca73,True,False,True,0.7910694359201833,18.452051716542567
proteina-ce7e1abda3562afe50f0,False,False,False,3.4817431513838617,4.600475780695786
proteina-3fbe5c7b7533a4cb630b,True,False,True,1.695432562279025,2.5898048645006484
proteina-ac0e9daf76155935447a,True,True,True,1.894844051560893,0.9294508880047679
proteina-3b58a8ac2db5744c68f6,True,True,True,0.7973320821567196,0.8533733358534263
proteina-e5bedecc226297c42eac,True,True,True,1.3402110329312926,1.5351576056198457
proteina-6384776a5af895d684be,False,False,False,17.478115110591727,3.162807514923112
proteina-143a4fc2ad959c212282,True,True,True,1.2492852595803152,1.3946700026234442
proteina-6e23476f65106e223192,True,True,True,0.8770469111339665,1.3205243744807555
proteina-ba2a20649ee25c2d879c,False,False,False,2.011868980614685,2.950443655769858
proteina-de78b7ac42bdf12116df,True,True,True,1.339863559124761,1.3303352280518923
proteina-57046e6ef514b2366e8f,True,True,True,1.7685651382108238,1.699805324030776
proteina-b036562b21a98b738693,True,True,True,0.9200928245030053,1.059522594119703
proteina-cd1e53e75344ccb3f051,False,False,False,3.5562976890049947,8.837155385145282
proteina-66684435b98eec80a099,True,True,True,1.2504985216409963,1.360914245139306
proteina-ec581eea377901dbe809,False,True,True,4.964641062893859,1.5428797432718575
proteina-9a697c73e203df9dd6e2,False,True,True,1.0230272680090364,1.1269258680306837
