pair_id,mode,rollout,rank
1h38d_1qlna,beam4,82,1
1h38d_1qlna,beam4,88,2
1h38d_1qlna,beam4,77,3
1h38d_1qlna,beam4,22,4
1h38d_1qlna,beam4,33,5
1h38d_1qlna,beam4,51,6
1h38d_1qlna,beam4,99,7
1h38d_1qlna,beam4,61,8
1h38d_1qlna,beam4,35,9
1h38d_1qlna,beam4,18,10
1h38d_1qlna,beam4,47,11
1h38d_1qlna,beam4,15,12
1h38d_1qlna,beam4,3,13
1h38d_1qlna,beam4,90,14
1h38d_1qlna,beam4,67,15
1h38d_1qlna,beam4,92,16
1k0na_1rk4b,beam4,51,1
1k0na_1rk4b,beam4,72,2
1k0na_1rk4b,beam4,46,3
1k0na_1rk4b,beam4,74,4
1k0na_1rk4b,beam4,13,5
1k0na_1rk4b,beam4,76,6
1k0na_1rk4b,beam4,49,7
1k0na_1rk4b,beam4,94,8
1k0na_1rk4b,beam4,6,9
1k0na_1rk4b,beam4,56,10
1k0na_1rk4b,beam4,60,11
1k0na_1rk4b,beam4,3,12
1k0na_1rk4b,beam4,71,13
1k0na_1rk4b,beam4,90,14
1k0na_1rk4b,beam4,80,15
1k0na_1rk4b,beam4,97,16
1kcta_3t1pa,beam4,40,1
1kcta_3t1pa,beam4,62,2
1kcta_3t1pa,beam4,99,3
1kcta_3t1pa,beam4,94,4
1kcta_3t1pa,beam4,34,5
1kcta_3t1pa,beam4,49,6
1kcta_3t1pa,beam4,96,7
1kcta_3t1pa,beam4,37,8
1kcta_3t1pa,beam4,53,9
1kcta_3t1pa,beam4,25,10
1kcta_3t1pa,beam4,95,11
1kcta_3t1pa,beam4,93,12
1kcta_3t1pa,beam4,54,13
1kcta_3t1pa,beam4,14,14
1kcta_3t1pa,beam4,79,15
1kcta_3t1pa,beam4,47,16
1nqda_1nqjb,beam4,79,1
1nqda_1nqjb,beam4,94,2
1nqda_1nqjb,beam4,96,3
1nqda_1nqjb,beam4,56,4
1nqda_1nqjb,beam4,62,5
1nqda_1nqjb,beam4,3,6
1nqda_1nqjb,beam4,63,7
1nqda_1nqjb,beam4,82,8
1nqda_1nqjb,beam4,39,9
1nqda_1nqjb,beam4,32,10
1nqda_1nqjb,beam4,74,11
1nqda_1nqjb,beam4,58,12
1nqda_1nqjb,beam4,97,13
1nqda_1nqjb,beam4,88,14
1nqda_1nqjb,beam4,29,15
1nqda_1nqjb,beam4,21,16
1nrjb_2gedb,beam4,76,1
1nrjb_2gedb,beam4,41,2
1nrjb_2gedb,beam4,71,3
1nrjb_2gedb,beam4,56,4
1nrjb_2gedb,beam4,51,5
1nrjb_2gedb,beam4,50,6
1nrjb_2gedb,beam4,80,7
1nrjb_2gedb,beam4,62,8
1nrjb_2gedb,beam4,8,9
1nrjb_2gedb,beam4,48,10
1nrjb_2gedb,beam4,77,11
1nrjb_2gedb,beam4,3,12
1nrjb_2gedb,beam4,22,13
1nrjb_2gedb,beam4,10,14
1nrjb_2gedb,beam4,23,15
1nrjb_2gedb,beam4,18,16
1qomb_1noca,beam4,67,1
1qomb_1noca,beam4,93,2
1qomb_1noca,beam4,60,3
1qomb_1noca,beam4,25,4
1qomb_1noca,beam4,37,5
1qomb_1noca,beam4,5,6
1qomb_1noca,beam4,86,7
1qomb_1noca,beam4,52,8
1qomb_1noca,beam4,59,9
1qomb_1noca,beam4,30,10
1qomb_1noca,beam4,34,11
1qomb_1noca,beam4,3,12
1qomb_1noca,beam4,4,13
1qomb_1noca,beam4,14,14
1qomb_1noca,beam4,97,15
1qomb_1noca,beam4,71,16
1qs8b_1miqb,beam4,23,1
1qs8b_1miqb,beam4,91,2
