pair_id,mode,L,split,primary,strict_exact,n_finished,mean_contacts,n_unique_maps,beam_seconds,iid_seconds,time_ratio,fold1_pool,fold2_pool,dual_pool,dual_pool_strict,fold1_blind,fold2_blind,dual_blind,minority_enrichment_pool,minority_enrichment_blind,iid_minority_enrichment_blind,paired_enrichment_delta,iid_fold1_pool,iid_fold2_pool,iid_dual_pool,iid_dual_blind
1xjta_1xjub,beam8,178,dev,True,True,100,77.63,100,39.37259512394667,2.819948503980413,13.962168127670228,True,False,False,False,True,False,False,-0.15,-0.15,-0.1473684210526316,-0.0026315789473684015,True,False,False,False
2frha_1fzpd,beam8,127,dev,True,True,100,56.07,100,23.534853751771152,1.774725432973355,13.261123841754564,True,False,False,False,True,False,False,-0.25396825396825395,-0.25396825396825395,-0.3274672187715666,0.07349896480331264,True,False,False,False
2grmb_2axza,beam8,315,dev,True,False,100,96.8,100,58.61804123874754,6.915925428038463,8.475805855438951,False,False,False,False,False,False,False,0.0,0.0,0.0384615384615384,-0.0384615384615384,True,False,False,False
2h44a_1rkpa,beam8,326,dev,True,False,100,128.71,100,89.64119117893279,7.970624792389572,11.246444728463826,False,True,False,False,False,False,False,0.034274193548387094,-0.0625,0.0685483870967741,-0.1310483870967741,False,True,False,False
2hdma_2n54b,beam8,75,dev,False,False,100,17.59,100,6.5863454937934875,1.0803438578732312,6.096526995358118,False,False,False,False,False,False,False,0.1,0.0,0.1,-0.1,True,True,True,False
3hdea_3hdfa,beam8,165,dev,True,True,100,65.65,100,28.932309386320412,2.351594957988709,12.303270717617913,True,False,False,False,True,False,False,-0.38909090909090904,-0.38909090909090904,-0.4290909090909091,0.040000000000000036,True,False,False,False
3ifaa_5et5a,beam8,326,dev,False,True,100,143.47,100,96.03588927723467,7.960944225953426,12.063379236366039,False,False,False,False,False,False,False,0.0,0.0,0.6,-0.6,True,True,True,False
3jv6a_1zk9a,beam8,110,dev,False,True,100,59.25,100,24.779873177409172,1.9664375099819156,12.60140383389913,True,True,True,True,True,True,True,0.39285714285714285,0.3214285714285714,0.1785714285714285,0.1428571428571429,True,True,True,True
3kdsg_2ce7c,beam8,435,dev,True,False,100,271.04,100,256.1512325052172,9.46423759701429,27.065173489096043,True,False,False,False,True,False,False,-0.25925925925925924,-0.3083333333333333,-0.3324074074074074,0.02407407407407408,True,False,False,False
3t5oa_4a5wb,beam8,897,dev,True,False,100,284.19,100,370.69368334300816,31.73013038886711,11.682702806448926,True,True,True,False,True,False,False,0.1035294117647059,0.010588235294117648,0.2317647058823529,-0.22117647058823525,True,True,True,True
4gqcc_4gqcb,beam8,161,dev,True,True,100,119.82,100,57.96842095348984,2.9711704059736803,19.5102983110432,True,False,False,False,True,False,False,-0.48593350383631717,-0.48593350383631717,-0.4437340153452686,-0.0421994884910486,True,False,False,False
4h2aa_3j9ca,beam8,724,dev,True,True,100,151.06,100,160.1708626067266,25.800713446980808,6.208001299493899,False,False,False,False,False,False,False,0.0,0.0,0.0023809523809523,-0.0023809523809523,False,False,False,False
4nc9c_4n9wa,beam8,376,dev,True,True,100,227.46,100,172.86603542231023,8.05625828896882,21.457360131937456,False,False,False,False,False,False,False,0.047619047619047616,0.047619047619047616,0.0952380952380952,-0.04761904761904759,False,True,False,False
4ow6b_4ae0a,beam8,523,dev,True,False,100,56.4,100,46.06373307202011,15.288592449971476,3.012947936361928,False,False,False,False,False,False,False,0.0,-0.21052631578947367,0.0,-0.21052631578947367,False,True,False,False
4qhfa_4qhha,beam8,109,dev,True,True,100,48.82,100,18.31447589583695,1.86784112098394,9.805157242811564,True,False,False,False,True,False,False,-0.007407407407407404,-0.04444444444444444,0.0888888888888889,-0.13333333333333336,True,False,False,False
4rwna_4rwqb,beam8,349,dev,True,True,100,185.38,100,136.93228230904788,9.03392423200421,15.157563733370933,True,False,False,False,True,False,False,-0.09375,-0.3375,-0.15,-0.18750000000000003,True,False,False,False
4uv2d_4q79f,beam8,235,dev,False,False,100,76.18,100,41.08672905061394,4.494566952984314,9.141421071352172,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,False,False,False,False
4yhdg_7ahle,beam8,293,dev,True,False,100,48.78,100,29.605890220962465,7.033457770012319,4.2092938052730515,False,False,False,False,False,False,False,0.13333333333333333,0.0,0.215819209039548,-0.215819209039548,False,True,False,False
5aoeb_5ly6b,beam8,490,dev,True,False,100,119.93,100,99.89677139930427,15.04754092002986,6.638743960239454,True,False,False,False,True,False,False,-0.0039855072463768106,-0.08043478260869565,-0.0391304347826086,-0.041304347826087044,True,False,False,False
5keqf_1dzla,beam8,473,dev,False,False,100,41.84,100,33.697516485117376,16.009885102976114,2.1047943984840507,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,True,True,True,False
