pair_id,mode,L,split,primary,strict_exact,n_finished,mean_contacts,n_unique_maps,beam_seconds,iid_seconds,time_ratio,fold1_pool,fold2_pool,dual_pool,dual_pool_strict,fold1_blind,fold2_blind,dual_blind,minority_enrichment_pool,minority_enrichment_blind,iid_minority_enrichment_blind,paired_enrichment_delta,iid_fold1_pool,iid_fold2_pool,iid_dual_pool,iid_dual_blind
1h38d_1qlna,beam4,882,test,False,True,100,287.32,100,206.92955923918635,43.79073254205287,4.72541899225981,False,False,False,False,False,False,False,0.0,0.0,0.6666666666666666,-0.6666666666666666,True,True,True,True
1k0na_1rk4b,beam4,229,test,True,False,100,133.81,100,41.70495775016025,4.626808862958569,9.013762829937264,True,False,False,False,True,False,False,-0.19635343618513323,-0.23983169705469848,-0.3702664796633941,0.13043478260869562,True,False,False,False
1kcta_3t1pa,beam4,377,test,True,False,100,284.68,100,117.2933056037873,9.97419690201059,11.759674162853495,False,False,False,False,False,False,False,0.0652281746031746,0.0652281746031746,0.1450892857142857,-0.0798611111111111,True,True,True,False
1nqda_1nqjb,beam4,115,test,False,True,100,82.44,100,18.13320185104385,2.328552725026384,7.787327147955557,True,False,False,False,True,False,False,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,True,False,False,False
1nrjb_2gedb,beam4,191,test,True,True,100,91.54,100,24.64844045927748,3.5871715639950708,6.871274490096106,True,False,False,False,True,False,False,-0.5161290322580645,-0.5806451612903226,-0.6774193548387096,0.09677419354838701,True,False,False,False
1qomb_1noca,beam4,420,test,True,True,100,48.29,100,19.48532125353813,13.08381790999556,1.4892687583684618,False,False,False,False,False,False,False,-0.047619047619047616,0.0,0.0714285714285714,-0.0714285714285714,False,False,False,False
1qs8b_1miqb,beam4,411,test,True,False,100,234.66,100,99.18396050389856,12.487382218707353,7.94273441516918,True,False,False,False,True,False,False,-0.0741687979539642,-0.14705882352941177,0.0562659846547314,-0.20332480818414317,True,True,True,False
1repc_2z9ob,beam4,227,test,True,False,100,192.31,100,65.47065502405167,5.343784419994336,12.251739568513706,True,False,False,False,True,False,False,-0.175,-0.175,-0.2678571428571428,0.0928571428571428,True,False,False,False
1uxmk_2nama,beam4,153,test,True,False,100,76.83,100,17.643767536617815,2.453752843022812,7.190523522687889,True,False,False,False,True,False,False,-0.38095238095238093,-0.38095238095238093,-0.5164502164502165,0.13549783549783556,True,False,False,False
1xjta_1xjub,beam4,178,dev,True,True,100,78.47,100,20.371231886092573,2.819948503980413,7.2239730113291705,True,False,False,False,True,False,False,-0.15,-0.5,-0.1473684210526316,-0.3526315789473684,True,False,False,False
1xnta_3lqca,beam4,152,test,True,True,100,84.6,100,19.60966034885496,2.9217734099947847,6.711560958756881,True,False,False,False,True,False,False,-0.23076923076923078,-0.23076923076923078,-0.4230769230769231,0.1923076923076923,True,False,False,False
2a73b_3l5nb,beam4,982,test,True,True,100,336.52,100,260.90730833495036,54.148780131014064,4.8183413865220945,False,False,False,False,False,False,False,0.023809523809523808,0.0,0.0476190476190476,-0.0476190476190476,False,False,False,False
2c1vb_2c1uc,beam4,335,test,True,True,100,151.79,100,56.24733363511041,6.942346057971008,8.102064225180591,True,False,False,False,False,False,False,0.10638297872340426,0.0851063829787234,0.0397163120567375,0.0453900709219859,True,True,True,False
2frha_1fzpd,beam4,127,dev,True,True,100,55.75,100,15.184487607330084,1.774725432973355,8.55596439044104,True,False,False,False,True,False,False,-0.2222222222222222,-0.23222912353347136,-0.3274672187715666,0.09523809523809523,True,False,False,False
