pair_id,mode,rollout,rank
1xjta_1xjub,beam8,98,1
1xjta_1xjub,beam8,18,2
1xjta_1xjub,beam8,1,3
1xjta_1xjub,beam8,34,4
1xjta_1xjub,beam8,29,5
1xjta_1xjub,beam8,71,6
1xjta_1xjub,beam8,81,7
1xjta_1xjub,beam8,35,8
1xjta_1xjub,beam8,58,9
1xjta_1xjub,beam8,10,10
1xjta_1xjub,beam8,79,11
1xjta_1xjub,beam8,56,12
1xjta_1xjub,beam8,51,13
1xjta_1xjub,beam8,42,14
1xjta_1xjub,beam8,21,15
1xjta_1xjub,beam8,66,16
2frha_1fzpd,beam8,18,1
2frha_1fzpd,beam8,14,2
2frha_1fzpd,beam8,96,3
2frha_1fzpd,beam8,63,4
2frha_1fzpd,beam8,51,5
2frha_1fzpd,beam8,46,6
2frha_1fzpd,beam8,7,7
2frha_1fzpd,beam8,47,8
2frha_1fzpd,beam8,82,9
2frha_1fzpd,beam8,0,10
2frha_1fzpd,beam8,93,11
2frha_1fzpd,beam8,42,12
2frha_1fzpd,beam8,36,13
2frha_1fzpd,beam8,71,14
2frha_1fzpd,beam8,21,15
2frha_1fzpd,beam8,32,16
2grmb_2axza,beam8,24,1
2grmb_2axza,beam8,84,2
2grmb_2axza,beam8,40,3
2grmb_2axza,beam8,66,4
2grmb_2axza,beam8,14,5
2grmb_2axza,beam8,69,6
2grmb_2axza,beam8,45,7
2grmb_2axza,beam8,11,8
2grmb_2axza,beam8,8,9
2grmb_2axza,beam8,82,10
2grmb_2axza,beam8,20,11
2grmb_2axza,beam8,85,12
2grmb_2axza,beam8,44,13
2grmb_2axza,beam8,9,14
2grmb_2axza,beam8,33,15
2grmb_2axza,beam8,53,16
2h44a_1rkpa,beam8,99,1
2h44a_1rkpa,beam8,92,2
2h44a_1rkpa,beam8,6,3
2h44a_1rkpa,beam8,83,4
2h44a_1rkpa,beam8,16,5
2h44a_1rkpa,beam8,22,6
2h44a_1rkpa,beam8,41,7
2h44a_1rkpa,beam8,25,8
2h44a_1rkpa,beam8,15,9
2h44a_1rkpa,beam8,45,10
2h44a_1rkpa,beam8,38,11
2h44a_1rkpa,beam8,34,12
2h44a_1rkpa,beam8,72,13
2h44a_1rkpa,beam8,20,14
2h44a_1rkpa,beam8,36,15
2h44a_1rkpa,beam8,43,16
2hdma_2n54b,beam8,37,1
2hdma_2n54b,beam8,36,2
2hdma_2n54b,beam8,93,3
2hdma_2n54b,beam8,68,4
2hdma_2n54b,beam8,78,5
2hdma_2n54b,beam8,16,6
2hdma_2n54b,beam8,84,7
2hdma_2n54b,beam8,43,8
2hdma_2n54b,beam8,6,9
2hdma_2n54b,beam8,50,10
2hdma_2n54b,beam8,59,11
2hdma_2n54b,beam8,42,12
2hdma_2n54b,beam8,8,13
2hdma_2n54b,beam8,19,14
2hdma_2n54b,beam8,99,15
2hdma_2n54b,beam8,95,16
3hdea_3hdfa,beam8,93,1
3hdea_3hdfa,beam8,5,2
3hdea_3hdfa,beam8,94,3
3hdea_3hdfa,beam8,35,4
3hdea_3hdfa,beam8,90,5
3hdea_3hdfa,beam8,72,6
3hdea_3hdfa,beam8,74,7
3hdea_3hdfa,beam8,19,8
3hdea_3hdfa,beam8,68,9
3hdea_3hdfa,beam8,24,10
3hdea_3hdfa,beam8,20,11
3hdea_3hdfa,beam8,38,12
3hdea_3hdfa,beam8,91,13
3hdea_3hdfa,beam8,4,14
3hdea_3hdfa,beam8,82,15
3hdea_3hdfa,beam8,16,16
3ifaa_5et5a,beam8,85,1
3ifaa_5et5a,beam8,70,2
3ifaa_5et5a,beam8,90,3
3ifaa_5et5a,beam8,3,4
3ifaa_5et5a,beam8,40,5
3ifaa_5et5a,beam8,61,6
3ifaa_5et5a,beam8,33,7
3ifaa_5et5a,beam8,89,8
3ifaa_5et5a,beam8,47,9
3ifaa_5et5a,beam8,0,10
3ifaa_5et5a,beam8,31,11
3ifaa_5et5a,beam8,7,12
3ifaa_5et5a,beam8,44,13
3ifaa_5et5a,beam8,21,14
3ifaa_5et5a,beam8,14,15
3ifaa_5et5a,beam8,23,16
3jv6a_1zk9a,beam8,3,1
3jv6a_1zk9a,beam8,13,2
3jv6a_1zk9a,beam8,68,3
3jv6a_1zk9a,beam8,35,4
3jv6a_1zk9a,beam8,42,5
3jv6a_1zk9a,beam8,5,6
3jv6a_1zk9a,beam8,45,7
3jv6a_1zk9a,beam8,54,8
3jv6a_1zk9a,beam8,93,9
3jv6a_1zk9a,beam8,25,10
3jv6a_1zk9a,beam8,27,11
3jv6a_1zk9a,beam8,73,12
3jv6a_1zk9a,beam8,31,13
3jv6a_1zk9a,beam8,58,14
3jv6a_1zk9a,beam8,60,15
3jv6a_1zk9a,beam8,74,16
3kdsg_2ce7c,beam8,85,1
3kdsg_2ce7c,beam8,61,2
3kdsg_2ce7c,beam8,13,3
3kdsg_2ce7c,beam8,88,4
