stem,residues,tokens,statements,mode,max_position,sequence_nll,structure_nll
8wcf_A,160,811,327,baseline,810,3.4663798809051514,3.0259571075439453
8wcf_A,160,811,327,gap1,810,3.4663798809051514,3.0259571075439453
8wcf_A,160,811,327,shift1024,1834,3.466723680496216,3.0287790298461914
8wcf_A,160,811,327,fixedgap2,1136,3.463623523712158,3.166213035583496
8wcf_A,160,811,327,randgap2,1138,3.732658624649048,3.110970973968506
8wcf_A,160,811,327,fixedgap3,1462,4.049975395202637,3.050248384475708
8wcf_A,160,811,327,randgap3,1460,3.9966955184936523,3.0105197429656982
8wcf_A,160,811,327,fixedgap5,2114,4.4894795417785645,5.477604866027832
8wcf_A,160,811,327,randgap5,2117,4.273779392242432,3.0330910682678223
8wcf_A,160,811,327,gap2,976,3.469141721725464,3.1003715991973877
8wcf_A,160,811,327,gap4,1308,3.9136030673980713,3.072031259536743
8wcf_A,160,811,327,gap8,1958,4.177608013153076,3.519488573074341
8wcf_A,160,811,327,jitter1,812,3.6742541790008545,3.8876750469207764
8wcf_A,160,811,327,jitter4,828,3.9820783138275146,6.347625255584717
8wcf_A,160,811,327,flat,2,7.415988445281982,7.981586456298828
8wcf_A,160,811,327,rope_off,810,6.33704948425293,5.266094207763672
9bks_A,80,390,160,baseline,389,3.079397678375244,2.563291072845459
9bks_A,80,390,160,gap1,389,3.079397678375244,2.563291072845459
9bks_A,80,390,160,shift1024,1413,3.0862863063812256,2.5677802562713623
9bks_A,80,390,160,fixedgap2,548,3.0888803005218506,2.8454525470733643
9bks_A,80,390,160,randgap2,529,3.284372568130493,2.704430341720581
9bks_A,80,390,160,fixedgap3,707,3.426706552505493,2.642488956451416
9bks_A,80,390,160,randgap3,677,3.594241142272949,2.6335155963897705
9bks_A,80,390,160,fixedgap5,1025,4.068071365356445,4.125669002532959
9bks_A,80,390,160,randgap5,964,3.730224609375,2.854109525680542
9bks_A,80,390,160,gap2,461,3.099567413330078,2.7453882694244385
9bks_A,80,390,160,gap4,608,3.401064395904541,2.7509493827819824
9bks_A,80,390,160,gap8,895,3.6733152866363525,2.678493022918701
9bks_A,80,390,160,jitter1,370,3.3582067489624023,3.560743808746338
9bks_A,80,390,160,jitter4,410,3.672499179840088,4.930965423583984
9bks_A,80,390,160,flat,2,8.036251068115234,7.850955963134766
9bks_A,80,390,160,rope_off,389,6.418694972991943,7.499539375305176
