entry_id,gcs_uri,struct_cluster_id,seq_cluster_id,global_plddt,seq_len,split,uniprot_accession,tax_id,organism_name,is_anchor,was_excluded,cluster_size,n_anchors,n_candidates,length_bin,size_bin
AF-A0A0A0IXA0-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A0A0IXA0-F1-model_v4.cif,A0A0A0IXA0,A0A0A0IXA0,92.31,309,train,A0A0A0IXA0,1385518,Knoellia flava TL1,true,false,10,5,5,250-499,<20
AF-A0A0D0L6N6-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A0D0L6N6-F1-model_v4.cif,A0A0A0IXA0,A0A0D0L6N6,92.44,304,train,A0A0D0L6N6,1587522,Rhodococcus sp. MEB064,true,false,10,5,5,250-499,<20
AF-A0A147KKR1-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A147KKR1-F1-model_v4.cif,A0A0A0IXA0,A0A147KKR1,90.06,320,train,A0A147KKR1,665004,Thermobifida cellulosilytica TB100,false,false,10,5,5,250-499,<20
AF-A0A1G9RKJ7-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A1G9RKJ7-F1-model_v4.cif,A0A0A0IXA0,A0A1G9RKJ7,91.94,299,train,A0A1G9RKJ7,211114,Allokutzneria albata,true,false,10,5,5,250-499,<20
AF-A0A1I0SKL5-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A1I0SKL5-F1-model_v4.cif,A0A0A0IXA0,A0A1I0SKL5,92.38,313,train,A0A1I0SKL5,293050,Rhodococcus kroppenstedtii,true,false,10,5,5,250-499,<20
AF-A0A1I5YXU4-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A1I5YXU4-F1-model_v4.cif,A0A0A0IXA0,A0A1I5YXU4,82.06,341,train,A0A1I5YXU4,587909,Amycolatopsis arida,false,false,10,5,5,250-499,<20
AF-A0A1Q4X3G0-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A1Q4X3G0-F1-model_v4.cif,A0A0A0IXA0,A0A1Q4X3G0,91.56,315,train,A0A1Q4X3G0,1718951,Nocardiopsis sp. TSRI0078,true,false,10,5,5,250-499,<20
AF-A0A1Q9LJX9-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A1Q9LJX9-F1-model_v4.cif,A0A0A0IXA0,A0A1Q9LJX9,91.38,294,train,A0A1Q9LJX9,1193682,Actinokineospora bangkokensis,false,false,10,5,5,250-499,<20
AF-A0A841IV32-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A841IV32-F1-model_v4.cif,A0A0A0IXA0,A0A841IV32,90.81,315,train,A0A841IV32,1478215,Nocardiopsis algeriensis,false,false,10,5,5,250-499,<20
AF-A0A8A6RVD8-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A8A6RVD8-F1-model_v4.cif,A0A0A0IXA0,A0A8A6RVD8,88.38,304,train,A0A8A6RVD8,2749906,Rhodococcus sp. ZPP,false,false,10,5,5,250-499,<20
