entry_id,gcs_uri,struct_cluster_id,seq_cluster_id,global_plddt,seq_len,split,uniprot_accession,tax_id,organism_name,is_anchor,was_excluded,cluster_size,n_anchors,n_candidates,length_bin,size_bin,nearest_anchor,nearest_anchor_tm,min_coverage,min_length_ratio,nearest_anchor_core_tm,max_anchor_core_tm,nearest_anchor_ca_jaccard,selected_order,selection_reason
AF-A0A147KKR1-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A147KKR1-F1-model_v4.cif,A0A0A0IXA0,A0A147KKR1,90.06,320,train,A0A147KKR1,665004,Thermobifida cellulosilytica TB100,false,false,10,5,5,250-499,<20,AF-A0A1G9RKJ7-F1,0.953682765617049,0.921875,0.934375,0.953053500132657,0.953053500132657,0.7589285714285714,0,covered_by_training_anchor
AF-A0A1I5YXU4-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A1I5YXU4-F1-model_v4.cif,A0A0A0IXA0,A0A1I5YXU4,82.06,341,train,A0A1I5YXU4,587909,Amycolatopsis arida,false,false,10,5,5,250-499,<20,AF-A0A1G9RKJ7-F1,0.9173256837582306,0.8768328445747801,0.8768328445747801,0.9076441374659032,0.9173330020861187,0.61,0,covered_by_training_anchor
AF-A0A1Q9LJX9-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A1Q9LJX9-F1-model_v4.cif,A0A0A0IXA0,A0A1Q9LJX9,91.38,294,train,A0A1Q9LJX9,1193682,Actinokineospora bangkokensis,false,false,10,5,5,250-499,<20,AF-A0A1G9RKJ7-F1,0.8797638039992156,0.8785942492012779,0.9333333333333333,0.8831840870998761,0.8862032021615089,0.5759717314487632,0,covered_by_training_anchor
AF-A0A841IV32-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A841IV32-F1-model_v4.cif,A0A0A0IXA0,A0A841IV32,90.81,315,train,A0A841IV32,1478215,Nocardiopsis algeriensis,false,false,10,5,5,250-499,<20,AF-A0A1Q4X3G0-F1,0.9534869735981226,0.9238095238095239,0.9492063492063492,0.9671602344195455,0.9671602344195455,0.7996357012750456,0,covered_by_training_anchor
AF-A0A8A6RVD8-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A8A6RVD8-F1-model_v4.cif,A0A0A0IXA0,A0A8A6RVD8,88.38,304,train,A0A8A6RVD8,2749906,Rhodococcus sp. ZPP,false,false,10,5,5,250-499,<20,AF-A0A1I0SKL5-F1,0.915570952430636,0.9396825396825397,0.9650793650793651,0.9521657853264043,0.9521657853264043,0.7070524412296564,0,covered_by_training_anchor
AF-A0A1W1BQI3-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A1W1BQI3-F1-model_v4.cif,A0A0R2V987,A0A1W1BQI3,90.44,396,train,A0A1W1BQI3,652676,hydrothermal vent metagenome,false,false,78,5,64,250-499,20-99,AF-A0A2J6X2F2-F1,0.9313910023866606,0.8253968253968254,0.8979591836734694,0.9501608205982255,0.9501608205982255,0.6773584905660377,0,covered_by_training_anchor
AF-A0A2H0PKF8-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A2H0PKF8-F1-model_v4.cif,A0A0R2V987,A0A2H0PKF8,88.0,423,train,A0A2H0PKF8,1973974,Deltaproteobacteria bacterium CG11_big_fil_rev_8_21_14_0_20_45_16,false,false,78,5,64,250-499,20-99,AF-A0A432R8J5-F1,0.8234769218297543,0.83451536643026,0.9574468085106383,0.8642816497981425,0.8658498759251418,0.5864406779661017,0,covered_by_training_anchor
AF-A0A2Z4FMK9-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A2Z4FMK9-F1-model_v4.cif,A0A0R2V987,A0A2Z4FMK9,83.75,453,train,A0A2Z4FMK9,1548548,Bradymonas sediminis,false,false,78,5,64,250-499,20-99,AF-A0A3M0BZL0-F1,0.8133822816743436,0.8145695364238411,0.8940397350993378,0.8315590897964684,0.8514318991967263,0.6051724137931035,0,covered_by_training_anchor
AF-A0A380CTH2-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A380CTH2-F1-model_v4.cif,A0A0R2V987,A0A380CTH2,87.69,440,train,A0A380CTH2,258,Sphingobacterium spiritivorum,false,false,78,5,64,250-499,20-99,AF-A0A432R8J5-F1,0.8374648865514366,0.8340909090909091,0.9204545454545454,0.852284749323012,0.8606580535799216,0.6589698046181173,0,covered_by_training_anchor
AF-A0A5C7J7C3-F1,gs://public-datasets-deepmind-alphafold-v4/AF-A0A5C7J7C3-F1-model_v4.cif,A0A0R2V987,A0A5C7J7C3,83.5,508,train,A0A5C7J7C3,1898103,Rhodocyclaceae bacterium,false,false,78,5,64,250-499,20-99,AF-A0A2V7VZ70-F1,0.9356675262324604,0.7086614173228346,0.797244094488189,0.9298578896149007,0.9298578896149007,0.7487001733102253,0,coverage_or_length
