model,range,cut,mean_precision
exp120-base,all,AUC,0.9055366207408617
exp120-base,all,L,0.392510687943954
exp120-base,all,L/2,0.5252052329808427
exp120-base,all,L/5,0.6478726116964671
exp120-base,all,R,0.4354105976995025
exp120-base,long,AUC,0.8778023356676675
exp120-base,long,L,0.2453514038785596
exp120-base,long,L/2,0.37137986721827526
exp120-base,long,L/5,0.49277417790036365
exp120-base,long,R,0.37830655664282375
exp120-base,medium,AUC,0.9376490011468147
exp120-base,medium,L,0.16231993675677606
exp120-base,medium,L/2,0.27519011820795264
exp120-base,medium,L/5,0.4602432759306687
exp120-base,medium,R,0.4784041967711736
exp120-base,short,AUC,0.9516329693469558
exp120-base,short,L,0.11540633122397809
exp120-base,short,L/2,0.20830225890593781
exp120-base,short,L/5,0.40280901865699487
exp120-base,short,R,0.5613716662818046
exp175-backtracking,all,AUC,0.9006625815885998
exp175-backtracking,all,L,0.37832544364194615
exp175-backtracking,all,L/2,0.5054541362147029
exp175-backtracking,all,L/5,0.6282222094802808
exp175-backtracking,all,R,0.42009667949947527
exp175-backtracking,long,AUC,0.8730153856726173
exp175-backtracking,long,L,0.23577763207880137
exp175-backtracking,long,L/2,0.35443660973876107
exp175-backtracking,long,L/5,0.4807230372616821
exp175-backtracking,long,R,0.35995310274843967
exp175-backtracking,medium,AUC,0.9325961008898164
exp175-backtracking,medium,L,0.15809396599336198
exp175-backtracking,medium,L/2,0.26851983760999704
exp175-backtracking,medium,L/5,0.4424131036387588
exp175-backtracking,medium,R,0.4577789468427846
exp175-backtracking,short,AUC,0.9464732161602132
exp175-backtracking,short,L,0.11387132587650714
exp175-backtracking,short,L/2,0.20534121243950715
exp175-backtracking,short,L/5,0.39375647953894444
exp175-backtracking,short,R,0.5511248223819946
exp175-clean,all,AUC,0.9042380700185361
exp175-clean,all,L,0.387319658544144
exp175-clean,all,L/2,0.5189112700595852
exp175-clean,all,L/5,0.6437024080048251
exp175-clean,all,R,0.4291176127786355
exp175-clean,long,AUC,0.8766751644477587
exp175-clean,long,L,0.24157723804555276
exp175-clean,long,L/2,0.36263700161408613
exp175-clean,long,L/5,0.4891635276609004
exp175-clean,long,R,0.36983615780444085
exp175-clean,medium,AUC,0.9372252185484085
exp175-clean,medium,L,0.16078611641472923
exp175-clean,medium,L/2,0.2733153054022917
exp175-clean,medium,L/5,0.45204271177748573
exp175-clean,medium,R,0.4698060337818012
exp175-clean,short,AUC,0.9495334605826767
exp175-clean,short,L,0.11500282658866623
exp175-clean,short,L/2,0.20628632989572926
exp175-clean,short,L/5,0.4020674628839963
exp175-clean,short,R,0.5625622892578552
