dataset,stem,arm,readout,precision,reference_precision,n_repeats,L,n_true,delta
foldbench_monomer,7pv5_A,pred_large,source_plus_complete_document,0.796875,0.78125,2,81,64,0.015625
foldbench_monomer,7pv5_A,pred_large,source_plus_continuation,0.796875,0.78125,2,81,64,0.015625
foldbench_monomer,7pv5_A,pred_small,source_plus_complete_document,0.8046875,0.78125,2,81,64,0.0234375
foldbench_monomer,7pv5_A,pred_small,source_plus_continuation,0.8046875,0.78125,2,81,64,0.0234375
foldbench_monomer,7qp5_A,pred_large,source_plus_complete_document,0.45020746887966806,0.446058091286307,2,245,241,0.004149377593361037
foldbench_monomer,7qp5_A,pred_large,source_plus_continuation,0.45020746887966806,0.446058091286307,2,245,241,0.004149377593361037
foldbench_monomer,7qp5_A,pred_small,source_plus_complete_document,0.44190871369294604,0.446058091286307,2,245,241,-0.004149377593360981
foldbench_monomer,7qp5_A,pred_small,source_plus_continuation,0.44190871369294604,0.446058091286307,2,245,241,-0.004149377593360981
foldbench_monomer,7qsj_A,pred_large,source_plus_complete_document,0.6512968299711817,0.6642651296829971,2,373,347,-0.012968299711815456
foldbench_monomer,7qsj_A,pred_large,source_plus_continuation,0.6512968299711817,0.6642651296829971,2,373,347,-0.012968299711815456
foldbench_monomer,7qsj_A,pred_small,source_plus_complete_document,0.6671469740634006,0.6642651296829971,2,373,347,0.0028818443804035088
foldbench_monomer,7qsj_A,pred_small,source_plus_continuation,0.6671469740634006,0.6642651296829971,2,373,347,0.0028818443804035088
foldbench_monomer,7t9r_A,pred_large,source_plus_complete_document,0.16666666666666666,0.1875,2,38,24,-0.020833333333333343
foldbench_monomer,7t9r_A,pred_large,source_plus_continuation,0.10416666666666666,0.1875,2,38,24,-0.08333333333333334
foldbench_monomer,7t9r_A,pred_small,source_plus_complete_document,0.1875,0.1875,2,38,24,0.0
foldbench_monomer,7t9r_A,pred_small,source_plus_continuation,0.1875,0.1875,2,38,24,0.0
foldbench_monomer,7tjb_A,pred_large,source_plus_complete_document,0.7238805970149254,0.708955223880597,2,227,201,0.014925373134328401
foldbench_monomer,7tjb_A,pred_large,source_plus_continuation,0.7238805970149254,0.708955223880597,2,227,201,0.014925373134328401
foldbench_monomer,7tjb_A,pred_small,source_plus_complete_document,0.7114427860696517,0.708955223880597,2,227,201,0.0024875621890547706
foldbench_monomer,7tjb_A,pred_small,source_plus_continuation,0.7114427860696517,0.708955223880597,2,227,201,0.0024875621890547706
foldbench_monomer,7tlh_A,pred_large,source_plus_complete_document,0.33771929824561403,0.36403508771929827,2,136,114,-0.026315789473684237
foldbench_monomer,7tlh_A,pred_large,source_plus_continuation,0.33771929824561403,0.36403508771929827,2,136,114,-0.026315789473684237
foldbench_monomer,7tlh_A,pred_small,source_plus_complete_document,0.35526315789473684,0.36403508771929827,2,136,114,-0.00877192982456143
foldbench_monomer,7tlh_A,pred_small,source_plus_continuation,0.35526315789473684,0.36403508771929827,2,136,114,-0.00877192982456143
foldbench_monomer,7uba_A,pred_large,source_plus_complete_document,0.22596153846153846,0.22836538461538464,2,213,208,-0.002403846153846173
foldbench_monomer,7uba_A,pred_large,source_plus_continuation,0.22596153846153846,0.22836538461538464,2,213,208,-0.002403846153846173
foldbench_monomer,7uba_A,pred_small,source_plus_complete_document,0.22836538461538464,0.22836538461538464,2,213,208,0.0
