dataset,stem,arm,range,mode,L,n_true,n_rollouts,n_short_rollouts,n_empty_rollouts,oracle_legacy,oracle_fixed_R,mean_legacy,mean_fixed_R
foldbench_monomer,7pv5_A,iid,all,full,81,64,100,35,0,0.8103448275862069,0.75,0.6549634356130143,0.64203125
foldbench_monomer,7pv5_A,iid,all,continuation,81,64,100,35,0,0.8103448275862069,0.75,0.6549634356130143,0.64203125
foldbench_monomer,7pv5_A,iid,long,full,81,41,100,25,0,0.8378378378378378,0.7804878048780488,0.6375484610505753,0.626341463414634
foldbench_monomer,7pv5_A,iid,long,continuation,81,41,100,25,0,0.8378378378378378,0.7804878048780488,0.6375484610505753,0.626341463414634
foldbench_monomer,7qp5_A,iid,all,full,245,241,100,34,0,0.34439834024896265,0.34439834024896265,0.21641664807224095,0.21107883817427386
foldbench_monomer,7qp5_A,iid,all,continuation,245,241,100,34,0,0.34439834024896265,0.34439834024896265,0.21641664807224095,0.21107883817427386
foldbench_monomer,7qp5_A,iid,long,full,245,165,100,45,0,0.3575757575757576,0.3575757575757576,0.20507040864436432,0.1966060606060606
foldbench_monomer,7qp5_A,iid,long,continuation,245,165,100,45,0,0.3575757575757576,0.3575757575757576,0.20507040864436432,0.1966060606060606
foldbench_monomer,7qsj_A,iid,all,full,373,347,100,11,0,0.5965417867435159,0.5965417867435159,0.4627454264160841,0.4620749279538906
foldbench_monomer,7qsj_A,iid,all,continuation,373,347,100,11,0,0.5965417867435159,0.5965417867435159,0.4627454264160841,0.4620749279538906
foldbench_monomer,7qsj_A,iid,long,full,373,226,100,7,0,0.5752212389380531,0.5752212389380531,0.434305693346868,0.43362831858407086
foldbench_monomer,7qsj_A,iid,long,continuation,373,226,100,7,0,0.5752212389380531,0.5752212389380531,0.434305693346868,0.43362831858407086
foldbench_monomer,7t9r_A,iid,all,full,38,24,100,18,0,0.3333333333333333,0.3333333333333333,0.11433055910004358,0.10916666666666669
foldbench_monomer,7t9r_A,iid,all,continuation,38,24,100,18,0,0.3333333333333333,0.3333333333333333,0.11433055910004358,0.10916666666666669
foldbench_monomer,7t9r_A,iid,long,full,38,7,100,78,12,0.6666666666666666,0.2857142857142857,0.06664285714285714,0.047142857142857146
foldbench_monomer,7t9r_A,iid,long,continuation,38,7,100,78,12,0.6666666666666666,0.2857142857142857,0.06664285714285714,0.047142857142857146
foldbench_monomer,7tjb_A,iid,all,full,227,201,100,5,0,0.6567164179104478,0.6567164179104478,0.5800380811598757,0.5795522388059702
foldbench_monomer,7tjb_A,iid,all,continuation,227,201,100,5,0,0.6567164179104478,0.6567164179104478,0.5800380811598757,0.5795522388059702
foldbench_monomer,7tjb_A,iid,long,full,227,134,100,13,0,0.671875,0.6567164179104478,0.5674742549178842,0.5648507462686567
foldbench_monomer,7tjb_A,iid,long,continuation,227,134,100,13,0,0.671875,0.6567164179104478,0.5674742549178842,0.5648507462686567
foldbench_monomer,7tlh_A,iid,all,full,136,114,100,78,0,0.4563106796116505,0.41228070175438597,0.2636399215602314,0.24008771929824563
foldbench_monomer,7tlh_A,iid,all,continuation,136,114,100,78,0,0.4563106796116505,0.41228070175438597,0.2636399215602314,0.24008771929824563
foldbench_monomer,7tlh_A,iid,long,full,136,77,100,54,0,0.43661971830985913,0.4025974025974026,0.248278268015751,0.2316883116883117
foldbench_monomer,7tlh_A,iid,long,continuation,136,77,100,54,0,0.43661971830985913,0.4025974025974026,0.248278268015751,0.2316883116883117
foldbench_monomer,7uba_A,iid,all,full,213,208,100,89,0,0.35789473684210527,0.20673076923076922,0.13470518632798417,0.10721153846153847
foldbench_monomer,7uba_A,iid,all,continuation,213,208,100,89,0,0.35789473684210527,0.20673076923076922,0.13470518632798417,0.10721153846153847
foldbench_monomer,7uba_A,iid,long,full,213,137,100,95,0,0.34782608695652173,0.12408759124087591,0.07982245925220563,0.04919708029197079
foldbench_monomer,7uba_A,iid,long,continuation,213,137,100,95,0,0.34782608695652173,0.12408759124087591,0.07982245925220563,0.04919708029197079
foldbench_monomer,7uk8_A,iid,all,full,394,526,100,84,0,0.4523809523809524,0.43346007604562736,0.36183440302625186,0.34674904942965773
foldbench_monomer,7uk8_A,iid,all,continuation,394,526,100,84,0,0.4523809523809524,0.43346007604562736,0.36183440302625186,0.34674904942965773
foldbench_monomer,7uk8_A,iid,long,full,394,398,100,90,0,0.47277936962750716,0.41457286432160806,0.3570178455945946,0.3347989949748744
foldbench_monomer,7uk8_A,iid,long,continuation,394,398,100,90,0,0.47277936962750716,0.41457286432160806,0.3570178455945946,0.3347989949748744
foldbench_monomer,7ur2_A,iid,all,full,195,137,100,50,0,0.38686131386861317,0.38686131386861317,0.17935960391827988,0.16751824817518252
foldbench_monomer,7ur2_A,iid,all,continuation,195,137,100,50,0,0.38686131386861317,0.38686131386861317,0.17935960391827988,0.16751824817518252
foldbench_monomer,7ur2_A,iid,long,full,195,112,100,66,0,0.39805825242718446,0.38392857142857145,0.18282995138084854,0.16053571428571428
foldbench_monomer,7ur2_A,iid,long,continuation,195,112,100,66,0,0.39805825242718446,0.38392857142857145,0.18282995138084854,0.16053571428571428
foldbench_monomer,7urp_A,iid,all,full,160,134,100,38,0,0.45384615384615384,0.44029850746268656,0.31857953415806295,0.31
foldbench_monomer,7urp_A,iid,all,continuation,160,134,100,38,0,0.45384615384615384,0.44029850746268656,0.31857953415806295,0.31
foldbench_monomer,7urp_A,iid,long,full,160,98,100,37,0,0.532608695652174,0.5102040816326531,0.3636266462693238,0.35285714285714276
foldbench_monomer,7urp_A,iid,long,continuation,160,98,100,37,0,0.532608695652174,0.5102040816326531,0.3636266462693238,0.35285714285714276
foldbench_monomer,7uvg_A,iid,all,full,183,178,100,88,0,0.4409448818897638,0.3707865168539326,0.24791191293973136,0.2167977528089888
foldbench_monomer,7uvg_A,iid,all,continuation,183,178,100,88,0,0.4409448818897638,0.3707865168539326,0.24791191293973136,0.2167977528089888
foldbench_monomer,7uvg_A,iid,long,full,183,128,100,82,0,0.4519230769230769,0.390625,0.27353855240228153,0.23953125
foldbench_monomer,7uvg_A,iid,long,continuation,183,128,100,82,0,0.4519230769230769,0.390625,0.27353855240228153,0.23953125
foldbench_monomer,7uww_A,iid,all,full,635,693,100,43,0,0.3118594436310395,0.30735930735930733,0.2405482294976812,0.2368686868686868
foldbench_monomer,7uww_A,iid,all,continuation,635,693,100,43,0,0.3118594436310395,0.30735930735930733,0.2405482294976812,0.2368686868686868
foldbench_monomer,7uww_A,iid,long,full,635,474,100,59,0,0.27654867256637167,0.26371308016877637,0.19797955026415423,0.19172995780590715
foldbench_monomer,7uww_A,iid,long,continuation,635,474,100,59,0,0.27654867256637167,0.26371308016877637,0.19797955026415423,0.19172995780590715
foldbench_monomer,7v3o_A,iid,all,full,328,272,100,13,0,0.29411764705882354,0.29411764705882354,0.20729917950816346,0.20636029411764703
foldbench_monomer,7v3o_A,iid,all,continuation,328,272,100,13,0,0.29411764705882354,0.29411764705882354,0.20729917950816346,0.20636029411764703
foldbench_monomer,7v3o_A,iid,long,full,328,187,100,2,0,0.31016042780748665,0.31016042780748665,0.20153932142965048,0.2013368983957219
foldbench_monomer,7v3o_A,iid,long,continuation,328,187,100,2,0,0.31016042780748665,0.31016042780748665,0.20153932142965048,0.2013368983957219
foldbench_monomer,7w15_A,iid,all,full,302,303,100,36,0,0.6224489795918368,0.6039603960396039,0.5188256217469192,0.5130033003300329
foldbench_monomer,7w15_A,iid,all,continuation,302,303,100,36,0,0.6224489795918368,0.6039603960396039,0.5188256217469192,0.5130033003300329
foldbench_monomer,7w15_A,iid,long,full,302,197,100,28,0,0.5989847715736041,0.5989847715736041,0.5072779432029936,0.5023857868020305
foldbench_monomer,7w15_A,iid,long,continuation,302,197,100,28,0,0.5989847715736041,0.5989847715736041,0.5072779432029936,0.5023857868020305
foldbench_monomer,7wz5_A,iid,all,full,161,113,100,59,0,0.08433734939759036,0.07079646017699115,0.026205195433363252,0.022389380530973453
foldbench_monomer,7wz5_A,iid,all,continuation,161,113,100,59,0,0.08433734939759036,0.07079646017699115,0.026205195433363252,0.022389380530973453
foldbench_monomer,7wz5_A,iid,long,full,161,103,100,94,0,0.11666666666666667,0.08737864077669903,0.022680426294622767,0.01553398058252427
foldbench_monomer,7wz5_A,iid,long,continuation,161,103,100,94,0,0.11666666666666667,0.08737864077669903,0.022680426294622767,0.01553398058252427
foldbench_monomer,7wzm_A,iid,all,full,492,456,100,80,0,0.6868932038834952,0.6754385964912281,0.6270152427499532,0.6082456140350877
foldbench_monomer,7wzm_A,iid,all,continuation,492,456,100,80,0,0.6868932038834952,0.6754385964912281,0.6270152427499532,0.6082456140350877
foldbench_monomer,7wzm_A,iid,long,full,492,335,100,83,0,0.6879194630872483,0.6746268656716418,0.6246114689610383,0.6013134328358208
foldbench_monomer,7wzm_A,iid,long,continuation,492,335,100,83,0,0.6879194630872483,0.6746268656716418,0.6246114689610383,0.6013134328358208
foldbench_monomer,7x3h_A,iid,all,full,290,296,100,34,0,0.6072727272727273,0.5777027027027027,0.5073659220046848,0.5011486486486486
foldbench_monomer,7x3h_A,iid,all,continuation,290,296,100,34,0,0.6072727272727273,0.5777027027027027,0.5073659220046848,0.5011486486486486
foldbench_monomer,7x3h_A,iid,long,full,290,196,100,28,0,0.5989304812834224,0.5714285714285714,0.4843529430209888,0.4789795918367347
foldbench_monomer,7x3h_A,iid,long,continuation,290,196,100,28,0,0.5989304812834224,0.5714285714285714,0.4843529430209888,0.4789795918367347
foldbench_monomer,7x4p_A,iid,all,full,307,333,100,28,0,0.48534201954397393,0.4624624624624625,0.369223518890174,0.3653753753753753
foldbench_monomer,7x4p_A,iid,all,continuation,307,333,100,28,0,0.48534201954397393,0.4624624624624625,0.369223518890174,0.3653753753753753
foldbench_monomer,7x4p_A,iid,long,full,307,241,100,57,0,0.485,0.4605809128630705,0.3664616518292651,0.35356846473029047
foldbench_monomer,7x4p_A,iid,long,continuation,307,241,100,57,0,0.485,0.4605809128630705,0.3664616518292651,0.35356846473029047
foldbench_monomer,7x8l_A,iid,all,full,514,580,100,66,0,0.4493927125506073,0.4413793103448276,0.37638611813522993,0.3617068965517241
foldbench_monomer,7x8l_A,iid,all,continuation,514,580,100,66,0,0.4493927125506073,0.4413793103448276,0.37638611813522993,0.3617068965517241
foldbench_monomer,7x8l_A,iid,long,full,514,440,100,69,0,0.457002457002457,0.4340909090909091,0.37909446328411933,0.35974999999999996
foldbench_monomer,7x8l_A,iid,long,continuation,514,440,100,69,0,0.457002457002457,0.4340909090909091,0.37909446328411933,0.35974999999999996
foldbench_monomer,7xcd_A,iid,all,full,178,148,100,30,0,0.16216216216216217,0.16216216216216217,0.07555277271887773,0.07344594594594596
foldbench_monomer,7xcd_A,iid,all,continuation,178,148,100,30,0,0.16216216216216217,0.16216216216216217,0.07555277271887773,0.07344594594594596
foldbench_monomer,7xcd_A,iid,long,full,178,103,100,30,0,0.1650485436893204,0.1650485436893204,0.05837446138723127,0.05621359223300971
foldbench_monomer,7xcd_A,iid,long,continuation,178,103,100,30,0,0.1650485436893204,0.1650485436893204,0.05837446138723127,0.05621359223300971
foldbench_monomer,7xg9_A,iid,all,full,288,241,100,79,0,0.37850467289719625,0.3360995850622407,0.2398651797322668,0.21593360995850616
foldbench_monomer,7xg9_A,iid,all,continuation,288,241,100,79,0,0.37850467289719625,0.3360995850622407,0.2398651797322668,0.21593360995850616
foldbench_monomer,7xg9_A,iid,long,full,288,201,100,89,0,0.38926174496644295,0.3333333333333333,0.24627827179415168,0.19820895522388052
foldbench_monomer,7xg9_A,iid,long,continuation,288,201,100,89,0,0.38926174496644295,0.3333333333333333,0.24627827179415168,0.19820895522388052
foldbench_monomer,7xi5_A,iid,all,full,65,42,100,29,0,0.8333333333333334,0.8095238095238095,0.7060621286728478,0.6914285714285717
foldbench_monomer,7xi5_A,iid,all,continuation,65,42,100,29,0,0.8333333333333334,0.8095238095238095,0.7060621286728478,0.6914285714285717
foldbench_monomer,7xi5_A,iid,long,full,65,23,100,56,0,0.9375,0.8260869565217391,0.6825369480189274,0.6321739130434784
foldbench_monomer,7xi5_A,iid,long,continuation,65,23,100,56,0,0.9375,0.8260869565217391,0.6825369480189274,0.6321739130434784
foldbench_monomer,7xjr_A,iid,all,full,337,354,100,72,0,0.543859649122807,0.5310734463276836,0.45266206375554213,0.4389265536723163
foldbench_monomer,7xjr_A,iid,all,continuation,337,354,100,72,0,0.543859649122807,0.5310734463276836,0.45266206375554213,0.4389265536723163
foldbench_monomer,7xjr_A,iid,long,full,337,275,100,77,0,0.588495575221239,0.5418181818181819,0.4647445366219787,0.44447272727272735
