stem,n_residues,n_pairs,mode,elapsed_seconds,timing_unit,chunk_size,n_rollouts,model_nickname,runner_tag,hostname,platform,source,timestamp_utc,gpu_name,gpu_total_memory_gb,gpu_compute_capability,torch_version
7t9r_A,38,703,iid,21.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7yhr_A,60,1770,iid,21.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7xi5_A,65,2080,iid,21.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8b6e_A,66,2145,iid,21.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8b2g_A,74,2701,iid,21.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7pv5_A,81,3240,iid,21.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7xp9_A,84,3486,iid,21.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8eb9_A,95,4465,iid,21.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7y8i_A,97,4656,iid,36.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7y54_A,100,4950,iid,36.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7y8h_A,100,4950,iid,36.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7y5j_A,102,5151,iid,36.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7ykm_A,105,5460,iid,36.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7y5r_A,105,5460,iid,36.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7yug_A,118,6903,iid,36.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8bgb_A,131,8515,iid,36.9,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7zu3_A,132,8646,iid,60.7,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7zv1_A,136,9180,iid,60.7,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
7tlh_A,136,9180,iid,60.7,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8b2e_A,143,10153,iid,60.7,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
8dp9_A,148,10878,iid,60.7,chunk,8,100,contacts-v1-exp232-m2-p06-1.5B,local,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,run_log,2026-08-21T17:56:02.434901+00:00,NVIDIA RTX A5000,23.68,8.6,2.10.0+cu128
