dataset,stem,K,comparison,value,reference,delta
foldbench_monomer,7t9r_A,2,cluster_oracle_vs_pooled,0.2916666666666667,0.1666666666666666,0.12500000000000008
foldbench_monomer,7t9r_A,2,cluster_oracle_with_pooled_vs_pooled,0.2916666666666667,0.1666666666666666,0.12500000000000008
foldbench_monomer,7t9r_A,2,cluster_oracle_vs_random_oracle,0.2916666666666667,0.25,0.041666666666666685
foldbench_monomer,7t9r_A,3,cluster_oracle_vs_pooled,0.2916666666666667,0.1666666666666666,0.12500000000000008
foldbench_monomer,7t9r_A,3,cluster_oracle_with_pooled_vs_pooled,0.2916666666666667,0.1666666666666666,0.12500000000000008
foldbench_monomer,7t9r_A,3,cluster_oracle_vs_random_oracle,0.2916666666666667,0.25,0.041666666666666685
foldbench_monomer,7t9r_A,5,cluster_oracle_vs_pooled,0.2916666666666667,0.1666666666666666,0.12500000000000008
foldbench_monomer,7t9r_A,5,cluster_oracle_with_pooled_vs_pooled,0.2916666666666667,0.1666666666666666,0.12500000000000008
foldbench_monomer,7t9r_A,5,cluster_oracle_vs_random_oracle,0.2916666666666667,0.2083333333333333,0.0833333333333334
foldbench_monomer,7t9r_A,10,cluster_oracle_vs_pooled,0.3333333333333333,0.1666666666666666,0.1666666666666667
foldbench_monomer,7t9r_A,10,cluster_oracle_with_pooled_vs_pooled,0.3333333333333333,0.1666666666666666,0.1666666666666667
foldbench_monomer,7t9r_A,10,cluster_oracle_vs_random_oracle,0.3333333333333333,0.25,0.08333333333333331
foldbench_monomer,7t9r_A,20,cluster_oracle_vs_pooled,0.2916666666666667,0.1666666666666666,0.12500000000000008
foldbench_monomer,7t9r_A,20,cluster_oracle_with_pooled_vs_pooled,0.2916666666666667,0.1666666666666666,0.12500000000000008
foldbench_monomer,7t9r_A,20,cluster_oracle_vs_random_oracle,0.2916666666666667,0.2916666666666667,0.0
foldbench_monomer,7yhr_A,2,cluster_oracle_vs_pooled,0.3902439024390244,0.3902439024390244,0.0
foldbench_monomer,7yhr_A,2,cluster_oracle_with_pooled_vs_pooled,0.3902439024390244,0.3902439024390244,0.0
foldbench_monomer,7yhr_A,2,cluster_oracle_vs_random_oracle,0.3902439024390244,0.4390243902439024,-0.04878048780487798
foldbench_monomer,7yhr_A,3,cluster_oracle_vs_pooled,0.4146341463414634,0.3902439024390244,0.02439024390243899
foldbench_monomer,7yhr_A,3,cluster_oracle_with_pooled_vs_pooled,0.4146341463414634,0.3902439024390244,0.02439024390243899
foldbench_monomer,7yhr_A,3,cluster_oracle_vs_random_oracle,0.4146341463414634,0.4390243902439024,-0.02439024390243899
foldbench_monomer,7yhr_A,5,cluster_oracle_vs_pooled,0.4146341463414634,0.3902439024390244,0.02439024390243899
foldbench_monomer,7yhr_A,5,cluster_oracle_with_pooled_vs_pooled,0.4146341463414634,0.3902439024390244,0.02439024390243899
foldbench_monomer,7yhr_A,5,cluster_oracle_vs_random_oracle,0.4146341463414634,0.4634146341463415,-0.04878048780487809
foldbench_monomer,7yhr_A,10,cluster_oracle_vs_pooled,0.4146341463414634,0.3902439024390244,0.02439024390243899
foldbench_monomer,7yhr_A,10,cluster_oracle_with_pooled_vs_pooled,0.4146341463414634,0.3902439024390244,0.02439024390243899
foldbench_monomer,7yhr_A,10,cluster_oracle_vs_random_oracle,0.4146341463414634,0.4634146341463415,-0.04878048780487809
foldbench_monomer,7yhr_A,20,cluster_oracle_vs_pooled,0.4634146341463415,0.3902439024390244,0.07317073170731708
foldbench_monomer,7yhr_A,20,cluster_oracle_with_pooled_vs_pooled,0.4634146341463415,0.3902439024390244,0.07317073170731708
foldbench_monomer,7yhr_A,20,cluster_oracle_vs_random_oracle,0.4634146341463415,0.4634146341463415,0.0
foldbench_monomer,7xi5_A,2,cluster_oracle_vs_pooled,0.7619047619047619,0.7619047619047619,0.0
foldbench_monomer,7xi5_A,2,cluster_oracle_with_pooled_vs_pooled,0.7619047619047619,0.7619047619047619,0.0
foldbench_monomer,7xi5_A,2,cluster_oracle_vs_random_oracle,0.7619047619047619,0.7857142857142857,-0.023809523809523836
foldbench_monomer,7xi5_A,3,cluster_oracle_vs_pooled,0.7857142857142857,0.7619047619047619,0.023809523809523836
foldbench_monomer,7xi5_A,3,cluster_oracle_with_pooled_vs_pooled,0.7857142857142857,0.7619047619047619,0.023809523809523836
foldbench_monomer,7xi5_A,3,cluster_oracle_vs_random_oracle,0.7857142857142857,0.8095238095238095,-0.023809523809523836
foldbench_monomer,7xi5_A,5,cluster_oracle_vs_pooled,0.8333333333333334,0.7619047619047619,0.07142857142857151
foldbench_monomer,7xi5_A,5,cluster_oracle_with_pooled_vs_pooled,0.8333333333333334,0.7619047619047619,0.07142857142857151
foldbench_monomer,7xi5_A,5,cluster_oracle_vs_random_oracle,0.8333333333333334,0.7857142857142857,0.04761904761904767
foldbench_monomer,7xi5_A,10,cluster_oracle_vs_pooled,0.8095238095238095,0.7619047619047619,0.04761904761904767
foldbench_monomer,7xi5_A,10,cluster_oracle_with_pooled_vs_pooled,0.8095238095238095,0.7619047619047619,0.04761904761904767
foldbench_monomer,7xi5_A,10,cluster_oracle_vs_random_oracle,0.8095238095238095,0.8095238095238095,0.0
foldbench_monomer,7xi5_A,20,cluster_oracle_vs_pooled,0.7857142857142857,0.7619047619047619,0.023809523809523836
foldbench_monomer,7xi5_A,20,cluster_oracle_with_pooled_vs_pooled,0.7857142857142857,0.7619047619047619,0.023809523809523836
foldbench_monomer,7xi5_A,20,cluster_oracle_vs_random_oracle,0.7857142857142857,0.8571428571428571,-0.0714285714285714
foldbench_monomer,8b6e_A,2,cluster_oracle_vs_pooled,0.7954545454545454,0.7954545454545454,0.0
foldbench_monomer,8b6e_A,2,cluster_oracle_with_pooled_vs_pooled,0.7954545454545454,0.7954545454545454,0.0
foldbench_monomer,8b6e_A,2,cluster_oracle_vs_random_oracle,0.7954545454545454,0.8181818181818182,-0.022727272727272818
foldbench_monomer,8b6e_A,3,cluster_oracle_vs_pooled,0.7954545454545454,0.7954545454545454,0.0
foldbench_monomer,8b6e_A,3,cluster_oracle_with_pooled_vs_pooled,0.7954545454545454,0.7954545454545454,0.0
foldbench_monomer,8b6e_A,3,cluster_oracle_vs_random_oracle,0.7954545454545454,0.7954545454545454,0.0
foldbench_monomer,8b6e_A,5,cluster_oracle_vs_pooled,0.7727272727272727,0.7954545454545454,-0.022727272727272707
foldbench_monomer,8b6e_A,5,cluster_oracle_with_pooled_vs_pooled,0.7954545454545454,0.7954545454545454,0.0
foldbench_monomer,8b6e_A,5,cluster_oracle_vs_random_oracle,0.7727272727272727,0.8181818181818182,-0.045454545454545525
foldbench_monomer,8b6e_A,10,cluster_oracle_vs_pooled,0.7727272727272727,0.7954545454545454,-0.022727272727272707
foldbench_monomer,8b6e_A,10,cluster_oracle_with_pooled_vs_pooled,0.7954545454545454,0.7954545454545454,0.0
foldbench_monomer,8b6e_A,10,cluster_oracle_vs_random_oracle,0.7727272727272727,0.7954545454545454,-0.022727272727272707
foldbench_monomer,8b6e_A,20,cluster_oracle_vs_pooled,0.8181818181818182,0.7954545454545454,0.022727272727272818
foldbench_monomer,8b6e_A,20,cluster_oracle_with_pooled_vs_pooled,0.8181818181818182,0.7954545454545454,0.022727272727272818
foldbench_monomer,8b6e_A,20,cluster_oracle_vs_random_oracle,0.8181818181818182,0.8409090909090909,-0.022727272727272707
foldbench_monomer,8b2g_A,2,cluster_oracle_vs_pooled,0.711864406779661,0.7288135593220338,-0.016949152542372836
foldbench_monomer,8b2g_A,2,cluster_oracle_with_pooled_vs_pooled,0.7288135593220338,0.7288135593220338,0.0
foldbench_monomer,8b2g_A,2,cluster_oracle_vs_random_oracle,0.711864406779661,0.711864406779661,0.0
foldbench_monomer,8b2g_A,3,cluster_oracle_vs_pooled,0.7288135593220338,0.7288135593220338,0.0
foldbench_monomer,8b2g_A,3,cluster_oracle_with_pooled_vs_pooled,0.7288135593220338,0.7288135593220338,0.0
foldbench_monomer,8b2g_A,3,cluster_oracle_vs_random_oracle,0.7288135593220338,0.711864406779661,0.016949152542372836
foldbench_monomer,8b2g_A,5,cluster_oracle_vs_pooled,0.711864406779661,0.7288135593220338,-0.016949152542372836
foldbench_monomer,8b2g_A,5,cluster_oracle_with_pooled_vs_pooled,0.7288135593220338,0.7288135593220338,0.0
foldbench_monomer,8b2g_A,5,cluster_oracle_vs_random_oracle,0.711864406779661,0.711864406779661,0.0
foldbench_monomer,8b2g_A,10,cluster_oracle_vs_pooled,0.7457627118644068,0.7288135593220338,0.016949152542372947
foldbench_monomer,8b2g_A,10,cluster_oracle_with_pooled_vs_pooled,0.7457627118644068,0.7288135593220338,0.016949152542372947
foldbench_monomer,8b2g_A,10,cluster_oracle_vs_random_oracle,0.7457627118644068,0.7288135593220338,0.016949152542372947
foldbench_monomer,8b2g_A,20,cluster_oracle_vs_pooled,0.7288135593220338,0.7288135593220338,0.0
foldbench_monomer,8b2g_A,20,cluster_oracle_with_pooled_vs_pooled,0.7288135593220338,0.7288135593220338,0.0
foldbench_monomer,8b2g_A,20,cluster_oracle_vs_random_oracle,0.7288135593220338,0.711864406779661,0.016949152542372836
foldbench_monomer,7pv5_A,2,cluster_oracle_vs_pooled,0.78125,0.796875,-0.015625
foldbench_monomer,7pv5_A,2,cluster_oracle_with_pooled_vs_pooled,0.796875,0.796875,0.0
foldbench_monomer,7pv5_A,2,cluster_oracle_vs_random_oracle,0.78125,0.796875,-0.015625
