dataset,stem,L,mean_jaccard,single,average_oracle@2,average_mean@2,average_largest@2,average_largest_size@2,average_oracle@3,average_mean@3,average_largest@3,average_largest_size@3,average_oracle@5,average_mean@5,average_largest@5,average_largest_size@5,average_oracle@10,average_mean@10,average_largest@10,average_largest_size@10,average_oracle@20,average_mean@20,average_largest@20,average_largest_size@20,kmeans_oracle@2,kmeans_mean@2,kmeans_largest@2,kmeans_largest_size@2,kmeans_oracle@3,kmeans_mean@3,kmeans_largest@3,kmeans_largest_size@3,kmeans_oracle@5,kmeans_mean@5,kmeans_largest@5,kmeans_largest_size@5,kmeans_oracle@10,kmeans_mean@10,kmeans_largest@10,kmeans_largest_size@10,kmeans_oracle@20,kmeans_mean@20,kmeans_largest@20,kmeans_largest_size@20,random_oracle@2,random_mean@2,random_largest@2,random_largest_size@2,random_oracle@3,random_mean@3,random_largest@3,random_largest_size@3,random_oracle@5,random_mean@5,random_largest@5,random_largest_size@5,random_oracle@10,random_mean@10,random_largest@10,random_largest_size@10,random_oracle@20,random_mean@20,random_largest@20,random_largest_size@20
foldbench_monomer,7t9r_A,38,0.07798786142832714,0.16666666666666666,0.16666666666666666,0.125,0.16666666666666666,99,0.16666666666666666,0.1111111111111111,0.16666666666666666,94,0.16666666666666666,0.09999999999999999,0.16666666666666666,92,0.25,0.10833333333333332,0.20833333333333334,43,0.3333333333333333,0.1125,0.16666666666666666,22,0.2916666666666667,0.1875,0.2916666666666667,67,0.2916666666666667,0.16666666666666666,0.2916666666666667,52,0.2916666666666667,0.10833333333333335,0.2916666666666667,69,0.3333333333333333,0.12916666666666668,0.3333333333333333,36,0.2916666666666667,0.10416666666666667,0.20833333333333334,18,0.25,0.20833333333333331,0.16666666666666666,50,0.25,0.19444444444444442,0.16666666666666666,34,0.20833333333333334,0.18333333333333332,0.16666666666666666,20,0.25,0.14166666666666666,0.16666666666666666,10,0.2916666666666667,0.14375000000000002,0.041666666666666664,5
foldbench_monomer,7yhr_A,60,0.19953521240502525,0.3902439024390244,0.3902439024390244,0.25609756097560976,0.3902439024390244,99,0.3902439024390244,0.24390243902439024,0.3902439024390244,97,0.3902439024390244,0.1902439024390244,0.3902439024390244,95,0.3902439024390244,0.21463414634146344,0.3902439024390244,88,0.3902439024390244,0.24756097560975615,0.3902439024390244,68,0.3902439024390244,0.3902439024390244,0.3902439024390244,66,0.4146341463414634,0.39837398373983746,0.4146341463414634,40,0.4146341463414634,0.3951219512195122,0.4146341463414634,38,0.4146341463414634,0.3804878048780488,0.4146341463414634,20,0.4634146341463415,0.31829268292682933,0.4634146341463415,31,0.43902439024390244,0.41463414634146345,0.3902439024390244,50,0.43902439024390244,0.4065040650406504,0.36585365853658536,34,0.4634146341463415,0.40487804878048783,0.4634146341463415,20,0.4634146341463415,0.4,0.36585365853658536,10,0.4634146341463415,0.3743902439024391,0.34146341463414637,5
foldbench_monomer,7xi5_A,65,0.5541877720024027,0.7619047619047619,0.7619047619047619,0.7023809523809523,0.7619047619047619,97,0.7619047619047619,0.5793650793650793,0.7619047619047619,97,0.7619047619047619,0.6047619047619047,0.7619047619047619,95,0.7619047619047619,0.6428571428571429,0.7619047619047619,85,0.7619047619047619,0.6428571428571429,0.7619047619047619,70,0.7619047619047619,0.7619047619047619,0.7619047619047619,70,0.7857142857142857,0.7698412698412698,0.7857142857142857,39,0.8333333333333334,0.738095238095238,0.7857142857142857,30,0.8095238095238095,0.7428571428571429,0.7857142857142857,33,0.7857142857142857,0.6964285714285714,0.7619047619047619,19,0.7857142857142857,0.7738095238095237,0.7857142857142857,50,0.8095238095238095,0.7857142857142857,0.7857142857142857,34,0.7857142857142857,0.780952380952381,0.7857142857142857,20,0.8095238095238095,0.7857142857142857,0.8095238095238095,10,0.8571428571428571,0.7821428571428573,0.7619047619047619,5
foldbench_monomer,8b6e_A,66,0.4852868968861336,0.7954545454545454,0.7954545454545454,0.6022727272727273,0.7954545454545454,98,0.7954545454545454,0.5075757575757576,0.7954545454545454,98,0.7954545454545454,0.5363636363636364,0.7954545454545454,95,0.7954545454545454,0.5704545454545454,0.7954545454545454,86,0.8181818181818182,0.5875000000000001,0.8181818181818182,67,0.7954545454545454,0.7727272727272727,0.7954545454545454,62,0.7954545454545454,0.6439393939393939,0.7954545454545454,69,0.7727272727272727,0.740909090909091,0.7727272727272727,25,0.7727272727272727,0.6522727272727272,0.7727272727272727,23,0.8181818181818182,0.6875,0.7727272727272727,11,0.8181818181818182,0.7954545454545454,0.7727272727272727,50,0.7954545454545454,0.7803030303030303,0.7954545454545454,34,0.8181818181818182,0.7863636363636364,0.7727272727272727,20,0.7954545454545454,0.775,0.7954545454545454,10,0.8409090909090909,0.7556818181818182,0.75,5
foldbench_monomer,8b2g_A,74,0.33810106649527494,0.7288135593220338,0.7288135593220338,0.4661016949152542,0.7288135593220338,99,0.7288135593220338,0.3785310734463277,0.7288135593220338,98,0.7288135593220338,0.3728813559322034,0.7288135593220338,92,0.711864406779661,0.3762711864406779,0.711864406779661,87,0.711864406779661,0.4322033898305085,0.711864406779661,70,0.711864406779661,0.7033898305084746,0.6949152542372882,60,0.7288135593220338,0.5988700564971751,0.7288135593220338,75,0.711864406779661,0.6169491525423728,0.6949152542372882,49,0.7457627118644068,0.5389830508474576,0.6949152542372882,24,0.7288135593220338,0.4847457627118644,0.6949152542372882,35,0.711864406779661,0.7033898305084746,0.711864406779661,50,0.711864406779661,0.7005649717514125,0.6949152542372882,34,0.711864406779661,0.6881355932203389,0.6949152542372882,20,0.7288135593220338,0.6881355932203389,0.6779661016949152,10,0.711864406779661,0.6474576271186441,0.6440677966101694,5
foldbench_monomer,7pv5_A,81,0.47151742200534963,0.796875,0.796875,0.609375,0.796875,97,0.796875,0.5364583333333334,0.796875,96,0.796875,0.471875,0.796875,95,0.796875,0.4921875,0.796875,89,0.796875,0.5453125,0.796875,76,0.78125,0.765625,0.78125,72,0.796875,0.7083333333333334,0.796875,54,0.78125,0.734375,0.78125,35,0.796875,0.5984375,0.796875,40,0.796875,0.59765625,0.78125,25,0.796875,0.78125,0.796875,50,0.796875,0.78125,0.796875,34,0.796875,0.778125,0.78125,20,0.796875,0.759375,0.765625,10,0.78125,0.73671875,0.6875,5
foldbench_monomer,7xp9_A,84,0.11838748854719838,0.3111111111111111,0.3111111111111111,0.24444444444444446,0.3111111111111111,96,0.3111111111111111,0.1703703703703704,0.3111111111111111,95,0.3111111111111111,0.14222222222222222,0.3111111111111111,95,0.28888888888888886,0.10888888888888888,0.28888888888888886,83,0.28888888888888886,0.12,0.26666666666666666,45,0.3333333333333333,0.28888888888888886,0.3333333333333333,58,0.37777777777777777,0.2888888888888889,0.37777777777777777,36,0.3333333333333333,0.2311111111111111,0.3333333333333333,34,0.3333333333333333,0.17777777777777776,0.3333333333333333,44,0.3333333333333333,0.14111111111111113,0.26666666666666666,39,0.3111111111111111,0.3,0.28888888888888886,50,0.3333333333333333,0.31111111111111106,0.3333333333333333,34,0.35555555555555557,0.30666666666666664,0.3111111111111111,20,0.4,0.28444444444444444,0.24444444444444444,10,0.3111111111111111,0.25,0.28888888888888886,5
foldbench_monomer,8eb9_A,95,0.024221087391607,0.22535211267605634,0.22535211267605634,0.13380281690140844,0.22535211267605634,96,0.22535211267605634,0.09859154929577464,0.22535211267605634,94,0.22535211267605634,0.08450704225352113,0.22535211267605634,90,0.28169014084507044,0.07323943661971831,0.28169014084507044,56,0.30985915492957744,0.07253521126760563,0.30985915492957744,26,0.18309859154929578,0.18309859154929578,0.18309859154929578,95,0.23943661971830985,0.1643192488262911,0.15492957746478872,57,0.2112676056338028,0.1295774647887324,0.19718309859154928,75,0.22535211267605634,0.08732394366197184,0.2112676056338028,75,0.28169014084507044,0.11338028169014083,0.15492957746478872,62,0.2112676056338028,0.20422535211267606,0.2112676056338028,50,0.2112676056338028,0.2018779342723005,0.2112676056338028,34,0.22535211267605634,0.16901408450704225,0.15492957746478872,20,0.2535211267605634,0.1408450704225352,0.028169014084507043,10,0.14084507042253522,0.08661971830985916,0.1267605633802817,5
foldbench_monomer,7y8i_A,97,0.6271277332320552,0.7951807228915663,0.8192771084337349,0.7530120481927711,0.8192771084337349,94,0.8192771084337349,0.7269076305220884,0.8192771084337349,93,0.8192771084337349,0.7060240963855422,0.8192771084337349,92,0.8072289156626506,0.6975903614457831,0.8072289156626506,86,0.8072289156626506,0.7192771084337349,0.8072289156626506,64,0.8192771084337349,0.8012048192771084,0.7831325301204819,62,0.8192771084337349,0.7991967871485944,0.7951807228915663,47,0.8072289156626506,0.7759036144578314,0.7951807228915663,59,0.8192771084337349,0.7759036144578313,0.8192771084337349,18,0.8313253012048193,0.7542168674698795,0.8072289156626506,19,0.8072289156626506,0.8072289156626506,0.8072289156626506,50,0.8072289156626506,0.8032128514056224,0.7951807228915663,34,0.8313253012048193,0.8072289156626506,0.8072289156626506,20,0.8192771084337349,0.8012048192771084,0.7710843373493976,10,0.8192771084337349,0.789156626506024,0.8072289156626506,5
foldbench_monomer,7y54_A,100,0.5298618407677884,0.819047619047619,0.819047619047619,0.6857142857142857,0.819047619047619,99,0.8095238095238095,0.6825396825396824,0.8095238095238095,88,0.8095238095238095,0.6304761904761905,0.8095238095238095,85,0.8095238095238095,0.6323809523809525,0.8095238095238095,81,0.7904761904761904,0.639047619047619,0.7904761904761904,57,0.819047619047619,0.8,0.780952380952381,53,0.8095238095238095,0.7523809523809524,0.7714285714285715,51,0.8095238095238095,0.7676190476190478,0.7523809523809524,37,0.819047619047619,0.741904761904762,0.7904761904761904,19,0.819047619047619,0.6995238095238094,0.8,12,0.8095238095238095,0.8095238095238095,0.8095238095238095,50,0.8095238095238095,0.8063492063492065,0.8095238095238095,34,0.8285714285714286,0.8095238095238095,0.8095238095238095,20,0.8095238095238095,0.7876190476190476,0.7619047619047619,10,0.8095238095238095,0.7676190476190478,0.8095238095238095,5
